date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-11873000000.0,-636000000.0,10460000000.0,8197000000.0,4895000000.0,5176000000.0,5446000000.0,4585000000.0,3900000000.0,4018000000.0,3307000000.0,1312000000.0,2672000000.0,4074000000.0,2215000000.0,2572000000.0,1872000000.0,718000000.0,492000000.0,2827000000.0,2128000000.0,2309000000.0,1120000000.0,-178000000.0,1095000000.0,393000000.0,856000000.0,1244000000.0,552000000.0,1567000000.0,1385000000.0,675000000.0
,depreciationAndAmortization,2246000000.0,2271000000.0,2114000000.0,2069000000.0,1910000000.0,1833000000.0,1906000000.0,1844000000.0,1811000000.0,1660000000.0,1727000000.0,1666000000.0,1491000000.0,1486000000.0,1545000000.0,1503000000.0,1509000000.0,1450000000.0,1497000000.0,1750000000.0,1479000000.0,1645000000.0,1622000000.0,1458000000.0,991000000.0,1033000000.0,1142000000.0,1025000000.0,961000000.0,826000000.0,678000000.0,627000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-536000000.0,-26000000.0,109000000.0,-107000000.0,-247000000.0
,stockBasedCompensation,250000000.0,212000000.0,202000000.0,202000000.0,190000000.0,189000000.0,195000000.0,206000000.0,193000000.0,186000000.0,215000000.0,238000000.0,209000000.0,287000000.0,743000000.0,852000000.0,576000000.0,456000000.0,447000000.0,378000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-17335000000.0,-1323000000.0,-2652000000.0,-3462000000.0,-5468000000.0,6754000000.0,-2520000000.0,1261000000.0,3791000000.0,3359000000.0,2785000000.0,7353000000.0,-703000000.0,2460000000.0,-498000000.0,-485000000.0,-4545000000.0,1765000000.0,1325000000.0,-1855000000.0,-4481000000.0,-897000000.0,-2158000000.0,-1327000000.0,675000000.0,2176000000.0,943000000.0,697000000.0,-606000000.0,915000000.0,-349000000.0,-1536000000.0
,accountsReceivables,909000000.0,603000000.0,-795000000.0,-1821000000.0,112000000.0,-1069000000.0,-1328000000.0,-879000000.0,-27000000.0,-292000000.0,8000000.0,-391000000.0,564000000.0,-392000000.0,-244000000.0,-592000000.0,-241000000.0,357000000.0,-155000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-11002000000.0,-12391000000.0,568000000.0,-1085000000.0,3755000000.0,-1110000000.0,-4330000000.0,-5562000000.0,-5681000000.0,-10012000000.0,-7387000000.0,-1525000000.0,-6168000000.0,-1558000000.0,444000000.0,-1965000000.0,611000000.0,351000000.0,1510000000.0,-19000000.0,1097000000.0,2030000000.0,618000000.0,-1008000000.0,250000000.0,-1954000000.0,-1545000000.0,-733000000.0,-138000000.0,55000000.0,1585000000.0,-1995000000.0
,accountsPayables,-5363000000.0,1600000000.0,2000000.0,130000000.0,622000000.0,-238000000.0,1339000000.0,-298000000.0,1199000000.0,1164000000.0,313000000.0,1141000000.0,872000000.0,928000000.0,-744000000.0,1147000000.0,862000000.0,-147000000.0,-823000000.0,490000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-3357000000.0,4917000000.0,6240000000.0,8892000000.0,12354000000.0,17822000000.0,11068000000.0,13588000000.0,12327000000.0,8536000000.0,5177000000.0,2392000000.0,-4961000000.0,-4258000000.0,-6718000000.0,-6220000000.0,-5735000000.0,-1190000000.0,-2955000000.0,-4280000000.0,-2425000000.0,2056000000.0,2953000000.0,5111000000.0,6438000000.0,5763000000.0,3587000000.0,2644000000.0,1947000000.0,2553000000.0,1638000000.0,1987000000.0
,otherNonCashItems,1669000000.0,584000000.0,244000000.0,289000000.0,362000000.0,359000000.0,289000000.0,517000000.0,684000000.0,4249000000.0,3870000000.0,1571000000.0,2872000000.0,4211000000.0,2329000000.0,2774000000.0,2471000000.0,1015000000.0,2521000000.0,2868000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-18410000000.0,-2446000000.0,15322000000.0,13344000000.0,10499000000.0,9363000000.0,8858000000.0,8179000000.0,7508000000.0,4023000000.0,2952000000.0,5603000000.0,-401000000.0,9584000000.0,7499000000.0,7000000000.0,3458000000.0,3881000000.0,4375000000.0,3814000000.0,5942000000.0,6224000000.0,2367000000.0,2100000000.0,2223000000.0,1066000000.0,1077000000.0,1217000000.0,3362000000.0,1434000000.0,3336000000.0,-514000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1303000000.0,-1961000000.0,-1791000000.0,-1870000000.0,-2613000000.0,-2450000000.0,-2236000000.0,-2238000000.0,-1710000000.0,-1713000000.0,-1127000000.0,-1186000000.0,-1852000000.0,-1731000000.0,-1681000000.0,-1547000000.0,-978000000.0,-741000000.0,-1001000000.0,-1068000000.0,-932000000.0,-1236000000.0,-1584000000.0,-1391000000.0,-762000000.0,-629000000.0,-795000000.0,-1317000000.0,-2160000000.0,-1850000000.0,-1586000000.0,-1362000000.0
,acquisitionsNet,0.0,9000000.0,-3230000000.0,-324000000.0,-297000000.0,-31000000.0,-163000000.0,-26000000.0,-124000000.0,-42000000.0,-932000000.0,-639000000.0,-964000000.0,-75000000.0,-1731000000.0,1537000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
