date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,revenue,1124249000.0,2470685000.0,3326997000.0,2356684000.0,915866000.0,1891277000.0,3182291000.0,2716034000.0,2723414000.0,2565943000.0,1462931000.0,781946000.0,2209126000.0,2114194000.0,2546586000.0,1740455000.0,1000769000.0,776170000.0,527957000.0,989975000.0,307901000.0,151500000.0,186600000.0,190800000.0,83700000.0,46500000.0,35100000.0,24700000.0,22200000.0
,costOfRevenue,0.0,2777570000.0,3318805000.0,2500881000.0,1317210000.0,2097128000.0,2834801000.0,2323375000.0,2194286000.0,1543791000.0,897798000.0,476497000.0,1310590000.0,1188039000.0,1243502000.0,939365000.0,678911000.0,567640000.0,398765000.0,592893000.0,221651000.0,126200000.0,146500000.0,131300000.0,62600000.0,35000000.0,27200000.0,18200000.0,17700000.0
,grossProfit,1124249000.0,-306885000.0,8192000.0,-144197000.0,-401344000.0,-205851000.0,347490000.0,392659000.0,529128000.0,1022152000.0,565133000.0,305449000.0,898536000.0,926155000.0,1303084000.0,801090000.0,321858000.0,208530000.0,129192000.0,397082000.0,86250000.0,25300000.0,40100000.0,59500000.0,21100000.0,11500000.0,7900000.0,6500000.0,4500000.0
,grossProfitRatio,1.0,-0.124210492231911,0.00246228054909578,-0.0611863958002006,-0.43821257694903,-0.108842332455796,0.109194916492552,0.14457072334146,0.194288492311488,0.398353353913162,0.386301883000634,0.39062671846905,0.406738230413295,0.438065286345529,0.511698407200856,0.460276192145157,0.321610681386014,0.268665369699937,0.244701746543753,0.401103058158034,0.280122506909688,0.166996699669967,0.214898177920686,0.311844863731656,0.252090800477897,0.247311827956989,0.225071225071225,0.263157894736842,0.202702702702703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,3840000.0,3444000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,97611000.0,133513000.0,134071000.0,105847000.0,69205000.0,87173000.0,80145000.0,73852000.0,64473000.0,64271000.0,53042000.0,56621000.0,68190000.0,64623000.0,55065000.0,39110000.0,32904000.0,27968000.0,29878000.0,30606000.0,11394000.0,7300000.0,9300000.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,7059000.0,389000.0,750000.0,343000.0,69000.0,34000.0,3000.0,1691000.0,508000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,7059000.0,154266000.0,132776000.0,105847000.0,69205000.0,87173000.0,80145000.0,73852000.0,65573000.0,501550000.0,386535000.0,353663000.0,347042000.0,255879000.0,263920000.0,219794000.0,150644000.0,123792000.0,121094000.0,116765000.0,44527000.0,35500000.0,37400000.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,7059000.0,2931836000.0,3451581000.0,2606728000.0,1386415000.0,2184301000.0,2914946000.0,2397227000.0,2259859000.0,2045341000.0,1284333000.0,830160000.0,1657632000.0,1443918000.0,1507422000.0,1159159000.0,829555000.0,691432000.0,519859000.0,709658000.0,266178000.0,161700000.0,183900000.0,157400000.0,79000000.0,44200000.0,33200000.0,23100000.0,21800000.0
,interestExpense,40770000.0,75204000.0,51578000.0,37472000.0,40366000.0,36475000.0,29825000.0,28359000.0,22750000.0,15652000.0,12772000.0,4148000.0,639000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,670910000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249206000.0,196370000.0,156393000.0,119395000.0,97998000.0,91216000.0,86159000.0,33133000.0,28200000.0,28100000.0,17500000.0,10000000.0,5300000.0,2900000.0,2300000.0,1800000.0
,EBITDA,677969000.0,549124000.0,798081000.0,535506000.0,198281000.0,572733000.0,987057000.0,918885000.0,991231000.0,958068000.0,513765000.0,242014000.0,821480000.0,919482000.0,1235534000.0,737689000.0,290609000.0,182736000.0,99314000.0,366476000.0,74856000.0,18000000.0,30800000.0,50900000.0,14700000.0,7600000.0,4800000.0,3900000.0,2200000.0
,EBITDARatio,0.603041674931443,0.222255771172772,0.239880288440296,0.227228597470004,0.216495644559357,0.302828723661315,0.310171822752853,0.3383186661139,0.363966330495474,0.373378520099628,0.351188812049235,0.30950219068836,0.371857467613889,0.434909000782331,0.48517269787865,0.423848361491679,0.290385693401774,0.235432959274386,0.188110016535438,0.370187125937524,0.243117105822976,0.118811881188119,0.165058949624866,0.266771488469602,0.175627240143369,0.163440860215054,0.136752136752137,0.157894736842105,0.0990990990990991
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,7059000.0,-461151000.0,-124584000.0,-250044000.0,-470549000.0,-293024000.0,267345000.0,318807000.0,463555000.0,520602000.0,178598000.0,-48214000.0,551494000.0,670276000.0,1039164000.0,581296000.0,171214000.0,84738000.0,8098000.0,280317000.0,41723000.0,-10200000.0,2700000.0,33400000.0,4700000.0,2300000.0,1900000.0,1600000.0,400000.0
,operatingIncomeRatio,0.00627885815330945,-0.186649046721861,-0.0374463818272154,-0.106099926846365,-0.51377494087563,-0.154934470201879,0.084010230365482,0.117379605704494,0.170210992526292,0.202889152253187,0.122082312836354,-0.0616589892396662,0.249643524181056,0.317036184948023,0.408061616611416,0.333990824238489,0.171082437605481,0.109174536506178,0.0153383703597073,0.283155635243314,0.135507841806295,-0.0673267326732673,0.0144694533762058,0.175052410901468,0.0561529271206691,0.0494623655913978,0.0541310541310541,0.0647773279352227,0.018018018018018
,totalOtherIncomeExpensesNet,7059000.0,-36000.0,-196843000.0,-42151000.0,14392000.0,-113914000.0,15784000.0,5075000.0,34314000.0,5581000.0,23254000.0,426000.0,-9462000.0,58313000.0,-12138000.0,-23863000.0,1890000.0,4769000.0,-4837000.0,-12760000.0,274000.0,300000.0,1600000.0,2800000.0,-1100000.0,600000.0,700000.0,300000.0,900000.0
,incomeBeforeTax,-931018000.0,-530378000.0,-367408000.0,-327801000.0,-496196000.0,-442449000.0,254283000.0,296441000.0,475673000.0,510718000.0,190754000.0,-51555000.0,542948000.0,670807000.0,1043834000.0,584759000.0,171894000.0,88157000.0,3839000.0,266495000.0,37998000.0,-13400000.0,-200000.0,35000000.0,2000000.0,1800000.0,2300000.0,1700000.0,1000000.0
,incomeBeforeTaxRatio,-0.828124374582499,-0.214668401678077,-0.110432320798606,-0.13909416790711,-0.54177794568201,-0.233941934470731,0.0799056403075646,0.10914480452012,0.174660554730203,0.199037157099749,0.130391658936751,-0.0659316628002445,0.245775025960493,0.317287344491565,0.409895444332137,0.335980533825925,0.171761915087298,0.113579499336486,0.00727142551382025,0.26919366650673,0.123409797304978,-0.0884488448844885,-0.00107181136120043,0.183438155136268,0.02389486260454,0.0387096774193548,0.0655270655270655,0.0688259109311741,0.045045045045045
,incomeTaxExpense,0.0,-104675000.0,-45987000.0,-333711000.0,-177562000.0,-147963000.0,91619000.0,108432000.0,176196000.0,187938000.0,72856000.0,-17595000.0,195879000.0,232168000.0,371267000.0,212019000.0,63161000.0,32362000.0,1670000.0,102333000.0,14244000.0,-4300000.0,100000.0,12800000.0,-2300000.0,-100000.0,-200000.0,100000.0,400000.0
,netIncome,-803692000.0,-425703000.0,-321421000.0,5910000.0,-318634000.0,-294486000.0,162664000.0,188009000.0,299477000.0,322413000.0,116942000.0,-38290000.0,347069000.0,438639000.0,673254000.0,372740000.0,108733000.0,55326000.0,2169000.0,164162000.0,23754000.0,-9100000.0,-300000.0,22200000.0,4300000.0,1900000.0,2500000.0,1600000.0,100000.0
,netIncomeRatio,-0.714870104398581,-0.172301608663185,-0.0966099458460588,0.00250776090472885,-0.347904606132338,-0.155707492873862,0.0511153756837448,0.0692218875021447,0.109963817473216,0.125650881566738,0.0799367844416449,-0.0489675757661015,0.157106928260317,0.207473391751183,0.264375128112697,0.214162388570805,0.108649448574047,0.0712807761186338,0.00410828912203077,0.165824389504785,0.0771481742508144,-0.0600660066006601,-0.00160771704180064,0.116352201257862,0.0513739545997611,0.0408602150537634,0.0712250712250712,0.0647773279352227,0.0045045045045045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
