date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,revenue,127400000.0,360900000.0,380700000.0,341700000.0,323749000.0,306400000.0,273558000.0
,costOfRevenue,57600000.0,120200000.0,112100000.0,95000000.0,84368000.0,83400000.0,82251000.0
,grossProfit,69800000.0,240700000.0,268600000.0,246700000.0,239381000.0,223000000.0,191307000.0
,grossProfitRatio,0.547880690737834,0.666943751731782,0.705542421854479,0.721978343576236,0.739403056071216,0.727806788511749,0.69932884434014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,118600000.0,133400000.0,121800000.0,121900000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,119000.0
,operatingExpenses,60200000.0,179300000.0,168600000.0,158600000.0,138938000.0,132200000.0,128370000.0
,costAndExpenses,117800000.0,299500000.0,280700000.0,253600000.0,223306000.0,215600000.0,210621000.0
,interestExpense,19100000.0,28600000.0,28200000.0,37200000.0,50074000.0,50000000.0,54061000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,48600000.0,52000000.0,46800000.0,43200000.0,40047000.0,39100000.0,37546000.0
,EBITDA,58200000.0,113400000.0,146800000.0,131300000.0,140490000.0,129900000.0,100483000.0
,EBITDARatio,0.456828885400314,0.314214463840399,0.385605463619648,0.38425519461516,0.433947286323664,0.423955613577023,0.367318813560561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,9600000.0,61400000.0,100000000.0,88100000.0,100443000.0,90800000.0,62937000.0
,operatingIncomeRatio,0.0753532182103611,0.170130229980604,0.26267402153927,0.257828504536143,0.310249606948593,0.296344647519582,0.230068212225561
,totalOtherIncomeExpensesNet,-680200000.0,-86100000.0,-104000000.0,-3000000.0,-13548000.0,-10400000.0,-3296000.0
,incomeBeforeTax,-691200000.0,-55000000.0,-33400000.0,46800000.0,36263000.0,29900000.0,5121000.0
,incomeBeforeTaxRatio,-5.425431711146,-0.152396785813245,-0.0877331231941161,0.136962247585601,0.112009612384903,0.0975848563968668,0.0187199789441362
,incomeTaxExpense,-57600000.0,-5000000.0,-8300000.0,-35000000.0,14096000.0,10300000.0,12757000.0
,netIncome,-633600000.0,-50000000.0,-25100000.0,81800000.0,22167000.0,19600000.0,-7636000.0
,netIncomeRatio,-4.97331240188383,-0.138542532557495,-0.0659311794063567,0.23939127889962,0.0684697095589484,0.0639686684073107,-0.0279136417140058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-9.07,-0.7,-0.34,1.19,0.52,0.271495,-0.105772
,EPSDiluted,-9.07,-0.7,-0.34,1.13,0.51,0.266205,-0.105772
,weightedAverageShsOut,71484000.0,71719000.0,72887000.0,68912000.0,72192726.0,72192726.0,72192726.0
,weightedAverageShsOutDil,71484000.0,71719000.0,72887000.0,72116000.0,73627502.0,73627502.0,73627502.0
