date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-02-28_FY,2011-02-25_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-11-30_FY,1986-11-30_FY,1985-11-30_FY
,revenue,363023000.0,331387000.0,300392000.0,274150000.0,253047000.0,235008000.0,219829000.0,202171000.0,186178000.0,174631000.0,0.0,173126000.0,173126000.0,172354000.0,168575000.0,150730000.0,133613000.0,126505000.0,114684000.0,108441000.0,105810000.0,105295000.0,98103000.0,86236000.0,76728000.0,53622000.0,39765000.0,30264000.0,27200000.0,20700000.0,10100000.0,17500000.0,14800000.0,25600000.0,10900000.0,7700000.0,9100000.0,12900000.0
,costOfRevenue,103368000.0,93274000.0,86394000.0,80108000.0,74347000.0,67402000.0,62797000.0,57885000.0,52993000.0,49411000.0,0.0,0.0,51142000.0,50259000.0,47374000.0,41118000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,259655000.0,238113000.0,213998000.0,194042000.0,178700000.0,167606000.0,157032000.0,144286000.0,133185000.0,125220000.0,0.0,173126000.0,121984000.0,122095000.0,121201000.0,109612000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.715257710943935,0.718534523080266,0.712395802817652,0.707795002735729,0.706192920682719,0.713192742374728,0.714337052891111,0.713682971346039,0.715363791640258,0.717054818445751,0.0,1.0,0.704596652149302,0.708396671965838,0.718973750556132,0.727207589729981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,15065000.0,16817000.0,13738000.0,14972000.0,13232000.0,15091000.0,12726000.0,11725000.0,10488000.0,0.0,0.0,10332000.0,0.0,0.0,0.0,0.0,0.0,6874000.0,6711000.0,4966000.0,4179000.0,4573000.0,5607000.0,4580000.0,3822000.0,2923000.0,2356000.0,2180000.0,2000000.0,900000.0,900000.0,900000.0,800000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,942000.0,163000.0,913000.0,1313000.0,1765000.0,1101000.0,989000.0,949000.0,456000.0,0.0,0.0,-84000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
