Date,2018-12-31,2017-12-31,2016-12-31
Revenue,2428000.0,2045000.0,589000.0
Revenue Growth,0.187286063569682,2.47198641765705,
Cost of Revenue,0.0,0.0,0.0
Gross Profit,0.0,2045000.0,589000.0
R&D Expenses,24479000.0,9233000.0,5100000.0
SG&A Expense,6659000.0,1939000.0,1533000.0
Operating Expenses,31138000.0,11172000.0,6633000.0
Operating Income,-28710000.0,-9127000.0,-6044000.0
Interest Expense,0.0,8000.0,11000.0
Earnings before Tax,-27115000.0,-9157000.0,-6019000.0
Income Tax Expense,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-27115000.0,-9157000.0,-6019000.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-27115000.0,-9157000.0,-6019000.0
EPS,-2.23,-6.68,-5.96
EPS Diluted,-2.23,-6.68,-5.96
Weighted Average Shs Out,12142000.0,22008000.0,22008000.0
Weighted Average Shs Out (Dil),12142000.0,1371000.0,1011000.0
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.0,1.0,1.0
EBITDA Margin,-11.6305601318,-4.411,-10.044
EBIT Margin,-11.8245469522,-4.4738,-10.2003
Profit Margin,-11.1676276771,-4.478,-10.219
Free Cash Flow margin,-8.45057660626,-4.7839,-9.6061
EBITDA,-28239000.0,-9021000.0,-5916000.0
EBIT,-28710000.0,-9149000.0,-6008000.0
Consolidated Income,-27115000.0,-9157000.0,-6019000.0
Earnings Before Tax Margin,-11.1676276771,-4.4778,-10.219
Net Profit Margin,-11.1676276771,-4.4778,-10.219
