Date,2017-12,2016-12,2015-12,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,0000000.0,0000000.0,0000000.0,0000000.0,0.0,0000000.0,0.0,734000.0
Stock-based compensation,4000000.0,7000000.0,4000000.0,2000000.0,0.0,3000000.0,0.0,2423000.0
Operating Cash Flow,-37000000.0,-49000000.0,-31000000.0,-26000000.0,0.0,-32000000.0,0.0,-73067000.0
Capital Expenditure,000000.0,-1000000.0,-0000000.0,000000.0,0.0,-0000000.0,0.0,1346000.0
Acquisitions and disposals,,,,,-0.0,,-0.0,-0.0
Investment purchases and sales,0,0,0,0,0.0,5000000,0.0,0.0
Investing Cash flow,000000.0,-1000000.0,-0000000.0,10000000.0,0.0,-5000000.0,0.0,20232000.0
Issuance (repayment) of debt,000000.0,000000.0,000000.0,-18000000.0,-0.0,-22000000.0,-0.0,-0.0
Issuance (buybacks) of shares,,,,,0.0,,0.0,-11612000.0
Dividend payments,,,,,-0.0,,-0.0,-0.0
Financing Cash Flow,18000000.0,24000000.0,75000000.0,-8000000.0,0.0,43000000.0,0.0,78429000.0
Effect of forex changes on cash,000000.0,000000.0,000000.0,000000.0,0.0,-0000000.0,0.0,0.0
Net cash flow / Change in cash,-19000000.0,-26000000.0,44000000.0,-23000000.0,0.0,7000000.0,0.0,65624000.0
Free Cash Flow,-37000000.0,-50000000.0,-31000000.0,-26000000.0,0.0,-32000000.0,0.0,-74413000.0
Net Cash/Marketcap,,,,,0.0,,0.0,0.0
