date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-27776000.0,-37978000.0,-25245000.0,-27766000.0,-39413000.0,-82217000.0,-43612000.0,-36590000.0,-83950000.0,16973227.0,-3395703.960682,-4355134.71603,-7062959.116849,-5824088.418666,-12330019.137792,-1188833.064661,-583726.830947,-278063.574878,-137237.181715,-166052.739359,-87447.051363,-1334386.315229
,depreciationAndAmortization,0.0,1213000.0,3790000.0,4636000.0,4258000.0,5364000.0,3890000.0,5342000.0,6137000.0,0.0,103672.545052,123686.761,117169.987838,166943.132439,135407.937147,14241.447251,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,2598000.0,0.0,0.0,0.0,0.0,1099000.0,1405000.0,2694000.0,2837000.0,3642170.0,703255.276091,345100.794728,437278.510618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-8843000.0,-24504000.0,-3515000.0,-1686000.0,9277000.0,6498000.0,-7120000.0,2205000.0,4832000.0,-8410667.0,-372678.037969,-117784.454352,-169907.38142,428191.951634,840995.165189,-179041.733835,-134552.960908,7595.207701,2980.394477,23282.190227,-18322.130628,-9722.444089
,accountsReceivables,0.0,280000.0,62000.0,-889000.0,2253000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-6100000.0,-6258000.0,0.0,211000.0,13910000.0,5752000.0,-6760000.0,1803000.0,0.0,5985840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,648000.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,-18.892877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-6797000.0,17007000.0,17303000.0,14700000.0,14290000.0,5720000.0,2329000.0,2913000.0,3213000.0,2554794.0,0.0,603318.472572,3815870.521096,2972689.401096,4921213.73892,627314.16801,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-32178000.0,-44378000.0,-7784000.0,-10340000.0,-12039000.0,-2084000.0,-4352000.0,-9219000.0,7031000.0,-14246415.0,-2961454.177508,-3419781.934483,-2839811.020675,-2239716.606839,-6432402.296535,-726319.183235,-471710.316948,-302530.942998,-133369.324863,-73934.028544,-104881.420419,-101483.626198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-627000.0,0.0,-107000.0,0.0,-260000.0,-4297000.0,-2542000.0,-4724000.0,-18599000.0,-7078585.0,-2476915.293437,-2818361.116495,-4617411.35747,-11219856.414132,-6619517.526189,-923994.268315,-304658.323657,-159536.628105,-14505.572524,-16071.957405,-89242.866202,-77957.933972
,acquisitionsNet,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-269000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,4208000.0,0.0,0.0,0.0,0.0,0.0,2390000.0,770000.0,849000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,5268000.0,9330000.0,3877000.0,3712000.0,1010361.0,-1551517.779705,52842.605156,2809388.156048,-791248.819195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,3581000.0,22575000.0,-20167000.0,1048000.0,-6267000.0,3430000.0,9411000.0,2422000.0,-12264000.0,-5677354.0,-4028433.073143,-2626354.913743,-1787074.562634,-11993832.420178,-6619517.526189,-923495.432563,-304658.323657,-159536.628105,-14505.572524,-16071.957405,-89242.866202,-77957.933972
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-16015000.0,0.0,0.0,0.0,0.0,-1730000.0,-134000.0,0.0,-370000.0,-2251914.0,-14481.063891,-144607.48207,-254511.179717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,52390000.0,0.0,0.0,0.0,0.0,2627000.0,603000.0,10213000.0,6205000.0,7128944.0,9754967.717067,2799433.029657,0.0,97307.764973,38379764.302981,3541733.834856,1068894.336215,528905.240289,74694.74992,0.0,146688.649334,163827.209798
,commonStockRepurchased,0.0,19829000.0,32882000.0,14154000.0,25309000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1027.692889,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-282000.0,0.0,0.0,0.0,0.0,304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4399.677679,-126404.262941,-41690.104503,-43474.81347,78910.935755,84040.830472,46031.70577,0.0
