date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2018-03-14_FY,2017-12-31_FY,2017-03-08_FY,2016-12-31_FY,2016-03-09_FY,2015-12-31_FY,2015-03-11_FY,2014-12-31_FY,2014-03-12_FY,2013-12-31_FY,2013-03-13_FY,2012-12-31_FY,2012-03-14_FY,2011-12-31_FY,2011-03-15_FY,2010-12-31_FY,2010-03-17_FY,2009-12-31_FY,2009-03-17_FY,2008-12-31_FY,2007-12-31_FY,2007-03-14_FY,2006-12-31_FY,2005-12-31_FY,2005-03-11_FY,2004-12-31_FY,2004-04-14_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2634000000.0,3191000000.0,2929000000.0,2970000000.0,2914000000.0,3087000000.0,3031000000.0,2730000000.0,2678000000.0,2718000000.0,2500000000.0,2388000000.0,2106000000.0,3878000000.0,2763000000.0,2574000000.0,2340000000.0,2277000000.0,2277000000.0,1738000000.0,1738000000.0,943000000.0,943419136.0,4057006654.0,26000000.0,2007222740.0,1961856030.0,0.0,1593472522.0,0.0,1815019967.0,2475605918.0,523718561.0,4862027594.0,5459056713.0,4597987616.0,-1535954253.0,1151980266.0,781974366.0,1178005330.0,-656076251.0,1389955499.0,1328980818.0
,depreciationAndAmortization,4404000000.0,4398000000.0,4014000000.0,3850000000.0,3850000000.0,3508000000.0,3508000000.0,3420000000.0,3420000000.0,3452000000.0,3452000000.0,3380000000.0,3380000000.0,3388000000.0,3388000000.0,3261000000.0,3261000000.0,3292000000.0,3292000000.0,3371000000.0,3371000000.0,3269000000.0,3268576979.0,3198927401.0,3129000000.0,3129077353.0,3114315618.0,3108000000.0,3107751380.0,3147000000.0,3146979261.0,3146049732.0,4691181152.0,3779244151.0,3001012731.0,3500928793.0,3897069335.0,3434013978.0,2970002727.0,2699957918.0,2471008737.0,2328035601.0,2218973885.0
,deferredIncomeTax,792000000.0,1133000000.0,995000000.0,0.0,1039000000.0,0.0,1110000000.0,0.0,924000000.0,0.0,929000000.0,0.0,828000000.0,0.0,825000000.0,0.0,0.0,0.0,238000000.0,0.0,32000000.0,0.0,128703254.0,403217797.0,0.0,-12814539.0,745435516.0,0.0,-33597312.0,0.0,432822362.0,602769909.0,498248965.0,-79484103.0,33998843.0,89938080.0,45032166.0,-70028779.0,-170029997.0,8977416.0,16018004.0,2034329.0,25999538.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,473000000.0,57000000.0,381000000.0,-895000000.0,480000000.0,-69000000.0,286000000.0,-643000000.0,241000000.0,-1721000000.0,365000000.0,-2820000000.0,147000000.0,0.0,149000000.0,2385000000.0,-21000000.0,-883000000.0,-45000000.0,-853000000.0,40000000.0,369000000.0,366682856.0,-10924620.0,923000000.0,-246971109.0,-884986626.0,-72000000.0,57595392.0,0.0,504959423.0,-591753226.0,546004457.0,-1241751650.0,-957031250.0,0.0,0.0,0.0,0.0,269041941.0,-1280910776.0,-3051494.0,1070025422.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14000000.0,0.0,-15000000.0,0.0,-318000000.0,29000000.0,0.0,-129000000.0,0.0,124000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126000000.0,0.0,-76000000.0,0.0,-149000000.0,0.0,-40067994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14027213.0,-350939899.0,-193006993.0,-22995147.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,-6148000000.0,0.0,-5253000000.0,0.0,-5184000000.0,0.0,-4541000000.0,0.0,-2820000000.0,0.0,0.0,0.0,0.0,18000000.0,-2385000000.0,-173000000.0,-1502000000.0,185000000.0,-649000000.0,70422535.0,-90376402.0,-1018000000.0,150279591.0,-884986626.0,-1746000000.0,57595392.0,-1674000000.0,592554425.0,-591753226.0,546004457.0,-1241751650.0,-957031250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,otherNonCashItems,732000000.0,632000000.0,292000000.0,0.0,340000000.0,0.0,-148000000.0,0.0,223000000.0,0.0,60000000.0,0.0,633000000.0,0.0,-606000000.0,0.0,-277000000.0,0.0,187000000.0,0.0,550000000.0,0.0,889995143.0,267156619.0,0.0,867893757.0,-1.0,0.0,0.0,0.0,-88883163.0,-1573812.0,-1591849.0,-2999399.0,-144676.0,-247832817.0,-1265189421.0,-797999178.0,-1609899101.0,-68873613.0,902832936.0,-27972028.0,-45990294.0
,netCashProvidedByOperatingActivites,7754000000.0,7958000000.0,7384000000.0,7358000000.0,7358000000.0,6643000000.0,6643000000.0,6274000000.0,6274000000.0,6241000000.0,6241000000.0,6476000000.0,6476000000.0,5552000000.0,5552000000.0,4869000000.0,4869000000.0,4724000000.0,4724000000.0,4884000000.0,4875000000.0,5912000000.0,5887566780.0,5706624292.0,5389000000.0,5314538677.0,5573903942.0,5519000000.0,5711543077.0,0.0,6378977200.0,3594586088.0,5216491563.0,2354529094.0,2597945602.0,3771981424.0,4389992852.0,4306016171.0,2367057540.0,4230046290.0,2258935663.0,4062047044.0,4932978969.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
