Date,2017-09,2016-09,2015-09,2014-09,2013-09
Cash and cash equivalents,145000000.0,190000000.0,256000000.0,162000000.0,256000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,268000000.0,245000000.0,187000000.0,191000000.0,162000000.0
Inventories,239000000.0,213000000.0,227000000.0,205000000.0,162000000.0
Total current assets,3596000000.0,3688000000.0,1714000000.0,1443000000.0,1290000000.0
Property, Plant & Equipment Net,198000000.0,175000000.0,153000000.0,149000000.0,125000000.0
Goodwill and Intangible Assets,3249000000,3414000000,1497000000,1238000000,1105000000
Long-term investments,,,,,
Tax assets,67000000.0,37000000.0,27000000.0,23000000.0,30000000.0
Total non-current assets,1949000000.0,2374000000.0,1041000000.0,784000000.0,747000000.0
Total assets,4323000000.0,4423000000.0,2450000000.0,2061000000.0,1913000000.0
Payables,165000000.0,113000000.0,82000000.0,76000000.0,70000000.0
Short-term debt,61000000.0,41000000.0,32000000.0,000000.0,1000000.0
Total current liabilities,379000000.0,320000000.0,202000000.0,161000000.0,133000000.0
Long-term debt,1736000000.0,2138000000.0,954000000.0,698000000.0,676000000.0
Total debt,1736000000.0,2138000000.0,954000000.0,698000000.0,676000000.0
Deferred revenue,,,,,
Tax Liabilities,104000000.0,120000000.0,41000000.0,39000000.0,27000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,1949000000.0,2374000000.0,1041000000.0,784000000.0,747000000.0
Total liabilities,2329000000.0,2694000000.0,1243000000.0,945000000.0,881000000.0
Other comprehensive income,0000000.0,-2000000.0,-3000000.0,-1000000.0,-0000000.0
Retained earnings (deficit),527000000.0,351000000.0,383000000.0,299000000.0,275000000.0
Total shareholders equity,1994000000.0,1729000000.0,1207000000.0,1116000000.0,1032000000.0
Investments,,,,,
Net Debt,1652000000,1989000000,730000000,536000000,421000000
Other Assets,157000000,149000000,77000000,66000000,55000000
Other Liabilities,96000000,102000000,37000000,38000000,44000000
