date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,483411000.0,405950000.0,350993000.0,301087000.0,250243000.0,218633000.0,173816000.0,133893000.0,85487000.0,44058000.0,60446000.0,30166000.0,31270000.0,12400000.0
,costOfRevenue,89359000.0,75179000.0,69021000.0,57701000.0,48904000.0,42627000.0,33388000.0,24010000.0,12888000.0,5462000.0,9361000.0,5342000.0,3009000.0,1400000.0
,grossProfit,394052000.0,330771000.0,281972000.0,243386000.0,201339000.0,176006000.0,140428000.0,109883000.0,72599000.0,38596000.0,51085000.0,24824000.0,28261000.0,10900000.0
,grossProfitRatio,0.815149013986028,0.814807242271216,0.803355052664868,0.808357717204662,0.804573954116599,0.805029432885246,0.807911814792654,0.820677705331869,0.849240235357423,0.876027055245358,0.845134500215068,0.822913213551681,0.90377358490566,0.879032258064516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,40072000.0,35946000.0,34052000.0,33349000.0,33395000.0,28750000.0,26396000.0,17840000.0,14549000.0,5494000.0,9094000.0,1078000.0,1112000.0,600000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,128000.0,-1785000.0,-1277000.0,-1786000.0,-1149000.0,-1048000.0,-803000.0,-621000.0,-339000.0,0.0,0.0,0.0,0.0,0.0
