date,,2020-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,0.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0
,grossProfit,0.0,464000.0,1483000.0
,grossProfitRatio,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0
,operatingExpenses,0.0,5712000.0,7200000.0
,costAndExpenses,0.0,5712000.0,7200000.0
,interestExpense,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0
,EBITDA,0.0,-131104000.0,14523000.0
,EBITDARatio,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,-131104000.0,14523000.0
,operatingIncomeRatio,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0
,incomeBeforeTax,0.0,-131104000.0,14523000.0
,incomeBeforeTaxRatio,0.0,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0
,netIncome,0.0,-131104000.0,14523000.0
,netIncomeRatio,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,14.58,-12.58212,1.30022
,EPSDiluted,14.58,-12.58212,1.30022
,weightedAverageShsOut,103368681.0,10419863.0,11169672.0
,weightedAverageShsOutDil,103368681.0,10419863.0,11169672.0
