Date,2018-12-31,2018-06,2017-12-31,2017-06,2016-12-31,2016-06,2015-12-31,2015-06,2014-12-31,2014-06,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,1889733000.0,6000000.0,1303524000.0,4000000.0,1200718000.0,13000000.0,1525275000.0,3000000.0,1645669000.0,7000000.0,923647000.0,1259892000.0,962870000.0,463661000.0
Short-term investments,54205187000.0,,51691153000.0,,44841318000.0,,41978259000.0,,36696068000.0,,21474136000.0,22291614000.0,24964612000.0,22666568000.0
Cash and short-term investments,56094920000.0,,52994677000.0,,46042036000.0,,43503534000.0,,38341737000.0,,22397783000.0,23551506000.0,25927482000.0,23130229000.0
Receivables,427893000.0,50000000.0,392721000.0,46000000.0,347173000.0,30000000.0,339452000.0,35000000.0,261096000.0,31000000.0,0.0,0.0,144334000.0,127874000.0
Inventories,0.0,37000000.0,0.0,32000000.0,0.0,16000000.0,0.0,25000000.0,0.0,30000000.0,0.0,0.0,0.0,0.0
Total current assets,56522813000.0,93000000.0,53387398000.0,135000000.0,46389209000.0,168000000.0,43842986000.0,201000000.0,38602833000.0,231000000.0,22397783000.0,23551506000.0,26071816000.0,23258103000.0
Property Plant & Equipment Net,248700000.0,67000000.0,236100000.0,105000000.0,221700000.0,113000000.0,219600000.0,125000000.0,222700000.0,132000000.0,0.0,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,11000000,0.0,17000000,0.0,37000000,0.0,59000000,0.0,92000000,0.0,0.0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,679156000.0,1000000.0,719899000.0,2000000.0,686212000.0,0000000.0,792551000.0,000000.0,417167000.0,0000000.0,519604000.0,469268000.0,441464000.0,0.0
Total non-current assets,8012432000.0,13000000.0,7127420000.0,39000000.0,6708670000.0,47000000.0,6540166000.0,58000000.0,6076778000.0,100000000.0,17276690000.0,16808932000.0,6032216000.0,5823805000.0
Total assets,64535245000.0,224000000.0,60514818000.0,232000000.0,53097879000.0,249000000.0,50383152000.0,272000000.0,44679611000.0,305000000.0,39674473000.0,40360438000.0,32104032000.0,29081908000.0
Payables,487177000.0,35000000.0,488739000.0,36000000.0,388989000.0,23000000.0,296899000.0,20000000.0,306915000.0,17000000.0,275138000.0,233630000.0,118219000.0,133590000.0
Short-term debt,33900000.0,24000000.0,61900000.0,17000000.0,70690000.0,16000000.0,66154000.0,47000000.0,74623000.0,3000000.0,500000000.0,0.0,0.0,199985000.0
Total current liabilities,845702000.0,106000000.0,871863000.0,81000000.0,756969000.0,64000000.0,659266000.0,95000000.0,656199000.0,40000000.0,1054939000.0,479266000.0,312479000.0,333575000.0
Long-term debt,2787873000.0,12000000.0,2788365000.0,32000000.0,3088635000.0,25000000.0,2297548000.0,43000000.0,2314293000.0,85000000.0,2214350000.0,1815253000.0,1414688000.0,1016425000.0
Total debt,2821773000.0,12000000.0,2850265000.0,32000000.0,3159325000.0,25000000.0,2363702000.0,43000000.0,2388916000.0,85000000.0,2714350000.0,1815253000.0,1414688000.0,1216410000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax Liabilities,324625000.0,1000000.0,321224000.0,6000000.0,297290000.0,11000000.0,296213000.0,11000000.0,274661000.0,9000000.0,279801000.0,245636000.0,194260000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,4586673000.0,13000000.0,4986674000.0,39000000.0,5859275000.0,47000000.0,4515876000.0,58000000.0,4680110000.0,100000000.0,4051927000.0,3935754000.0,3246557000.0,2413172000.0
Total liabilities,56084692000.0,120000000.0,50945283000.0,119000000.0,46004797000.0,112000000.0,44247771000.0,152000000.0,37656159000.0,140000000.0,33738946000.0,33450251000.0,25966927000.0,24041341000.0
Other comprehensive income,528050000,-7000000.0,768848000,-13000000.0,753832000,-8000000.0,806003000,-6000000.0,1125885000,-9000000.0,1269191000,1443239000,1381325000,1545015000
Retained earnings (deficit),7284949000.0,-42000000.0,6736265000.0,-30000000.0,5199130000.0,-5000000.0,4620303000.0,36000000.0,4239647000.0,85000000.0,3659938000.0,3357255000.0,3131934000.0,2587403000.0
Total shareholders equity,8450553000.0,104000000.0,9569535000.0,112000000.0,7093082000.0,137000000.0,6135381000.0,119000000.0,7023452000.0,166000000.0,5935527000.0,6910187000.0,6137105000.0,5040567000.0
Investments,54205187000.0,,51691153000.0,,44841318000.0,,41978259000.0,,36696068000.0,,21474136000.0,22291614000.0,24964612000.0,22666568000.0
Net Debt,932040000.0,30000000,1546741000.0,45000000,1958607000.0,28000000,838427000.0,87000000,743247000.0,81000000,1790703000.0,555361000.0,451818000.0,752749000.0
Other Assets,0.0,35000000,0.0,15000000,0.0,18000000,0.0,9000000,0.0,2000000,0.0,0.0,0.0,0.0
Other Liabilities,50652317000.0,46000000,45086746000.0,26000000,39388553000.0,26000000,39072629000.0,24000000,32319850000.0,16000000,28632080000.0,29035231000.0,22407891000.0,21294594000.0
