Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Depreciation & Amortization,5021852.3878,4757255.1391,3440316.7747,2018179.0171,1136099.4511,617540.3891
Stock-based compensation,5647756.8741,3465386.9407,1530597.5522,1356647.666,626735.5505,378173.4257
Operating Cash Flow,-33738060.7815,-46357920.1935,-33862778.9777,-15001848.7136,770584.4366,-7323771.8431
Capital Expenditure,-7558755.4269,-3464328.8996,-6618862.491,-3613310.7379,-4186470.7782,-1122980.5473
Acquisitions and disposals,0.0,-280683.1923,0.0,0.0,0.0,0.0
Investment purchases and sales,-723589.0014,10213724.3047,-9563426.9258,0.0,0.0,0.0
Investing Cash flow,-8282344.4284,6468712.2128,-16182289.4168,-3613310.7379,-4186470.7782,-1122980.5473
Issuance (repayment) of debt,-3904486.2518,30383766.6264,9359251.2599,-616237.8678,645786.2448,0.0
Issuance (buybacks) of shares,3907.3806,467200.7255,88557379.4096,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-3900578.8712,28861547.763,93670122.3902,39670312.7407,645786.2448,16969007.5833
Effect of forex changes on cash,-98118.6686,-5968107.6179,3305255.5796,3697.4272,165967.0649,-393175.0742
Net cash flow / Change in cash,-46019102.7496,-16995767.8356,46930309.5752,21058850.7164,-2604133.032,8129080.1187
Free Cash Flow,-41296816.2084,-49822249.0931,-40481641.4687,-18615159.4515,-3415886.3416,-8446752.3904
Net Cash/Marketcap,-0.3273,-0.148,-0.148,-0.148,-0.148,-0.148
