date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2005-08-27_FY,2004-08-28_FY,2003-08-30_FY,2002-08-31_FY,2001-08-25_FY,2000-08-31_FY,1999-08-31_FY,1998-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,294969000.0,254860000.0,240755000.0,85066000.0,97147000.0,80296000.0,7887000.0,74526000.0,68825000.0,123846000.0,84356000.0,-57721000.0,-517002000.0,44359000.0,63466000.0,-18300000.0,9400000.0,24800000.0,1300000.0,2776000.0,38600000.0,50575000.0,5729000.0,0.0
,depreciationAndAmortization,136522000.0,141403000.0,127268000.0,102231000.0,99886000.0,101654000.0,83704000.0,38815000.0,37607000.0,37064000.0,41198000.0,50127000.0,46343000.0,43776000.0,43661000.0,14000000.0,25600000.0,25500000.0,27200000.0,28164000.0,24300000.0,27246000.0,28810000.0,26591000.0
,deferredIncomeTax,-7250000.0,-14008000.0,-11876000.0,1628000.0,-16284000.0,-13313000.0,-44716000.0,8232000.0,11940000.0,-19367000.0,-2953000.0,-1679000.0,15650000.0,-20434000.0,11155000.0,0.0,-5088000.0,1890000.0,-5574000.0,-791000.0,0.0,382000.0,1296000.0,0.0
,stockBasedCompensation,22920000.0,19629000.0,17112000.0,15306000.0,13436000.0,11033000.0,8887000.0,7928000.0,9881000.0,7519000.0,7588000.0,8102000.0,0.0,0.0,0.0,0.0,5465000.0,1205000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-19342000.0,-91706000.0,-6967000.0,228077000.0,3348000.0,32077000.0,-11585000.0,28659000.0,75656000.0,130948000.0,85909000.0,-40224000.0,-23100000.0,-192856000.0,55228000.0,-15700000.0,210500000.0,39900000.0,-17314000.0,18414000.0,200000.0,-15792000.0,3634000.0,0.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19336000.0,-26789000.0,-19203000.0,0.0,0.0,0.0,-4000000.0,-434000.0,-20030000.0,-11727000.0,0.0,20600000.0,0.0,0.0,0.0
,inventory,-50772000.0,-21354000.0,-38100000.0,-20214000.0,-19871000.0,-26670000.0,-11608000.0,-441000.0,-6118000.0,3632000.0,-14285000.0,10679000.0,1922000.0,24061000.0,-23205000.0,22300000.0,5946000.0,-6295000.0,4156000.0,8373000.0,-5900000.0,-6279000.0,1888000.0,0.0
,accountsPayables,0.0,-22647000.0,19950000.0,15975000.0,31294000.0,-28686000.0,14348000.0,-4408000.0,6265000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,3115000.0,14990000.0,5222000.0,0.0,5200000.0,0.0,0.0,0.0
,otherWorkingCapital,30681000.0,667964000.0,759670000.0,766637000.0,538560000.0,535212000.0,503135000.0,514720000.0,486061000.0,410405000.0,279457000.0,193548000.0,233772000.0,256872000.0,449728000.0,394500000.0,410200000.0,199700000.0,159800000.0,177114000.0,158700000.0,-246000.0,0.0,0.0
,otherNonCashItems,16477000.0,23551000.0,16278000.0,28295000.0,22993000.0,-8644000.0,61156000.0,3198000.0,5708000.0,922000.0,-1070000.0,10737000.0,508125000.0,15042000.0,12742000.0,28700000.0,7300000.0,4700000.0,2800000.0,0.0,5500000.0,0.0,0.0,19318000.0
,netCashProvidedByOperatingActivites,446674000.0,382298000.0,312576000.0,293373000.0,207555000.0,120918000.0,126423000.0,109402000.0,115162000.0,157286000.0,140898000.0,4193000.0,64382000.0,133254000.0,96899000.0,25200000.0,47000000.0,48100000.0,32100000.0,32861000.0,80000000.0,64129000.0,43409000.0,45909000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-131752000.0,-112355000.0,-110153000.0,-93597000.0,-65260000.0,-71977000.0,-57733000.0,-60360000.0,-49929000.0,-30267000.0,-16794000.0,-13162000.0,-26987000.0,-26919000.0,-30983000.0,-10700000.0,3321000.0,1345000.0,1156000.0,-19568000.0,-34900000.0,-21376000.0,0.0,0.0
,acquisitionsNet,-112000000.0,-277000000.0,-381000000.0,-20000000.0,0.0,0.0,-809000000.0,-13000000.0,-3000000.0,0.0,0.0,0.0,-163000000.0,-45000000.0,0.0,87000000.0,87000000.0,-5133000.0,-44431000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27990000.0,0.0,0.0,0.0,-10982000.0,-275948000.0,-170205000.0,0.0,-84226000.0,-65335000.0,-39281000.0,-90200000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,1726000.0,7692000.0,13778000.0,20000000.0,8000000.0,0.0,0.0,0.0,0.0,397483000.0,181412000.0,0.0,93235000.0,0.0,0.0,82204000.0,0.0,0.0,159000.0,0.0
,otherInvestingActivites,338000.0,3884000.0,4903000.0,1142000.0,-3152000.0,647000.0,-6950000.0,6689000.0,-2548000.0,1836000.0,4809000.0,2826000.0,0.0,-926000.0,-575000.0,0.0,0.0,0.0,0.0,-3126000.0,0.0,4874000.0,-621000.0,0.0
,netCashUsedForInvestingActivites,-243326000.0,-385840000.0,-485944000.0,-112455000.0,-66686000.0,-63638000.0,-860295000.0,-47029000.0,-72467000.0,-28431000.0,-11985000.0,-9843000.0,-199921000.0,50800000.0,-16485000.0,-13600000.0,82100000.0,-55500000.0,-37500000.0,-38333000.0,-110100000.0,-15789000.0,-9256000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-468000000.0,-4000000.0,-135850000.0,-460000000.0,-75000000.0,-100000000.0,-88650000.0,0.0,0.0,0.0,-259157000.0,-803283000.0,0.0,0.0,0.0,0.0,-21568000.0,-19453000.0,-13323000.0,0.0,0.0,0.0,0.0,0.0
