date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-30021000.0,-25446000.0,-22962000.0,-24352000.0,-15841000.0,-14400000.0,-10174810.538453,-17641923.90524,-20415210.094381,-13186022.070415,2096961.941832
,depreciationAndAmortization,861000.0,940000.0,545000.0,481000.0,482000.0,441000.0,246537.55974,329361.09117,407929.463535,410667.367315,511275.398183
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,1759000.0,2526000.0,1508000.0,1075000.0,1152000.0,968687.161813,872936.109117,839949.24972,1046505.517604,1848088.636101
,changeInWorkingCapital,-1288000.0,4324000.0,-1707000.0,2646000.0,411000.0,154000.0,151004.255341,-3591385.498923,48448.315551,1393589.06989,4366697.764086
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,-42000.0,73447.648006,262167.982771,389192.545919,485286.389911,9807806.673638
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,345000.0,-517000.0,-522000.0,-382000.0,-190000.0,-2316425.821728,562526.920316,979405.450837,-13605359.957961,392616.664647
,netCashProvidedByOperatingActivites,0.0,-22666000.0,-24192000.0,-20547000.0,-14513000.0,-14168000.0,-14479715.865462,-20233740.129218,-20114081.061259,-11222017.866527,11463110.098957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-67000.0,-173000.0,-338000.0,-52000.0,-2683000.0,-173089.911734,-88729.361091,-160066.810495,-249868.628481,-522267.537394
,acquisitionsNet,0.0,0.0,1500000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-43545000.0,-26500000.0,-44016000.0,-32982000.0,-63130000.0,-53018159.032135,-37145441.49318,-3426179.221294,-16672622.175512,-8043709.255099
,salesMaturitiesOfInvestments,0.0,48875000.0,44771000.0,33327000.0,42334000.0,50249000.0,35030932.759449,31571859.296482,17345299.978051,7174986.862848,381342.675712
,otherInvestingActivites,16668000.0,-6000.0,-10043000.0,-3900000.0,-3000.0,-36000.0,-5393.00911999494,-28427.8535530008,-16327.8853509985,-120336.311087998,-138670.063895999
,netCashUsedForInvestingActivites,16668000.0,5257000.0,9555000.0,-15927000.0,9297000.0,-15600000.0,-18165709.19354,-5690739.411342,13742726.060911,-9867840.252233,-8323304.180677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3357000.0,-1104000.0,-411000.0,-93000.0,-93000.0,-31000.0,0.0,-36468.054559,-80301.075499,-80924.855491,-79199.772265
,commonStockIssued,0.0,20297000.0,3830000.0,38773000.0,2183000.0,29053000.0,30256322.019143,15881119.88514,15847952.590245,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,21223000.0,1000.0,9678000.0,0.0,0.0,467000.0,0.0,2871.50035900064,535.340503001586,262.743036999993,294814.810639
,netCashUsedProvidedByFinancingActivities,17866000.0,19194000.0,13097000.0,38680000.0,2090000.0,29489000.0,30256322.019143,15847523.33094,15768186.855249,-80662.112454,215615.038374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,206000.0,108000.0,-166000.0,435000.0,51000.0,33000.0,239860.500831,-677099.784637,46039.283286,504466.631634,-1704908.976632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,11534000.0,1893000.0,-1706000.0,2641000.0,-3075000.0,-246000.0,-2149242.539029,-10754055.994257,9442871.138188,-20673935.890699,1650511.980022
,cashAtEndOfPeriod,0.0,5297000.0,3404000.0,5110000.0,2469000.0,5544000.0,5783103.445619,8869490.308686,18292317.328437,8686547.55649,31495579.187089
,cashAtBeginningOfPeriod,0.0,3404000.0,5110000.0,2469000.0,5544000.0,5790000.0,7932345.984648,19623546.302943,8849446.190249,29360483.447189,29845067.207067
,operatingCashFlow,0.0,-22666000.0,-24192000.0,-20547000.0,-14513000.0,-14168000.0,-14479715.865462,-20233740.129218,-20114081.061259,-11222017.866527,11463110.098957
,capitalExpenditure,0.0,-73000.0,-10216000.0,-4238000.0,-55000.0,-2719000.0,-178482.920854,-117157.214645,-176394.695846,-284813.452444,-660937.60129
,freeCashFlow,0.0,-22739000.0,-34408000.0,-24785000.0,-14568000.0,-16887000.0,-14658198.786316,-20350897.343862,-20290475.757105,-11506831.31897,10802172.497668
