date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,7241000000.0,7523100000.0,7679500000.0,7648500000.0,7472300000.0,5926100000.0,4997100000.0,4519000000.0,4246400000.0,4486400000.0,4202500000.0,4127900000.0,4431000000.0,4237800000.0,3996400000.0,3815500000.0,3431100000.0,4054300000.0,3736200000.0,3928500000.0,3354700000.0,2272700000.0,1979900000.0,1789600000.0,1773900000.0,1770500000.0
,costOfRevenue,2319000000.0,4863600000.0,5168400000.0,4869800000.0,4832900000.0,3949400000.0,3371800000.0,2982100000.0,2760500000.0,1898400000.0,1851400000.0,1975700000.0,1240700000.0,996400000.0,802000000.0,776700000.0,592900000.0,570800000.0,594100000.0,660100000.0,682100000.0,588100000.0,461400000.0,444700000.0,331900000.0,345400000.0
,grossProfit,4922000000.0,2659500000.0,2511100000.0,2778700000.0,2639400000.0,1976700000.0,1625300000.0,1536900000.0,1485900000.0,2588000000.0,2351100000.0,2152200000.0,3190300000.0,3241400000.0,3194400000.0,3038800000.0,2838200000.0,3483500000.0,3142100000.0,3268400000.0,2672600000.0,1684600000.0,1518500000.0,1344900000.0,1442000000.0,1425100000.0
,grossProfitRatio,0.679740367352576,0.353511185548511,0.326987434077739,0.36329999346277,0.353224576101067,0.333558326724152,0.325248644213644,0.340097366674043,0.349919932177845,0.576854493580599,0.559452706722189,0.521378909372805,0.719995486346197,0.764878002737269,0.799319387448704,0.796435591665575,0.827198274605812,0.85921120785339,0.840988169798191,0.831971490390734,0.796673323993204,0.741232894794738,0.766957927168039,0.751508717031739,0.812898134054907,0.804913866139509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,5535000000.0,66600000.0,55100000.0,51300000.0,36100000.0,15900000.0,300000.0,500000.0,-3200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,5535000000.0,1128100000.0,1042700000.0,993500000.0,957300000.0,726200000.0,513200000.0,456800000.0,485600000.0,1700700000.0,1540700000.0,1719200000.0,3017800000.0,2612900000.0,2625900000.0,2475900000.0,2481300000.0,2932700000.0,2684100000.0,2663500000.0,2227700000.0,1228900000.0,1143700000.0,1126600000.0,1005500000.0,947800000.0
