date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,54959000.0,68938000.0,61400000.0,62876000.0,46584000.0,39369000.0,40030000.0,39330000.0,38075000.0,34865000.0,27171000.0,22356000.0,28723000.0,40556000.0,11867000.0,2022000.0,3017000.0
,depreciationAndAmortization,33748000.0,28182000.0,27206000.0,28579000.0,29119000.0,33406000.0,23806000.0,20715000.0,24440000.0,20307000.0,23101000.0,20553000.0,14090000.0,6316000.0,3536000.0,5541000.0,3155000.0
,deferredIncomeTax,-1865000.0,-123000.0,5100000.0,-7390000.0,6535000.0,2106000.0,4071000.0,2434000.0,13637000.0,-4623000.0,-5224000.0,2203000.0,-3380000.0,-1815000.0,-1558000.0,-1916000.0,-280000.0
,stockBasedCompensation,17555000.0,15818000.0,11506000.0,10291000.0,9082000.0,10850000.0,11008000.0,8891000.0,8770000.0,6658000.0,7533000.0,7192000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,62517000.0,-17312000.0,6979000.0,4657000.0,18655000.0,-1430000.0,9062000.0,-15547000.0,-4586000.0,18569000.0,-10676000.0,24439000.0,26455000.0,15119000.0,-1411000.0,-5539000.0,-2005000.0
,accountsReceivables,54384000.0,-31300000.0,-60096000.0,-7234000.0,-29020000.0,-2713000.0,-2464000.0,829000.0,12457000.0,-18147000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-51177000.0,31949000.0,28309000.0,3631000.0,8941000.0,-2374000.0,9424000.0,730000.0,2604000.0,7996000.0,2396000.0,-3763000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,11439000.0,96735000.0,114047000.0,107068000.0,102411000.0,83756000.0,85186000.0,76124000.0,91671000.0,96257000.0,77688000.0,88364000.0,63925000.0,37470000.0,22351000.0,174000.0,184000.0
,otherNonCashItems,-633000.0,-559000.0,1987000.0,771000.0,-680000.0,2788000.0,-330000.0,3082000.0,3594000.0,37036000.0,1696000.0,241000.0,6895000.0,3652000.0,5074000.0,2138000.0,-31000.0
,netCashProvidedByOperatingActivites,173145000.0,91440000.0,74670000.0,117191000.0,79563000.0,76319000.0,79160000.0,81032000.0,87241000.0,59521000.0,68178000.0,48554000.0,28049000.0,45463000.0,17529000.0,2236000.0,3269000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-437000.0,-10270000.0,-3806000.0,-1875000.0,-1370000.0,-1155000.0
,acquisitionsNet,-253000000.0,-4000000.0,-35000000.0,0.0,0.0,-2000000.0,-348000000.0,-5000000.0,-10000000.0,-108000000.0,0.0,-189000000.0,-51000000.0,-96000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130000.0,300000.0
,netCashUsedForInvestingActivites,-270948000.0,-30470000.0,-56387000.0,-14604000.0,-13891000.0,-14500000.0,-360845000.0,-18924000.0,-23535000.0,-118243000.0,-7677000.0,-197177000.0,-61692000.0,-100198000.0,-1773000.0,-38844000.0,-185000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-870114000.0,-721809000.0,-579817000.0,-643363000.0,-530728000.0,-420265000.0,-422980000.0,-204215000.0,-212270000.0,-153138000.0,-103338000.0,-251439000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,77000.0,66000.0,83382000.0,2612000.0,3925000.0,481000.0,312000.0,0.0
,commonStockRepurchased,-29726000.0,-23414000.0,-17125000.0,-32464000.0,-13823000.0,-24861000.0,-28323000.0,-7447000.0,-11602000.0,-975000.0,-1291000.0,-4179000.0,-2329000.0,0.0,0.0,0.0,-324000.0
,dividendsPaid,-10551000.0,-10540000.0,-7915000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,59858000.0,-1621000.0,-3747000.0,-6420000.0,-4041000.0,-1999000.0,2298000.0,1213000.0,-1151000.0,-8000.0,914000.0,3113000.0,32796000.0,50412000.0,15876000.0,-4025000.0,-60000.0
,netCashUsedProvidedByFinancingActivities,169955000.0,-67640000.0,-28771000.0,-87300000.0,-66974000.0,-64448000.0,285858000.0,-68131000.0,-52642000.0,59799000.0,-59366000.0,149505000.0,33079000.0,54337000.0,-13277000.0,36287000.0,-3820000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,3353000.0,166000.0,-792000.0,1094000.0,-403000.0,-1746000.0,-1004000.0,251000.0,-436000.0,-281000.0,-187000.0,-65000.0,-633000.0,134000.0,19000.0,23000.0,-110000.0
