date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,636007000.0,583329000.0,451768000.0,352704000.0,282084000.0,269654000.0,316629000.0,247300000.0,221200000.0,308968000.0,322700000.0,171300000.0,199700000.0,241400000.0,270100000.0,238902000.0,176237000.0,138566000.0,134720000.0,126550000.0,289564000.0,208800000.0,171500000.0,187800000.0,159400000.0,178800000.0,102700000.0,75300000.0,54400000.0,48200000.0,43900000.0,35300000.0,33600000.0,29800000.0,28800000.0,30400000.0
,costOfRevenue,364225000.0,353500000.0,292460000.0,209297000.0,187256000.0,180616000.0,210657000.0,176800000.0,153200000.0,208839000.0,212700000.0,118900000.0,134700000.0,162600000.0,177200000.0,143371000.0,105178000.0,91662000.0,85047000.0,93594000.0,173376000.0,123400000.0,113600000.0,103800000.0,86900000.0,103200000.0,61300000.0,45500000.0,36700000.0,33200000.0,29700000.0,22000000.0,20300000.0,18000000.0,18200000.0,20400000.0
,grossProfit,271782000.0,229829000.0,159308000.0,143407000.0,94828000.0,89038000.0,105972000.0,70500000.0,68000000.0,100129000.0,110000000.0,52400000.0,65000000.0,78800000.0,92900000.0,95531000.0,71059000.0,46904000.0,49673000.0,32956000.0,116188000.0,85400000.0,57900000.0,84000000.0,72500000.0,75600000.0,41400000.0,29800000.0,17700000.0,15000000.0,14200000.0,13300000.0,13300000.0,11800000.0,10600000.0,10000000.0
,grossProfitRatio,0.427325485411324,0.393995498252273,0.352632324555967,0.406593063872255,0.336169367989677,0.330193507235198,0.334688231336991,0.28507885159725,0.307414104882459,0.324075632427954,0.340873876665634,0.305896088733217,0.325488232348523,0.326429163214582,0.34394668641244,0.399875262660003,0.403201370881257,0.338495734884459,0.368712885985748,0.260418806795733,0.401251536793248,0.409003831417625,0.337609329446064,0.447284345047923,0.454830614805521,0.422818791946309,0.403115871470302,0.395750332005312,0.325367647058824,0.311203319502075,0.323462414578588,0.376770538243626,0.395833333333333,0.395973154362416,0.368055555555556,0.328947368421053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,86151000.0,86147000.0,56434000.0,40737000.0,34841000.0,33107000.0,36018000.0,48600000.0,36200000.0,36230000.0,36200000.0,32000000.0,38100000.0,38300000.0,39100000.0,29787000.0,27895000.0,24724000.0,32465000.0,29674000.0,32562000.0,20500000.0,20400000.0,17500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,129248000.0,142936000.0,96754000.0,60737000.0,54322000.0,51170000.0,50551000.0,57700000.0,45900000.0,46563000.0,44100000.0,35500000.0,36600000.0,36200000.0,37100000.0,35285000.0,29124000.0,25154000.0,24033000.0,24972000.0,29734000.0,26900000.0,22100000.0,21400000.0,33900000.0,35400000.0,23500000.0,17800000.0,10900000.0,10100000.0,9300000.0,8900000.0,8600000.0,8100000.0,7800000.0,8000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,215399000.0,282157000.0,189089000.0,105682000.0,89163000.0,81079000.0,86569000.0,106300000.0,82000000.0,82793000.0,80300000.0,67500000.0,77300000.0,74500000.0,73200000.0,65072000.0,57019000.0,49878000.0,56498000.0,46900000.0,65881000.0,50700000.0,45300000.0,41000000.0,35600000.0,37300000.0,24700000.0,18800000.0,11800000.0,10900000.0,10000000.0,9600000.0,9300000.0,8700000.0,8500000.0,8500000.0
,costAndExpenses,579624000.0,635657000.0,481549000.0,314979000.0,276419000.0,261695000.0,297226000.0,283100000.0,235200000.0,291632000.0,293000000.0,186400000.0,212000000.0,237100000.0,250400000.0,208443000.0,162197000.0,141540000.0,141545000.0,140494000.0,239257000.0,174100000.0,158900000.0,144800000.0,122500000.0,140500000.0,86000000.0,64300000.0,48500000.0,44100000.0,39700000.0,31600000.0,29600000.0,26700000.0,26700000.0,28900000.0
,interestExpense,13759000.0,20556000.0,4977000.0,-2360000.0,0.0,44000.0,30000.0,100000.0,0.0,0.0,0.0,0.0,-400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,52746000.0,58871000.0,26047000.0,9195000.0,10412000.0,11273000.0,13528000.0,13470000.0,9400000.0,10067000.0,10990000.0,11030000.0,6940000.0,7440000.0,6480000.0,5775000.0,4349000.0,3996000.0,4634000.0,4623000.0,3585000.0,3300000.0,2800000.0,2100000.0,1700000.0,1900000.0,1200000.0,1000000.0,900000.0,800000.0,700000.0,700000.0,700000.0,600000.0,700000.0,500000.0
,EBITDA,56006000.0,6543000.0,-3734000.0,46920000.0,16077000.0,19232000.0,32931000.0,-22330000.0,-4700000.0,27403000.0,40690000.0,-4070000.0,-5360000.0,11740000.0,26180000.0,36234000.0,18389000.0,1022000.0,-2191000.0,-9321000.0,53892000.0,38000000.0,15400000.0,45100000.0,38600000.0,40200000.0,17900000.0,12000000.0,6800000.0,4900000.0,4900000.0,4400000.0,4700000.0,3700000.0,2800000.0,2000000.0
