date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,50268000000.0,8589000000.0,2025000000.0,6405000000.0,3434000000.0,7091000000.0,6512000000.0,4865000000.0,1760000000.0,3259000000.0,6213000000.0,7392000000.0,3546000000.0,7091000000.0,3993000000.0,1692000000.0,1423000000.0,-1428000000.0
,depreciationAndAmortization,5161000000.0,4379000000.0,2638000000.0,2240000000.0,2083000000.0,2036000000.0,2124000000.0,2026000000.0,1949000000.0,1909000000.0,1802000000.0,1560000000.0,11784000000.0,1070000000.0,912000000.0,948000000.0,778000000.0,6310000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4696000000.0,1373000000.0,2201000000.0,1041000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,21642000000.0,267000000.0,-78000000.0,-2189000000.0,-2090000000.0,4166000000.0,4058000000.0,-7625000000.0,2253000000.0,1644000000.0,1948000000.0,11225000000.0,-2771000000.0,-4284000000.0,1948000000.0,-4103000000.0,0.0,32365000000.0
,accountsReceivables,0.0,50622000000.0,48838000000.0,38967000000.0,124466000000.0,70482000000.0,41330000000.0,23300000000.0,-4434000000.0,-925000000.0,13056000000.0,9917000000.0,-9377000000.0,28626000000.0,15594000000.0,3096000000.0,-1357000000.0,140703900.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43659592500.0
,otherWorkingCapital,40592000000.0,7657000000.0,7390000000.0,7468000000.0,9657000000.0,11747000000.0,7581000000.0,3523000000.0,11148000000.0,8895000000.0,7251000000.0,5303000000.0,-5922000000.0,-3151000000.0,1133000000.0,-815000000.0,3288000000.0,-31627018600.0
,otherNonCashItems,419866000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222000000.0
,netCashProvidedByOperatingActivites,304024000000.0,286032000000.0,147552000000.0,0.0,89098000000.0,-18811000000.0,78247000000.0,68292000000.0,132182000000.0,133953000000.0,178600000000.0,149700000000.0,84779000000.0,122854000000.0,80352000000.0,31828000000.0,32914000000.0,38510000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-7467000000.0,-11415000000.0,-19546000000.0,-9619000000.0,-5310000000.0,-8384000000.0,-5048000000.0,-3724000000.0,-5293000000.0,0.0,-4849000000.0,-3261000000.0,-2825000000.0,-3177283500.0,-2684954400.0,-1484000000.0,-970000000.0,-2242000000.0
,acquisitionsNet,0.0,207000000.0,0.0,0.0,-2000000.0,623000000.0,0.0,-385000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-765000000.0,0.0,0.0,0.0
,purchasesOfInvestments,-932223000000.0,5468000000.0,26258000000.0,6981000000.0,-22035000000.0,-9602000000.0,-3630000000.0,-7401000000.0,1476000000.0,-2370000000.0,89000000.0,8000000.0,5053000000.0,-5053000000.0,0.0,279000000.0,13723000000.0,-85115000000.0
,salesMaturitiesOfInvestments,543820000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43867000000.0
,otherInvestingActivites,-14797000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61939000000.0
,netCashUsedForInvestingActivites,-292797000000.0,-247515000000.0,-238373000000.0,-173676000000.0,-104703000000.0,67047000000.0,-69257000000.0,-60233000000.0,-203804000000.0,-133591000000.0,-135937000000.0,-163751000000.0,-156471000000.0,-138514000000.0,-141038000000.0,-91340000000.0,-120526000000.0,-105166000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-7983000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24710000000.0
,commonStockRepurchased,-9060000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-20834000000.0,-964000000.0,-1164000000.0,-778000000.0,-526000000.0,-313000000.0,-106000000.0,-579000000.0,-629000000.0,-36000000.0,-43000000.0,-40000000.0,-10067000000.0,-19400000000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,22162000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70035000000.0
,netCashUsedProvidedByFinancingActivities,-7760000000.0,-36075000000.0,92963000000.0,-45595000000.0,6270000000.0,-19415000000.0,16704000000.0,-56105000000.0,85089000000.0,7991000000.0,-30681000000.0,16167000000.0,80748000000.0,-8729000000.0,83313000000.0,60717000000.0,72213000000.0,94743000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
