date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,11521400000.0,725300000.0,-2778100000.0,1960800000.0,-1196400000.0,-695000000.0,-963900000.0
,depreciationAndAmortization,3652200000.0,3858200000.0,4857000000.0,5213800000.0,5609400000.0,5500100000.0,4276400000.0
,deferredIncomeTax,65500000.0,438100000.0,31900000.0,-1465000000.0,-31500000.0,-350600000.0,18600000.0
,stockBasedCompensation,305800000.0,206000000.0,173900000.0,281500000.0,315800000.0,257200000.0,300700000.0
,changeInWorkingCapital,89700000.0,1094800000.0,-179800000.0,-338900000.0,-169200000.0,-157300000.0,-341400000.0
,accountsReceivables,876900000.0,635400000.0,500100000.0,530700000.0,532700000.0,860500000.0,866700000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,53700000.0,56400000.0,63200000.0,-453100000.0,72200000.0,84300000.0,78000000.0
,netCashProvidedByOperatingActivites,4585400000.0,5963100000.0,5708500000.0,5467300000.0,5399300000.0,5603200000.0,3931300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1243100000.0,-1453000000.0,-1953100000.0,-2153900000.0,-2272300000.0,-2684400000.0,-2481500000.0
,acquisitionsNet,-23000000.0,-83000000.0,-414000000.0,-1393000000.0,-113000000.0,-73000000.0,-4073000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,36200000.0,25500000.0,147300000.0,0.0,0.0,0.0
,otherInvestingActivites,-139800000.0,131400000.0,976800000.0,73100000.0,-44800000.0,-13800000.0,-44900000.0
,netCashUsedForInvestingActivites,9541000000.0,601500000.0,79400000.0,-3475200000.0,-3429000000.0,-2799600000.0,-7950100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-10300700000.0,-8170600000.0,-10506200000.0,-11387900000.0,-13880600000.0,-11316100000.0,-8318600000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-3333500000.0,-2254600000.0,-2976200000.0,-1948300000.0,-2462900000.0,-1845600000.0,-1615200000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,93100000.0,-257900000.0,-1308800000.0,-458400000.0,-858800000.0,-670800000.0,4886800000.0
,netCashUsedProvidedByFinancingActivities,-7176600000.0,-6189800000.0,-4680500000.0,-1634400000.0,-2311300000.0,-4261300000.0,4615900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-800000.0,-45100000.0,104400000.0,11300000.0,-2800000.0,-81900000.0,85400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,6682600000.0,-184500000.0,595800000.0,369000000.0,-343800000.0,-1543400000.0,663000000.0
,cashAtEndOfPeriod,8180900000.0,1498300000.0,1672400000.0,1076600000.0,707600000.0,1158500000.0,2701900000.0
,cashAtBeginningOfPeriod,1498300000.0,1682800000.0,1076600000.0,707600000.0,1051400000.0,2701900000.0,2038900000.0
,operatingCashFlow,4585400000.0,5963100000.0,5708500000.0,5467300000.0,5399300000.0,5603200000.0,3931300000.0
,capitalExpenditure,-1243100000.0,-1453000000.0,-1953100000.0,-2153900000.0,-2272300000.0,-2684400000.0,-2481500000.0
,freeCashFlow,3342300000.0,4510100000.0,3755400000.0,3313400000.0,3127000000.0,2918800000.0,1449800000.0
