Date,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30
Depreciation & Amortization,216000.0,44075.0,93394.0,177074.0,349656.0,293629.0,258023.0,143274.0,126567.0,,,
Stock-based compensation,13370000.0,80108.0,156678.0,480681.0,1297224.0,724693.0,766004.0,750366.0,440439.0,,,
Operating Cash Flow,-31367000.0,-15935000.0,-1925110.0,-8844000.0,-3676215.0,-5735000.0,-7344696.0,-4868133.0,-3902626.0,-4386049.0,-5391442.0,-4743129.0
Capital Expenditure,-229000.0,-237000.0,-2500.0,-36000.0,0.0,-10000.0,-259587.0,-627726.0,-529042.0,-450496.0,-686425.0,-809031.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,1274662.0,0.0,0.0,0.0,0.0,,,
Investment purchases and sales,-88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050000.0,,,
Investing Cash flow,-317000.0,-114000.0,47500.0,-36000.0,0.0,1486000.0,-259587.0,646936.0,-529042.0,-450496.0,-686425.0,240969.0
Issuance (repayment) of debt,0.0,2500000.0,1100000.0,2500000.0,0.0,2500000.0,0.0,-2187082.0,-12026.0,0.0,4264.0,2194844.0
Issuance (buybacks) of shares,56184000.0,0.0,0.0,17517000.0,1152397.0,17517000.0,4827569.0,10917325.0,4044663.0,3227916.0,1657261.0,1359188.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,56184000.0,37950000.0,1100000.0,9736000.0,1152397.0,3882000.0,4827569.0,8730243.0,4032637.0,3227916.0,1661525.0,12147887.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Net cash flow / Change in cash,24500000.0,-777610.0,-2523818.0,-2776714.0,4509046.0,-399031.0,-1608629.0,-4416342.0,7645727.0,,,
Free Cash Flow,-31596000.0,-1927610.0,-3676215.0,-7604283.0,-5495859.0,-4431668.0,-4836545.0,-6077867.0,-5552160.0,,,
Net Cash/Marketcap,0.1153,-0.0514,0.1805,0.212,0.316,-0.1001,-0.0106,0.0654,0.5426,,,
