date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,97750000.0,109523000.0,105150000.0,67070000.0,90815000.0,38785000.0,65772000.0,109314000.0,69837000.0,87463000.0
,depreciationAndAmortization,97751000.0,93785000.0,100063000.0,82511000.0,57178000.0,58299000.0,55313000.0,55925000.0,54978000.0,52991000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,16994000.0,13549000.0,9741000.0,7137000.0,5433000.0,10261000.0,3878000.0,0.0,2850000.0,0.0
,changeInWorkingCapital,-331754000.0,46456000.0,-15065000.0,348295000.0,-2869000.0,14077000.0,-11252000.0,62963000.0,-10883000.0,-13102000.0
,accountsReceivables,-21998000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,8522000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,251592000.0,583346000.0,536890000.0,551955000.0,203660000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,-3858000.0,-31831000.0,-45489000.0,-4719000.0,-4836000.0,-8045000.0,-6696000.0,-14431000.0,-29619000.0
,netCashProvidedByOperatingActivites,112822000.0,156400000.0,137040000.0,157898000.0,137249000.0,138078000.0,105688000.0,240527000.0,108364000.0,97730000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,12677000.0,1300000.0,0.0,0.0,925000.0,1082000.0,-2087000.0,-1011000.0,603000.0
,netCashUsedForInvestingActivites,-98460000.0,-2521000.0,-64803000.0,-295732000.0,-59230000.0,-65490000.0,-44504000.0,-27013000.0,-32886000.0,-39023000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-89302000.0,-5587000.0,-4288000.0,-130778000.0,-38458000.0,-44654000.0,-42481000.0,-367704000.0,-24439000.0,-39669000.0
,commonStockIssued,398000.0,439000.0,477000.0,348404000.0,8949000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-5978000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-26647000.0,-106163000.0,-100244000.0,-95381000.0,-81240000.0,-79167000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-8976000.0,-11501000.0,-559456000.0,-5109000.0,217616000.0,-151326000.0,-161932000.0,-48946000.0,-98550000.0
,netCashUsedProvidedByFinancingActivities,-80245000.0,-126265000.0,-115556000.0,498489000.0,-115858000.0,93795000.0,-63807000.0,-212636000.0,-73385000.0,-58673000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-65883000.0,27614000.0,-43319000.0,360655000.0,-37839000.0,166383000.0,-2623000.0,878000.0,2093000.0,34000.0
,cashAtEndOfPeriod,419253000.0,485136000.0,457522000.0,500841000.0,140186000.0,168983000.0,2600000.0,5223000.0,4345000.0,2252000.0
,cashAtBeginningOfPeriod,485136000.0,457522000.0,500841000.0,140186000.0,178025000.0,2600000.0,5223000.0,4345000.0,2252000.0,2218000.0
,operatingCashFlow,112822000.0,156400000.0,137040000.0,157898000.0,137249000.0,138078000.0,105688000.0,240527000.0,108364000.0,97730000.0
,capitalExpenditure,0.0,-22147000.0,-66103000.0,-295732000.0,-59230000.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,112822000.0,156400000.0,137040000.0,157898000.0,137249000.0,138078000.0,105688000.0,240527000.0,108364000.0,97730000.0
