date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,185221000.0,186182000.0,288862000.0,167342000.0,7634000.0,254701000.0,115068000.0,142382000.0,106545000.0,27600000.0,83380000.0,27649000.0,-4936000.0,42883000.0
,depreciationAndAmortization,7163000.0,7398000.0,9338000.0,10296000.0,14583000.0,121122000.0,106950000.0,89132000.0,87503000.0,44900000.0,56907000.0,61336000.0,66231000.0,62223000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13500000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,19235000.0,18087000.0,13979000.0,9931000.0,9266000.0,15021000.0,21750000.0,15296000.0,18316000.0,5870000.0,10989000.0,14325000.0,12389000.0,11974000.0
,changeInWorkingCapital,41702000.0,-10292000.0,58283000.0,226000.0,244898000.0,128041000.0,-170501000.0,66813000.0,-199334000.0,-130461000.0,8352000.0,260859000.0,-99589000.0,1446000.0
,accountsReceivables,2582000.0,1371000.0,-5391000.0,-3361000.0,-16608000.0,-1869000.0,-11469000.0,-18935000.0,-9120000.0,9694000.0,1837000.0,-1964000.0,5168000.0,2437000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,82000.0,-553000.0,219000.0,-802000.0,-9316000.0,-955000.0,704000.0,-14743000.0,17339000.0,6164000.0,142000.0,-789000.0,-12717000.0,7479000.0
,otherWorkingCapital,258636000.0,216934000.0,227226000.0,168943000.0,168717000.0,-76181000.0,-204222000.0,-33721000.0,-100534000.0,98800000.0,229261000.0,220909000.0,-39950000.0,59639000.0
,otherNonCashItems,2449000.0,3003000.0,3003000.0,3004000.0,3234000.0,1602000.0,2519000.0,2180000.0,2180000.0,800000.0,18244000.0,1097000.0,-841000.0,1640000.0
,netCashProvidedByOperatingActivites,210032000.0,205959000.0,210610000.0,196182000.0,68157000.0,154533000.0,342555000.0,263055000.0,333373000.0,51900000.0,195282000.0,101881000.0,69446000.0,102822000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2814000.0,-2879000.0,-3724000.0,-4894000.0,-3323000.0,-69353000.0,-306389000.0,-229497000.0,-401424000.0,-95900000.0,-132905000.0,-59361000.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,228000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-529000.0,0.0,-37632000.0,-14425000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0,44136000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-2000000.0,-3724000.0,-4894000.0,-3323000.0,-3000000.0,-1499000.0,-185361000.0,-27657000.0,0.0,2010000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-2814000.0,-4879000.0,-3724000.0,-4894000.0,-3323000.0,120157000.0,-516398000.0,-185361000.0,-429081000.0,-98000000.0,-131424000.0,-59287000.0,-92824000.0,-44521000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-35000000.0,-175000000.0,-125000000.0,-167500000.0,-61250000.0,0.0,-257000.0,-272000.0,-864000.0,-695000.0,-1315000.0,-1222000.0,-1101000.0,-906000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-13850000.0,0.0,-100027000.0,-140717000.0,0.0,0.0,-11768000.0,-5800000.0,-3723000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,-1467093000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-301804000.0,-5000000.0,-3780000.0,-2271000.0,-16181000.0,-8057000.0,-12425000.0,-12831000.0,6998000.0,0.0,182329000.0,-2382000.0,-60176000.0,-120039000.0
,netCashUsedProvidedByFinancingActivities,-236804000.0,-180000000.0,-142630000.0,-169769000.0,-93541000.0,-148256000.0,-11819000.0,-6281000.0,-2668000.0,-3500000.0,180924000.0,-3604000.0,-61277000.0,-120945000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-29586000.0,21080000.0,64256000.0,21519000.0,-99117000.0,126434000.0,-185662000.0,71413000.0,-98376000.0,-49600000.0,244782000.0,38990000.0,-84655000.0,-62644000.0
,cashAtEndOfPeriod,196837000.0,226423000.0,205343000.0,141087000.0,119568000.0,218685000.0,92251000.0,277913000.0,206500000.0,304900000.0,354498000.0,109716000.0,70726000.0,155381000.0
,cashAtBeginningOfPeriod,226423000.0,205343000.0,141087000.0,119568000.0,218685000.0,92251000.0,277913000.0,206500000.0,304876000.0,354500000.0,109716000.0,70726000.0,155381000.0,218025000.0
