Date,2018-12-31,2017-12-31
Depreciation & Amortization,1883000.0,1559000.0
Stock-based compensation,2997000.0,1559000.0
Operating Cash Flow,2272000.0,-9474000.0
Capital Expenditure,-579000.0,-612000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,1902000.0,-612000.0
Issuance (repayment) of debt,-5098000.0,-3259000.0
Issuance (buybacks) of shares,-1140000.0,25000.0
Dividend payments,0.0,0.0
Financing Cash Flow,-8738000.0,11766000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-4564000.0,1680000.0
Free Cash Flow,1693000.0,-10086000.0
Net Cash/Marketcap,,
