Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-1070676.0,0.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-274239800.0,
Investing Cash flow,-274239800.0,0.0
Issuance (repayment) of debt,-221201.0,0.0
Issuance (buybacks) of shares,282500000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,276469199.0,100000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,1158723.0,
Free Cash Flow,-1070676.0,
Net Cash/Marketcap,0.0035,
