date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,120304000.0,1240442000.0,1189249000.0,1055765000.0,982991000.0,904170000.0,830549000.0,787778000.0,771666000.0,740810000.0,747504000.0,675753000.0,477739000.0,714069000.0,727900000.0,738226000.0,687868000.0,646002000.0,591300000.0,529577000.0,455337000.0,396143000.0,319600000.0,227900000.0,141300000.0,109300000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,120304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,413356000.0,416245000.0,385575000.0,357732000.0,321559000.0,292821000.0,285949000.0,286850000.0,283574000.0,270561000.0,279385000.0,276315000.0,244570000.0,255780000.0,241469000.0,219820000.0,206381000.0,171042000.0,142899000.0,122257000.0,106493000.0,76900000.0,57700000.0,44500000.0,37600000.0
,SellingAndMarketingExpenses,0.0,16286000.0,16838000.0,17421000.0,19703000.0,16053000.0,15379000.0,15502000.0,16827000.0,18456000.0,18968000.0,14469000.0,13956000.0,14213000.0,15477000.0,14267000.0,13380000.0,11508000.0,10522000.0,8728000.0,9118000.0,9584000.0,6600000.0,5700000.0,4400000.0,6000000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5838000.0,-5993000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1007000000.0,953000000.0,896000000.0,819000000.0,783000000.0,700000000.0,629000000.0,622000000.0,638000000.0,669000000.0,825000000.0,1061000000.0,1225000000.0,1038000000.0,951000000.0,781000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,0.0,199456000.0,148486000.0,117318000.0,103400000.0,95415000.0,90500000.0,90912000.0,114594000.0,135955000.0,171376000.0,250704000.0,363482000.0,487403000.0,506188000.0,354506000.0,263947000.0,245199000.0,286306000.0,389756000.0,412395000.0,342279000.0,377100000.0,253900000.0,149700000.0,131500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,3847000.0,3847000.0,4062000.0,5652000.0,6340000.0,2685000.0,4919000.0,5420000.0,5588000.0,5588000.0,5743000.0,5939000.0,61804000.0,56053000.0,53694000.0,52769000.0,53522000.0,44414000.0,51024000.0,48148000.0,38058000.0,32800000.0,17400000.0,16100000.0,6100000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0,0.392353693280298,0.371354527100716,0.335102982197743,0.308700690036837,0.332145503611047,0.350564506127874,0.32524264450137,0.321851681945298,0.279874731712585,0.117313084612256,-0.190377253227141,-0.805035804068749,0.222365065560891,0.265246599807666,0.370016769932243,0.323799042839615,0.376190785787041,0.395699306612549,0.389452336487423,0.387420745513762,0.360178016524336,0.35982478097622,0.234752084247477,0.283793347487615,0.242451967063129
