Date,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Cash and cash equivalents,3004932.0,3000000.0,7119686.0,7000000.0,7793952.0,8000000.0,15041505.0,15000000.0,8888749.0,9000000.0,8184793.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,3004932.0,,7119686.0,,7793952.0,,15041505.0,,8888749.0,,8184793.0
Receivables,615555.0,49000000.0,369940.0,82000000.0,470663.0,102000000.0,283478.0,69000000.0,338513.0,59000000.0,107936.0
Inventories,13049065.0,13000000.0,12163511.0,12000000.0,16042462.0,16000000.0,15343671.0,15000000.0,27141004.0,27000000.0,28702113.0
Total current assets,160221328.0,0000000.0,226394802.0,62000000.0,206938464.0,72000000.0,167293216.0,94000000.0,165858031.0,0000000.0,195328380.0
Property Plant & Equipment Net,317282.0,,61287192.0,,67126002.0,,72977985.0,,314126.0,,642672.0
Goodwill and Intangible Assets,0.0,0,0.0,0,4447290.0,4000000,20706520.0,21000000,0.0,0,5156403.0
Long-term investments,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,1000000.0,0.0,000000.0,0.0
Tax assets,0.0,000000.0,246745.0,0000000.0,529665.0,1000000.0,48345.0,1000000.0,714161.0,000000.0,0.0
Total non-current assets,347611.0,0000000.0,61828351.0,10000000.0,71573292.0,29000000.0,94262409.0,48000000.0,337685.0,1000000.0,5836712.0
Total assets,160568939.0,161000000.0,288223153.0,288000000.0,278511756.0,279000000.0,261555625.0,262000000.0,166195716.0,166000000.0,201165092.0
Payables,365120.0,0000000.0,1334829.0,1000000.0,99710.0,0000000.0,0.0,16000000.0,0.0,000000.0,1566.0
Short-term debt,25922779.0,86000000.0,35742198.0,176000000.0,16290625.0,151000000.0,21275203.0,96000000.0,12696196.0,71000000.0,4285102.0
Total current liabilities,136645293.0,137000000.0,257196532.0,257000000.0,214237154.0,214000000.0,151280521.0,151000000.0,106695595.0,107000000.0,144110336.0
Long-term debt,0.0,,35742198.0,,35144603.0,,51012804.0,,0.0,,0.0
Total debt,25922779.0,,71484396.0,,51435228.0,,72288007.0,,12696196.0,,4285102.0
Deferred revenue,48171.0,46000000.0,121456.0,40000000.0,634979.0,39000000.0,202428.0,35000000.0,241598.0,19000000.0,319974.0
Tax Liabilities,580058.0,000000.0,656098.0,9000000.0,677092.0,10000000.0,174540.0,12000000.0,400932.0,000000.0,1161664.0
Deposit Liabilities,46047515.0,,39901621.0,,38372704.0,,35205567.0,,19131420.0,,46865945.0
Total non-current liabilities,8901815.0,0000000.0,44991012.0,10000000.0,45643926.0,29000000.0,63252646.0,48000000.0,714161.0,1000000.0,359342.0
Total liabilities,137008839.0,137000000.0,266810301.0,267000000.0,243529621.0,244000000.0,199398302.0,199000000.0,107268141.0,107000000.0,145028558.0
Other comprehensive income,22979734,4000000.0,22979734,6000000.0,22979734,7000000.0,22979734,8000000.0,21994074,6000000.0,21975605
Retained earnings (deficit),-3363566.0,-3000000.0,-7347222.0,-7000000.0,4667372.0,5000000.0,31530669.0,32000000.0,31006409.0,31000000.0,28439322.0
Total shareholders equity,23560100.0,24000000.0,21412852.0,21000000.0,34982135.0,35000000.0,62157323.0,62000000.0,58927575.0,59000000.0,56136534.0
Investments,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,1000000.0,0.0,000000.0,0.0
Net Debt,22917847.0,83000000,64364710.0,169000000,43641276.0,143000000,57246502.0,81000000,3807447.0,62000000,-3899691.0
Other Assets,0.0,23000000,0.0,25000000,0.0,12000000,0.0,30000000,0.0,27000000,0.0
Other Liabilities,-8538269.0,4000000,-35377243.0,39000000,-16351459.0,38000000,-15134865.0,38000000,-141615.0,15000000,558880.0
