Date,2018-11-30,2018-02-28,2017-11-30,2017-02-28,2016-11-30,2016-02-29,2015-11-30,2015-02-28,2014-02-28,2013-02-28,2012-02-29,2011-02-28,2010-02-28
Revenue,0.0,0.0,0.0,418731.4149,13820819.4946,16770760.7004,18608748.2305,19393877.9487,19456145.0237,,,,
Revenue Growth,0.0,0.0,-1,-0.969702851913839,-0.175897877174387,-0.0987700788539615,-0.04048337935697,-0.00320038090403573,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,0.0,440972.0224,7588951.2635,10537726.6537,11412617.7958,11990621.5385,12722418.9573,,,,
Gross Profit,-323833.7842,0.0,-281455.1804,0.0,0.0,0.0,0.0,-22240.6075,6231868.231,6233034.0467,7196130.4348,7403256.4103,6733726.0664
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SG&A Expense,682311.5265,554603.0534,943922.3947,3012999.2006,4226151.6245,4611259.7276,4708086.9565,6012501.5385,3997163.981,,,,
Operating Expenses,2156773.3694,680020.2492,1298933.6438,555406.8702,217772.5473,944895.048,345306.3056,3198300.5596,4907834.8375,5361872.5681,5403210.3134,6573185.641,4696223.6967
Operating Income,-1640256.2369,-680020.2492,-1298933.6438,-555406.8702,-217772.5473,-944895.048,-345306.3056,-3220541.1671,1324033.3935,871161.4786,1792920.1213,830070.7692,2037502.3697
Interest Expense,-100627.4421,0.0,-168881.6453,0.0,-35341.1044,0.0,-5981.7488,0.0,8550.5415,17670.2335,116913.0435,171700.5128,217589.5735
Earnings before Tax,-2637966.5109,-4969228.2443,-963254.9889,268250.9992,1280417.87,873498.0545,1662245.7027,614206.1538,1844932.7014,,,,
Income Tax Expense,0.0,0.0,0.0,0.0,230512.6354,298299.6109,94138.5238,698337.4359,696808.5308,,,,
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Net Income - Discontinued ops,1991459.5016,4424232.0611,82082.779,-3333577.9376,0.0,0.0,0.0,0.0,0.0,,,,
Net Income,-2637966.5109,-4969228.2443,-963254.9889,268250.9992,1049905.2347,575198.4436,1568107.179,-84131.2821,1148124.1706,,,,
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Net Income Com,-2637966.5109,-4969228.2443,-963254.9889,268250.9992,1049905.2347,575198.4436,1568107.179,-84131.2821,1148124.1706,,,,
EPS,-4.7118,-8.8168,-1.663,0.4396,1.8051,0.9728,2.3256,-0.1026,1.4218,,,,
EPS Diluted,-4.7118,-8.8168,-1.663,0.1599,1.6697,0.8268,2.2245,-0.1026,1.4218,,,,
Weighted Average Shs Out,436512.4611,436616.0305,428756.8367,465706.6347,528967.509,629702.3346,723811.9312,804774.359,756706.1611,,,,
Weighted Average Shs Out (Dil),436512.4611,430632.8244,425850.7021,467255.7954,528830.3249,586117.7043,681243.6805,790536.4103,754540.2844,,,,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Gross Margin,0.0,0.0,0.0,-0.0531,0.4509,0.3717,0.3867,0.3817,0.3461,,,,
EBITDA Margin,-4.845,-0.753,1.6163,0.1282,0.0905,0.1335,0.08,0.1346,,,,,
EBIT Margin,0.0,0.0,0.0,0.6406,0.0933,0.0531,0.0956,0.0405,0.106,,,,
Profit Margin,-5.369,-1.64,0.5124,0.0686,0.0331,0.0849,-0.0041,0.0559,,,,,
Free Cash Flow margin,0.0,0.0,0.0,-0.9875,0.1714,0.028,0.1212,0.1425,0.1995,,,,
EBITDA,-2580024.1433,-4484730.5344,-442172.949,846676.259,1968760.8303,1553663.4241,2463146.6127,1505280.0,2753510.9005,,,,
EBIT,-1640256.2369,-2637966.5109,-1298933.6438,-4969228.2443,-217772.5473,-963254.9889,-345306.3056,268250.9992,1288968.4116,891168.2879,1779158.7462,785906.6667,2062522.2749
Consolidated Income,-2637966.5109,-4969228.2443,-963254.9889,268250.9992,1049905.2347,575198.4436,1568107.179,-84131.2821,1148124.1706,,,,
Earnings Before Tax Margin,0.0,0.0,0.0,0.6406,0.0926,0.0521,0.0893,0.0317,0.0948,,,,
Net Profit Margin,0.0,0.0,0.0,0.6406,0.076,0.0343,0.0843,-0.0043,0.059,,,,
