Date,2018-12-31,2017-12-31
Cash and cash equivalents,734894.0,25000.0
Short-term investments,0.0,0.0
Cash and short-term investments,734894.0,25000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,737917.0,25000.0
Property Plant & Equipment Net,0.0,0.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,418727517.0,0.0
Tax assets,0.0,
Total non-current assets,418727517.0,
Total assets,419465434.0,231360.0
Payables,39867.0,0.0
Short-term debt,0.0,0.0
Total current liabilities,397626.0,212241.0
Long-term debt,0.0,0.0
Total debt,0.0,
Deferred revenue,0.0,
Tax Liabilities,357759.0,
Deposit Liabilities,0.0,
Total non-current liabilities,414000000.0,
Total liabilities,414397626.0,212241.0
Other comprehensive income,0.0,
Retained earnings (deficit),4269390.0,-5881.0
Total shareholders equity,5067808.0,19119.0
Investments,418727517.0,0.0
Net Debt,-734894.0,-25000.0
Other Assets,3023.0,0.0
Other Liabilities,357759.0,212241.0
