Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,50545781.0,31810635.0,24493443.0,23079850.0,18303264.0,10472751.0
Revenue Growth,0.589,0.2987,0.0612,0.261,0.7477,
Cost of Revenue,31252535.0,17679070.0,13416627.0,11630070.0,10636851.0,4272979.0
Gross Profit,19293246.0,14131565.0,11076816.0,11449780.0,7666413.0,6199772.0
R&D Expenses,1029510.0,1081832.0,902186.0,659176.0,531676.0,386109.0
SG&A Expense,17876455.0,12844899.0,13683063.0,12436623.0,10195880.0,4992648.0
Operating Expenses,21759792.0,18502302.0,19693284.0,17694409.0,13518924.0,6327288.0
Operating Income,-2466546.0,-4370737.0,-8616468.0,-6244629.0,-5852511.0,-127516.0
Interest Expense,351168.0,1324219.0,682083.0,288406.0,183466.0,160065.0
Earnings before Tax,-2295865.0,-5497351.0,-8599921.0,-4549592.0,-4332725.0,-33506.0
Income Tax Expense,-157385.0,67805.0,196802.0,137786.0,176525.0,144490.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-2138480.0,-5565156.0,-8796723.0,-4687378.0,-4509250.0,-177996.0
Preferred Dividends,4823987.0,2030295.0,752525.0,207007.0,0.0,0.0
Net Income Com,-6962467.0,-7595451.0,-9549248.0,-4894385.0,-4509250.0,-177996.0
EPS,-0.59,-0.69,-0.95,-0.5,-0.64,-0.03
EPS Diluted,-0.59,-0.69,-0.95,-0.5,-0.64,-0.03
Weighted Average Shs Out,11829758.0,11530591.0,10300378.0,11066086.0,10999133.0,
Weighted Average Shs Out (Dil),11721232.0,11010432.0,10036988.0,9732806.0,7084630.0,5101770.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.3817,0.4442,0.4522,0.4961,0.4189,0.592
EBITDA Margin,0.019,0.004,-0.115,0.015,-0.074,0.103
EBIT Margin,-0.0385,-0.1312,-0.3233,-0.1846,-0.2267,0.0121
Profit Margin,-0.138,-0.239,-0.39,-0.212,-0.246,-0.017
Free Cash Flow margin,0.1144,-0.0131,-0.0552,-0.0999,-0.2085,0.0613
EBITDA,969169.0,126811.0,-2809803.0,337424.0,-1357891.0,1075090.0
EBIT,-1944697.0,-4173132.0,-7917838.0,-4261186.0,-4149259.0,126559.0
Consolidated Income,-2138480.0,-5565156.0,-8796723.0,-4687378.0,-4509250.0,-177996.0
Earnings Before Tax Margin,-0.0454,-0.1728,-0.3511,-0.1971,-0.2367,-0.0032
Net Profit Margin,-0.0423,-0.1749,-0.3591,-0.2031,-0.2464,-0.017
