date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,23995000.0,322073000.0,63209000.0,90335000.0,83337000.0,130014000.0,22854000.0,2222000.0,1089000.0,1849000.0,4908000.0,10700000.0,32321000.0,50118000.0,72798000.0,75680000.0,61740000.0,42838000.0,35200000.0,305577000.0,14458561.0,4700000.0
,costOfRevenue,1929000.0,3231000.0,2491000.0,1899000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2620969.0,-2000000.0
,grossProfit,22066000.0,318842000.0,60718000.0,88436000.0,0.0,0.0,0.0,0.0,0.0,1849000.0,4908000.0,10700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17079530.0,6700000.0
,grossProfitRatio,0.919608251719108,0.989968112819143,0.960591055071272,0.978978247633807,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18127454039168,1.42553191489362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,153621000.0,91924000.0,100243000.0,156813000.0,178151000.0,95187000.0,89279000.0,89682000.0,82574000.0,91828000.0,75350000.0,81238000.0,108575000.0,104332000.0,106695000.0,93625000.0,90586000.0,82198000.0,74859000.0,53355000.0,31646848.0,14600000.0
,GeneralAndAdministrativeExpenses,47230.0,0.0,63754000.0,66203000.0,43044000.0,23835000.0,19411000.0,17121000.0,17043000.0,0.0,22566000.0,19418000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20861000.0,18288628.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3529.0,0.0,0.0,1954000.0,2293000.0,572000.0,2255000.0,59000.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,200851000.0,148759000.0,163997000.0,223016000.0,221195000.0,119022000.0,108690000.0,106803000.0,99617000.0,115944000.0,100626000.0,100656000.0,128856000.0,125072000.0,128029000.0,111799000.0,109194000.0,105431000.0,98093000.0,349216000.0,52556445.0,19500000.0
,costAndExpenses,202780000.0,151990000.0,166488000.0,224915000.0,221195000.0,119022000.0,108690000.0,106803000.0,99617000.0,115944000.0,100626000.0,100656000.0,128856000.0,125072000.0,128029000.0,111799000.0,109194000.0,105431000.0,98093000.0,349216000.0,49935476.0,17500000.0
,interestExpense,14544000.0,20676000.0,20777000.0,6984000.0,6567000.0,6722000.0,2253000.0,1971000.0,2114000.0,2528000.0,2719000.0,2966000.0,2691000.0,2771000.0,3253000.0,3280000.0,2660000.0,325000.0,7000.0,314000.0,422038.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2934000.0,3654000.0,3683000.0,3399000.0,2056000.0,727000.0,1928000.0,2863000.0,4190000.0,4887000.0,5394000.0,6159000.0,10070000.0,10422000.0,11201000.0,11635000.0,12872000.0,21530000.0,20579000.0,16550000.0,2620969.0,2000000.0
,EBITDA,-175851000.0,173737000.0,-99596000.0,-131181000.0,-135802000.0,11719000.0,-83908000.0,-101718000.0,-94338000.0,-109208000.0,-90324000.0,-83797000.0,-86465000.0,-64532000.0,-44030000.0,-24484000.0,-34582000.0,-41063000.0,-42314000.0,-27089000.0,-32855946.0,-10800000.0
,EBITDARatio,-7.32865180245885,0.539433606666812,-1.57566169374614,-1.45216139923618,-1.62955229969881,0.090136446844186,-3.67147982847642,-45.7776777677768,-86.6280991735537,-59.0632774472688,-18.4034229828851,-7.8314953271028,-2.67519569320256,-1.28760126102398,-0.60482430836012,-0.323520084566596,-0.560123096857791,-0.958564825622111,-1.20210227272727,-0.0886486875648364,-2.27242157777665,-2.29787234042553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-178785000.0,170083000.0,-103279000.0,-134580000.0,-137858000.0,10992000.0,-85836000.0,-104581000.0,-98528000.0,-114095000.0,-95718000.0,-89956000.0,-96535000.0,-74954000.0,-55231000.0,-36119000.0,-47454000.0,-62593000.0,-62893000.0,-43639000.0,-35476915.0,-12800000.0
,operatingIncomeRatio,-7.45092727651594,0.52808835264055,-1.63392871268332,-1.4897880112913,-1.65422321417858,0.0845447413355485,-3.75584142819638,-47.0661566156616,-90.475665748393,-61.7063277447269,-19.5024449877751,-8.40710280373832,-2.98675783546301,-1.49555050081807,-0.758688425506195,-0.477259513742072,-0.768610301263362,-1.46115598300574,-1.78673295454545,-0.142808522892757,-2.45369611816833,-2.72340425531915
,totalOtherIncomeExpensesNet,131988000.0,-28638000.0,0.0,-2101000.0,703000.0,-9524000.0,-14530000.0,2269000.0,-9782000.0,153000.0,-3883000.0,-1377000.0,-3420000.0,-794000.0,401000.0,558000.0,1304000.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-58574000.0,124119000.0,-120548000.0,-141711000.0,-141429000.0,-4682000.0,-100364000.0,-104126000.0,-110211000.0,-116215000.0,-101801000.0,-93419000.0,-96884000.0,-71233000.0,54430000.0,39196000.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,-2.44109189414461,0.385375365212234,-1.90713347782752,-1.5687275142525,-1.69707332877353,-0.0360115064531512,-4.39152883521484,-46.8613861386139,-101.203856749311,-62.8528934559221,-20.7418500407498,-8.7307476635514,-2.99755576869528,-1.42130571850433,0.747685375971867,0.51791754756871,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,0.0,-6014000.0,0.0,-12661000.0,0.0,0.0,-70000.0,0.0,0.0,0.0,-26000.0,-102000.0,0.0,0.0,-119000.0,119000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-58574000.0,130133000.0,-120548000.0,-129050000.0,-141429000.0,-4682000.0,-100294000.0,-104126000.0,-110211000.0,-116215000.0,-101775000.0,-82780000.0,-76860000.0,-58794000.0,-54311000.0,-36315000.0,-47172000.0,-64198000.0,-59670000.0,-35172000.0,-25994080.0,-12500000.0
,netIncomeRatio,-2.44109189414461,0.404048150574559,-1.90713347782752,-1.42857142857143,-1.69707332877353,-0.0360115064531512,-4.38846591406318,-46.8613861386139,-101.203856749311,-62.8528934559221,-20.7365525672372,-7.73644859813084,-2.37802048203954,-1.17311145696157,-0.746050715679002,-0.479849365750529,-0.764042759961127,-1.49862271814744,-1.69517045454545,-0.115100285689041,-1.79783313152671,-2.65957446808511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.53,1.23,-1.14,-1.23,-1.36,-0.05,-1.330001,-1.400001,-1.610002,-2.380002,-2.380002,-3.990004,-3.920004,-4.130004,-5.670006,-3.990004,-5.180005,-7.910008,-7.980008,-4.900005,-4.410004,-3.710004
,EPSDiluted,-0.53,1.16,-1.14,-1.23,-1.36,-0.05,-1.330001,-1.400001,-1.610002,-2.380002,-2.380002,-3.990004,-3.920004,-4.130004,-5.670006,-3.990004,-5.180005,-7.910008,-7.980008,-4.900005,-4.410004,-3.710004
,weightedAverageShsOut,110841000.0,106218000.0,105830000.0,105237000.0,103863000.0,103591000.0,76347352.0,73302355.0,69958072.0,48680094.0,43263385.0,20780693.0,19542409.0,14256842.0,9553704.0,9137419.0,9046705.0,8117134.0,7466135.0,7173278.0,5945433.0,3369269.0
,weightedAverageShsOutDil,110841000.0,116747000.0,105830000.0,105237000.0,103863000.0,103591000.0,76347352.0,73302355.0,69958072.0,48680094.0,43263385.0,20780693.0,19542409.0,14256842.0,9553704.0,9137419.0,9046705.0,8117134.0,7466135.0,7173278.0,5945433.0,3369269.0
