Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,80246000.0,56323000.0,35429000.0,29905000.0
Revenue Growth,0.4247,0.5897,0.1847,
Cost of Revenue,0.0,0.0,0.0,0.0
Gross Profit,80246000.0,56323000.0,35429000.0,29905000.0
R&D Expenses,0.0,0.0,0.0,0.0
SG&A Expense,25658000.0,19166000.0,17621000.0,13761000.0
Operating Expenses,43471000.0,32745000.0,27371000.0,23077000.0
Operating Income,36775000.0,23578000.0,8058000.0,6828000.0
Interest Expense,0.0,0.0,0.0,0.0
Earnings before Tax,36775000.0,23578000.0,8058000.0,6828000.0
Income Tax Expense,11221000.0,11209000.0,3045000.0,2559000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0
Net Income,25554000.0,12369000.0,5013000.0,4269000.0
Preferred Dividends,0.0,0.0,0.0,0.0
Net Income Com,25554000.0,12369000.0,5013000.0,4269000.0
EPS,3.12,2.4,0.43,1.54
EPS Diluted,3.06,2.34,0.43,1.54
Weighted Average Shs Out,8207234.0,8199720.0,7733012.0,8000000.0
Weighted Average Shs Out (Dil),8207234.0,8199720.0,7733012.0,
Dividend per Share,0.0,0.0,0.0,0.0
Gross Margin,1.0,1.0,1.0,1.0
EBITDA Margin,0.475,0.436,0.25,0.252
EBIT Margin,0.4583,0.4186,0.2274,0.2283
Profit Margin,0.318,0.22,0.141,0.143
Free Cash Flow margin,0.3127,0.5195,0.3776,0.1241
EBITDA,38130000.0,24556000.0,8843000.0,7524000.0
EBIT,36775000.0,23578000.0,8058000.0,6828000.0
Consolidated Income,25554000.0,12369000.0,5013000.0,4269000.0
Earnings Before Tax Margin,0.4583,0.4186,0.2274,0.2283
Net Profit Margin,0.3184,0.2196,0.1415,0.1428
