Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,127580000.0,123340000.0,103803000.0,116935000.0
Revenue Growth,0.0344,0.1882,-0.1123,
Cost of Revenue,112348000.0,104698000.0,87417000.0,100030000.0
Gross Profit,15232000.0,18642000.0,16386000.0,16905000.0
R&D Expenses,1896000.0,2070000.0,1999000.0,1854000.0
SG&A Expense,12252000.0,11450000.0,8377000.0,9555000.0
Operating Expenses,44727000.0,13520000.0,10376000.0,11409000.0
Operating Income,-29495000.0,5122000.0,6010000.0,5496000.0
Interest Expense,1946000.0,3034000.0,4963000.0,5401000.0
Earnings before Tax,-31432000.0,1101000.0,-1173000.0,99000.0
Income Tax Expense,698000.0,-608000.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0
Net Income,-32130000.0,1709000.0,-1173000.0,99000.0
Preferred Dividends,0.0,0.0,0.0,0.0
Net Income Com,-32130000.0,1709000.0,-1173000.0,99000.0
EPS,-3.27,0.19,-0.15,0.01
EPS Diluted,-3.27,0.19,-0.15,0.01
Weighted Average Shs Out,9835512.0,9800000.0,9800000.0,9800000.0
Weighted Average Shs Out (Dil),9828000.0,9125000.0,8000000.0,
Dividend per Share,0.0,0.0,0.0,0.0
Gross Margin,0.1194,0.1511,0.1579,0.1446
EBITDA Margin,-0.193,0.073,0.082,0.088
EBIT Margin,-0.2311,0.0335,0.0365,0.047
Profit Margin,-0.252,0.014,-0.011,0.001
Free Cash Flow margin,-0.0144,0.0566,0.0202,-0.0579
EBITDA,-24636000.0,8945000.0,8518000.0,10286000.0
EBIT,-29486000.0,4135000.0,3790000.0,5500000.0
Consolidated Income,-32130000.0,1709000.0,-1173000.0,99000.0
Earnings Before Tax Margin,-0.2464,0.0089,-0.0113,0.0008
Net Profit Margin,-0.2518,0.0139,-0.0113,0.0008
