Date,2018-12-31,2017-12-31
Depreciation & Amortization,6000.0,1000.0
Stock-based compensation,958000.0,215000.0
Operating Cash Flow,-15377000.0,-4027000.0
Capital Expenditure,-132000.0,-13000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-4983000.0,0.0
Investing Cash flow,-5115000.0,-13000.0
Issuance (repayment) of debt,11700000.0,4250000.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,27577000.0,4250000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,7085000.0,210000.0
Free Cash Flow,-15509000.0,-4040000.0
Net Cash/Marketcap,0.1972,0.1972
