date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,825197000.0,1614085000.0,1201381000.0,709043000.0,0.0,0.0,0.0,0.0,0.0,1680251459.44469,2300438770.41956,2584626649.33527,894002941.887619,378259829.857743,537033570.527239,132088751.497136,79753672.161971,20970945.602909,-310562342.644176
,depreciationAndAmortization,844062000.0,948330000.0,862440000.0,648114000.0,478610597.945118,451964496.594892,790646836.460796,827399191.272601,903423632.029044,818229993.243296,938446103.811554,895563192.260782,979381774.516043,965484636.721778,886991920.242992,807143946.049997,760296507.517628,684660013.639002,1192232055.27682
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-481694910.998214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-432004000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110626981.14811,544049174.355951,-369080812.517947,1411827305.9037,-734314666.389777,-334153724.64869,639773038.561323,5584789.193146,206419365.458098,98012299.204038
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20767145.339838,-342856256.697144,0.0,-29162451.51664,-433829512.808801,-339063614.827757,-149995482.051201,-43358175.164353,-147434247.255884,74895087.687857
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17945569.281111,27953833.572046,62446527.016192,11799894.639519,-61415358.473078,8763797.853882,-38602932.194721,-12570794.899434,17446260.772705,16335001.292922
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-345354715.766778,269201649.260798,0.0,0.0,438628935.998755,205026878.311759,34318775.368278,-16953933.799817,32922513.018344,-66350868.853919
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259164443.427934,0.0,-274285068.469888,-182440696.140049,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311172466.48025,113317141.406683,8350429.294642,-235511200.345272,696606358.12716,-20336788.878394,-75942038.961064,118906176.035985,-99991341.063985,-76642300.580864
,netCashProvidedByOperatingActivites,0.0,0.0,0.0,1870000000.0,2560931836.08932,2712065902.94863,2801762681.78854,3231854396.76815,3183703549.81215,3270698335.2651,4061737653.16826,4017547834.74119,3010052456.30234,1916504089.28194,1619602872.10805,1735369746.89487,1112409898.30072,966270265.240636,871361870.890739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-891599000.0,-750435000.0,-682466000.0,-833447822.815552,-1537779975.59177,-1362750542.39212,-1146486279.65351,-1076366479.71563,-959272161.66313,-990496621.619503,-1037774733.50257,-1294713927.81617,-1192863080.08283,-972368959.544424,-616486290.470455,-478681831.570545,-435277460.702088,-441266631.883387
,acquisitionsNet,0.0,0.0,-1590000000.0,-720000000.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-3909000.0,-3079000.0,-13860000.0,-8790819.754574,-9712565.014747,-44028144.313817,-6623238.493377,0.0,0.0,0.0,-651969991.840257,-57594298.256604,-222442103.888418,-65890358.584571,-64360895.763811,-619126.195047,-5024485.546843,-32569804.254525
,salesMaturitiesOfInvestments,0.0,14981000.0,14003000.0,52564000.0,11137813.507894,24345716.996701,27980128.918129,27185215.172815,0.0,0.0,0.0,8566829.327384,12106606.703482,239256170.137197,65983120.51712,3240211.455835,4603935.563169,204913631.654648,0.0
,otherInvestingActivites,0.0,-7263000.0,-10125000.0,-423604000.0,250457241.257213,28211794.576649,71455981.935536,-7362186.492638,-404543084.065462,20648753.304718,-177137981.172862,399502698.959294,103208672.946536,-220099210.460427,-57077504.083899,23511088.994752,97699439.818404,113636673.736001,-25127578.713132
,netCashUsedForInvestingActivites,57118000.0,-1599798000.0,-3069189000.0,-2479141000.0,-743301710.189975,-1713571653.22471,-494483530.285857,-2325385466.77461,-1730493171.22242,-1201578403.84467,-1621382530.81862,-1709382427.15918,-1222025915.42097,-1388607011.65084,-953424397.804272,-642261957.3115,-349030032.20776,148647419.697619,-467587711.536404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,88277000.0,-7503954000.0,-4332977000.0,-1432822000.0,-1184807718.88734,-894891158.293283,-2127016705.47439,-1087631940.51237,-1380469788.7425,-1234148884.60857,-1597630865.87237,-2128741713.39858,-2146292787.81827,-1692276260.15704,-2754139393.7245,-1752509450.45168,-2152582630.97934,-4415741104.6757,-1637039738.85613
,commonStockIssued,0.0,2999874000.0,0.0,0.0,0.0,0.0,14493213.805794,2148553283.95145,0.0,186792.898612,0.0,0.0,0.0,5675339.292261,0.0,0.0,0.0,919153880.999711,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-140662151.370956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18218842.060065,0.0
,dividendsPaid,0.0,-723983000.0,-591958000.0,-543774000.0,-645105056.014135,-862984708.29624,0.0,-915887687.884112,-1116047047.94865,-1248060035.39167,-1162221912.43778,-1140435354.87569,-821791554.123466,-1110658156.73592,-335426676.719726,-235779336.055836,-174623695.60301,-135897684.74718,-139419484.271948
