date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,255484000.0,295327000.0,262213000.0,250262000.0,189939000.0,217262000.0,195012000.0,168286000.0,134425000.0,150161000.0,151958000.0,147345000.0,140739000.0,101569000.0,102693000.0,83318000.0,72856000.0,69445000.0,69347000.0,85460000.0,96758000.0,92709000.0,59771000.0,44498000.0,43796000.0,43400000.0,36600000.0
,costOfRevenue,100100000.0,90468000.0,81923000.0,77614000.0,49874000.0,53807000.0,47895000.0,41948000.0,40802000.0,29371000.0,49159000.0,46641000.0,37096000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,155384000.0,204859000.0,180290000.0,172648000.0,140065000.0,163455000.0,147117000.0,126338000.0,93623000.0,120790000.0,102799000.0,100704000.0,103643000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.608194642325938,0.693668374378232,0.687570791684623,0.689869017269901,0.737420961466576,0.752340492124716,0.754399729247431,0.750733869721783,0.696470150641622,0.804403273819434,0.676496137090512,0.683457192303777,0.736419897825052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,36055000.0,35416000.0,34343000.0,33756000.0,40648000.0,30368000.0,27433000.0,25555000.0,21532000.0,23086000.0,20220000.0,22013000.0,24545000.0,23058000.0,19782000.0,15382000.0,10468000.0,10734000.0,10173000.0,5556000.0,5057000.0,6337000.0,4409000.0,2351000.0,2811000.0,2800000.0,3100000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,335491000.0,6947000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
