Date,2019-03-07,2018-03-07
Revenue,77209000.0,27329000.0
Revenue Growth,1.8252,
Cost of Revenue,26161000.0,36532000.0
Gross Profit,51048000.0,-9203000.0
R&D Expenses,0.0,0.0
SG&A Expense,4639000.0,3409000.0
Operating Expenses,22051000.0,3411000.0
Operating Income,28997000.0,-12614000.0
Interest Expense,17781000.0,234000.0
Earnings before Tax,11769000.0,-10391000.0
Income Tax Expense,-10000.0,17000.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,11779000.0,-10408000.0
Preferred Dividends,0.0,0.0
Net Income Com,11779000.0,-10408000.0
EPS,0.29,-0.34
EPS Diluted,0.29,-0.34
Weighted Average Shs Out,54103993.0,
Weighted Average Shs Out (Dil),54103993.0,
Dividend per Share,0.0,0.0
Gross Margin,0.6612,-0.3367
EBITDA Margin,0.608,-0.372
EBIT Margin,0.3827,-0.3717
Profit Margin,0.153,-0.381
Free Cash Flow margin,-7.0685,-3.4229
EBITDA,46962000.0,-10155000.0
EBIT,29550000.0,-10157000.0
Consolidated Income,11779000.0,-10408000.0
Earnings Before Tax Margin,0.1524,-0.3802
Net Profit Margin,0.1526,-0.3808
