Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,25684279.0,21244110.0,15597567.0,-21285575.0,-35369118.0,-23934313.0,-29114766.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Issuance (repayment) of debt,278147.0,-8974760.0,-2751680.0,31123153.0,26054020.0,-29535216.0,23523428.0
Issuance (buybacks) of shares,-1232017.0,1937208.0,-322137.0,70.0,75.0,71192277.0,11538448.0
Dividend payments,-7073809.0,-8889981.0,-7976310.0,-7869142.0,-7352728.0,-5856517.0,-1174159.0
Financing Cash Flow,-8373168.0,-17336651.0,-11109998.0,22183213.0,18556727.0,35278674.0,33998092.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,17311111.0,3907459.0,4487569.0,897638.0,-16812391.0,11344361.0,4883326.0
Free Cash Flow,25684279.0,21244110.0,15597567.0,-21285575.0,-35369118.0,-23934313.0,-29114766.0
Net Cash/Marketcap,-0.2509,-0.5254,-0.5254,-0.5254,-0.5254,-0.5254,-0.5254
