date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,4969000000.0,5526000000.0,6638000000.0,6183000000.0,5400000000.0,5717000000.0,6432000000.0,6859000000.0,7365000000.0,7972000000.0
,costOfRevenue,3902000000.0,4463000000.0,4667000000.0,4429000000.0,4290000000.0,4762000000.0,5072000000.0,5395000000.0,5014000000.0,5375000000.0
,grossProfit,1067000000.0,1063000000.0,1971000000.0,1754000000.0,1110000000.0,955000000.0,1360000000.0,1464000000.0,2351000000.0,2597000000.0
,grossProfitRatio,0.214731334272489,0.192363373145132,0.296926785176258,0.283681060973637,0.205555555555556,0.167045653314676,0.211442786069652,0.213442192739466,0.319212491513917,0.325765178123432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,93000000.0,80000000.0,82000000.0,80000000.0,80000000.0,97000000.0,143000000.0,164000000.0,145000000.0,135000000.0
,GeneralAndAdministrativeExpenses,527000000.0,548000000.0,657000000.0,602000000.0,934000000.0,632000000.0,685000000.0,768000000.0,747000000.0,731000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,39000000.0,-301000000.0,116000000.0,54000000.0,50000000.0,44000000.0,45000000.0,48000000.0,42000000.0,55000000.0
,operatingExpenses,620000000.0,651000000.0,739000000.0,682000000.0,1014000000.0,729000000.0,828000000.0,932000000.0,892000000.0,866000000.0
,costAndExpenses,4522000000.0,5114000000.0,5406000000.0,5111000000.0,5304000000.0,5491000000.0,5900000000.0,6327000000.0,5906000000.0,6241000000.0
,interestExpense,210000000.0,208000000.0,195000000.0,215000000.0,213000000.0,132000000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,320000000.0,311000000.0,284000000.0,273000000.0,284000000.0,267000000.0,257000000.0,261000000.0,266000000.0,272000000.0
,EBITDA,767000000.0,723000000.0,1516000000.0,1345000000.0,380000000.0,493000000.0,789000000.0,793000000.0,1725000000.0,2003000000.0
,EBITDARatio,0.154357013483598,0.130836047774159,0.228382042783971,0.217531942422772,0.0703703703703704,0.086234038831555,0.122667910447761,0.115614521067211,0.234215885947047,0.251254390366282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,447000000.0,412000000.0,1232000000.0,1072000000.0,96000000.0,226000000.0,532000000.0,532000000.0,1459000000.0,1731000000.0
,operatingIncomeRatio,0.0899577379754478,0.0745566413318856,0.185598071708346,0.173378618793466,0.0177777777777778,0.0395312226692321,0.0827114427860696,0.0775623268698061,0.198099117447386,0.217134972403412
,totalOtherIncomeExpensesNet,-58000000.0,-328000000.0,118000000.0,55000000.0,106000000.0,-282000000.0,18000000.0,44000000.0,26000000.0,176000000.0
,incomeBeforeTax,179000000.0,-124000000.0,1155000000.0,912000000.0,-11000000.0,-188000000.0,550000000.0,576000000.0,1485000000.0,1907000000.0
,incomeBeforeTaxRatio,0.0360233447373717,-0.0224393774882374,0.173998192226574,0.147501213003396,-0.00203703703703704,-0.0328843799195382,0.0855099502487562,0.0839772561597901,0.20162932790224,0.239212242849975
,incomeTaxExpense,-40000000.0,-72000000.0,159000000.0,165000000.0,-18000000.0,-98000000.0,149000000.0,152000000.0,427000000.0,474000000.0
,netIncome,219000000.0,-52000000.0,995000000.0,746000000.0,7000000.0,-90000000.0,400000000.0,423000000.0,1057000000.0,1431000000.0
,netIncomeRatio,0.0440732541758905,-0.00941006152732537,0.149894546550166,0.120653404496199,0.0012962962962963,-0.0157425223019066,0.0621890547263682,0.0616707974923458,0.143516632722335,0.179503261414952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.32874772583158,-0.315501743119828,5.62,4.04,0.0385417090281344,-0.5,1.5,2.332288,5.827962,7.890079
,EPSDiluted,1.32874772583158,-0.310921061011185,5.45,3.91,0.0381645053743802,-0.5,1.49,2.31446,5.783415,7.82977
,weightedAverageShsOut,164816839.0,164816839.0,176968554.0,184844106.0,181621422.0,180993623.0,182950000.0,181367000.0,181367000.0,181367000.0
,weightedAverageShsOutDil,164816839.0,167245023.0,182572021.0,190983991.0,183416500.0,180993623.0,184375000.0,182764000.0,182764000.0,182764000.0
