date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,534852000.0,580417000.0,544345000.0,520493000.0,525463000.0,602631000.0,596982000.0,562210000.0,559833000.0,581805000.0,566897000.0,582219000.0,608111000.0,683972000.0,662801000.0,391460000.0,323592000.0,305659000.0,296730000.0,310825000.0,287084000.0,283220000.0,192861000.0,61060000.0,10030000.0,3666000.0,5600000.0,3000000.0,300000.0,100000.0,100000.0,100000.0,300000.0,1600000.0,900000.0
,costOfRevenue,205456000.0,225846000.0,218023000.0,205999000.0,209448000.0,238087000.0,235965000.0,221769000.0,220392000.0,233811000.0,230461000.0,234385000.0,237095000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,329396000.0,354571000.0,326322000.0,314494000.0,316015000.0,364544000.0,361017000.0,340441000.0,339441000.0,347994000.0,336436000.0,347834000.0,371016000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.615863827750481,0.610890101427077,0.599476434981492,0.604223303675554,0.601402953205078,0.604920755819067,0.604736826235967,0.605540634282563,0.606325457770442,0.598128238842911,0.593469360395275,0.597428115537281,0.610112298577069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,30288000.0,32156000.0,27802000.0,28538000.0,26596000.0,29406000.0,26779000.0,27628000.0,25413000.0,24602000.0,23306000.0,20821000.0,23002000.0,28182000.0,29644000.0,17982000.0,15100000.0,14464000.0,14804000.0,15178000.0,4249000.0,1840000.0,1711000.0,659000.0,1131000.0,729000.0,800000.0,600000.0,300000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,19955000.0,11853000.0,11853000.0,11840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,218571000.0,242161000.0,202061000.0,207895000.0,216272000.0,248435000.0,235348000.0,224649000.0,221254000.0,242282000.0,236081000.0,229411000.0,228907000.0,534880000.0,534508000.0,284155000.0,215923000.0,183792000.0,175003000.0,201677000.0,175181000.0,178133000.0,118947000.0,38693000.0,7370000.0,5278000.0,-3500000.0,0.0,0.0,-6800000.0,0.0,-5900000.0,-100000.0,-100000.0,-100000.0
,costAndExpenses,424027000.0,468007000.0,420084000.0,413894000.0,425720000.0,486522000.0,471313000.0,446418000.0,441646000.0,476093000.0,466542000.0,463796000.0,466002000.0,534880000.0,534508000.0,284155000.0,215923000.0,183792000.0,175003000.0,201677000.0,175181000.0,178133000.0,118947000.0,38693000.0,7370000.0,5278000.0,-3500000.0,0.0,0.0,-6800000.0,0.0,-5900000.0,-100000.0,-100000.0,-100000.0
,interestExpense,76815000.0,84280000.0,80697000.0,84321000.0,88083000.0,116511000.0,130621000.0,127585000.0,139997000.0,136396000.0,136410000.0,141604000.0,148220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,188283000.0,210005000.0,174259000.0,179357000.0,189676000.0,219029000.0,208569000.0,197021000.0,195841000.0,217680000.0,212775000.0,208590000.0,205905000.0,242312000.0,248132000.0,111886000.0,79904000.0,60592000.0,57599000.0,78189000.0,67012000.0,74212000.0,49490000.0,15589000.0,2836000.0,1402000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,299108000.0,322415000.0,298520000.0,285956000.0,289419000.0,335138000.0,334238000.0,312813000.0,314028000.0,323392000.0,313130000.0,327013000.0,348014000.0,391404000.0,376425000.0,219191000.0,187573000.0,182459000.0,179326000.0,187337000.0,178915000.0,179299000.0,123404000.0,37956000.0,5496000.0,-210000.0,10500000.0,3000000.0,300000.0,6900000.0,100000.0,6000000.0,400000.0,1700000.0,1000000.0
,EBITDARatio,0.559235078115067,0.555488553918993,0.548402208158429,0.549394516352766,0.550788542675697,0.556124726408034,0.559879527355934,0.556398854520553,0.560931563519835,0.555842593308755,0.552357835726772,0.561666658078833,0.572286967346422,0.572251495675262,0.567930645849961,0.55993204925152,0.579658953249771,0.596936455330941,0.604340646378863,0.602708919810183,0.623214808209444,0.633073229291717,0.639859795396685,0.621618080576482,0.547956131605184,-0.0572831423895254,1.875,1.0,1.0,69.0,1.0,60.0,1.33333333333333,1.0625,1.11111111111111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,110825000.0,112410000.0,124261000.0,106599000.0,99743000.0,116109000.0,125669000.0,115792000.0,118187000.0,105712000.0,100355000.0,118423000.0,142109000.0,149092000.0,128293000.0,107305000.0,107669000.0,121867000.0,121727000.0,109148000.0,111903000.0,105087000.0,73914000.0,22367000.0,2660000.0,-1612000.0,9100000.0,3000000.0,300000.0,6900000.0,100000.0,6000000.0,400000.0,1700000.0,1000000.0
,operatingIncomeRatio,0.207206853484702,0.193671101983574,0.228276185139939,0.204803907065033,0.189819264153708,0.19267014142983,0.210507184471224,0.205958627559097,0.211111170652677,0.181696616563969,0.177025103325648,0.203399408126495,0.233689244233372,0.217979683378852,0.193561868494465,0.274114852092168,0.332730722638384,0.398702475634612,0.410228153540255,0.35115579506153,0.389791837928969,0.371043711602288,0.383250112775522,0.366311824434982,0.265204386839482,-0.439716312056738,1.625,1.0,1.0,69.0,1.0,60.0,1.33333333333333,1.0625,1.11111111111111
,totalOtherIncomeExpensesNet,271153000.0,4093000.0,89445000.0,97840000.0,27605000.0,-31562000.0,7002000.0,49731000.0,-11356000.0,15639000.0,3195000.0,26329000.0,18246000.0,39680000.0,18042000.0,7812000.0,4999000.0,0.0,0.0,-2076000.0,0.0,4200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,307102000.0,34541000.0,137712000.0,121231000.0,40501000.0,-30740000.0,6024000.0,38982000.0,-30154000.0,-13232000.0,-29638000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,0.574181268836987,0.0595106621618595,0.252986616943299,0.232915716445754,0.0770767875188167,-0.0510096559918092,0.0100907565052213,0.0693370804503655,-0.0538624911357494,-0.0227430152714397,-0.0522811022108073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,-224000.0,12000.0,423000.0,-628000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,305527000.0,34267000.0,136324000.0,120850000.0,40191000.0,-30401000.0,6975000.0,42777000.0,6595000.0,-4499000.0,-17074000.0,8026000.0,43480000.0,56453000.0,10482000.0,42767000.0,60303000.0,85809000.0,62984000.0,33722000.0,52158000.0,34606000.0,33025000.0,15001000.0,-162000.0,-824000.0,7600000.0,2500000.0,0.0,-6700000.0,-2000000.0,-6000000.0,200000.0,1500000.0,800000.0
,netIncomeRatio,0.571236528983719,0.0590385877739625,0.25043676344965,0.232183718128774,0.076486831613263,-0.0504471227002926,0.0116837693598802,0.076087227192686,0.0117802987676682,-0.00773283144696247,-0.0301183460134733,0.0137851907959033,0.0715001044217256,0.0825370044387782,0.0158147015469198,0.109249987227303,0.186355039679597,0.280734413185936,0.212260303980049,0.108491916673369,0.181682016413315,0.122187698608855,0.171237315994421,0.245676383884704,-0.0161515453639083,-0.224768139661757,1.35714285714286,0.833333333333333,0.0,-67.0,-20.0,-60.0,0.666666666666667,0.9375,0.888888888888889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.73463861027563,0.194551909514757,0.76,0.66,0.229639023236691,-0.21,-0.001649,0.279331801397642,-0.06,-0.1,-0.19,0.0717260073667954,0.497654499861119,0.56,0.117048918709526,0.76579871013046,1.15,1.4,1.4,0.57,1.12,0.8,0.9,0.96,-0.43,-1.32016373875498,11.21,3.99,0.0,-10.83,-3.24,-9.72,0.24,2.37,1.29
,EPSDiluted,1.73463861027563,0.193942034598813,0.76,0.65,0.228343924368193,-0.21,-0.001649,0.2770274317385,-0.06,-0.1,-0.19,0.0708689492996596,0.496442449789122,0.55,0.116375085939315,0.762272775267506,1.15,1.4,1.39,0.57,1.12,0.8,0.89,0.95,-0.43,-1.3184,11.21,3.99,0.0,-10.83,-3.24,-9.72,0.24,2.37,1.29
,weightedAverageShsOut,176132941.0,176132941.0,176873324.0,175484350.0,175018163.0,178162160.0,166202649.0,153140458.0,143257097.0,135444424.0,131743275.0,111898045.0,87369852.0,87272148.0,89552301.0,55846268.0,47898261.0,38075000.0,36484286.0,38273684.0,35939286.0,37270000.0,35914444.0,8648649.0,1302648.0,624165.0,677966.0,626566.0,619000.0,618652.0,617284.0,617284.0,619000.0,632911.0,620155.0
,weightedAverageShsOutDil,176132941.0,176686813.0,176873324.0,176808166.0,176010814.0,178162160.0,166202649.0,154414311.0,143257097.0,135444424.0,131743275.0,113251291.0,87583163.0,87321276.0,90070825.0,56104588.0,47898261.0,38075000.0,36746763.0,38273684.0,35939286.0,37270000.0,36317978.0,9142857.0,1302648.0,625000.0,677966.0,626566.0,619000.0,618652.0,617284.0,617284.0,619000.0,632911.0,620155.0
