date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,20393000000.0,17824000000.0,12508000000.0,10090000000.0,12480000000.0,19312000000.0,24455000000.0,24172000000.0,23954000000.0,19157000000.0,15531000000.0,24480000000.0,20013000000.0,18160000000.0,16259000000.0,11368000000.0,9326000000.0,7338000000.0,13985000000.0,13574000000.0,7610000000.0,6596000000.0,8016000000.0,10557000000.0,10423000000.0
,costOfRevenue,13697000000.0,10545000000.0,9596000000.0,9457000000.0,10348000000.0,11064000000.0,12909000000.0,12355000000.0,7385000000.0,6374000000.0,5627000000.0,7750000000.0,7049000000.0,6579000000.0,5871000000.0,4728000000.0,4127000000.0,3561000000.0,9672000000.0,9057000000.0,5122000000.0,4568000000.0,5168000000.0,7030000000.0,7055000000.0
,grossProfit,6696000000.0,7279000000.0,2912000000.0,633000000.0,2132000000.0,8248000000.0,11546000000.0,11817000000.0,16569000000.0,12783000000.0,9904000000.0,16730000000.0,12964000000.0,11581000000.0,10388000000.0,6640000000.0,5199000000.0,3777000000.0,4313000000.0,4517000000.0,2488000000.0,2028000000.0,2848000000.0,3527000000.0,3368000000.0
,grossProfitRatio,0.328347962536164,0.408381956912029,0.232811000959386,0.0627353815659068,0.170833333333333,0.427091963545982,0.472132488243713,0.488871421479398,0.691700759789597,0.66727566946808,0.637692357221042,0.683415032679739,0.647778943686604,0.637720264317181,0.638907681899256,0.584095707248417,0.557473729358782,0.51471790678659,0.308401859134787,0.332768528068366,0.326938239159001,0.307459066100667,0.355289421157685,0.334091124372454,0.323131536026096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,882000000.0,1613000000.0,1424000000.0,1330000000.0,1270000000.0,1503000000.0,1801000000.0,1602000000.0,1523000000.0,1396000000.0,1375000000.0,1285000000.0,1668000000.0,1418000000.0,1477000000.0,1067000000.0,918000000.0,700000000.0,675000000.0,691000000.0,645000000.0,709000000.0,1138000000.0,1304000000.0,1194000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,-423000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,3881000000.0,2162000000.0,1817000000.0,1669000000.0,1649000000.0,2203000000.0,2806000000.0,2627000000.0,5977000000.0,5033000000.0,4925000000.0,4686000000.0,4047000000.0,3460000000.0,2962000000.0,2370000000.0,2095000000.0,1712000000.0,1646000000.0,1592000000.0,1462000000.0,1566000000.0,1971000000.0,2232000000.0,2147000000.0
,costAndExpenses,17578000000.0,12707000000.0,11413000000.0,11126000000.0,11997000000.0,13267000000.0,15715000000.0,14982000000.0,13362000000.0,11407000000.0,10552000000.0,12436000000.0,11096000000.0,10039000000.0,8833000000.0,7098000000.0,6222000000.0,5273000000.0,11318000000.0,10649000000.0,6584000000.0,6134000000.0,7139000000.0,9262000000.0,9202000000.0
,interestExpense,1066000000.0,389000000.0,345000000.0,292000000.0,147000000.0,77000000.0,118000000.0,130000000.0,298000000.0,116000000.0,140000000.0,26000000.0,0.0,291000000.0,293000000.0,0.0,332000000.0,0.0,0.0,518000000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379000000.0,2042000000.0,1485000000.0,1303000000.0,1177000000.0,1012000000.0,971000000.0,901000000.0,817000000.0,857000000.0,833000000.0,928000000.0,953000000.0
,EBITDA,9386000000.0,9230000000.0,5196000000.0,3338000000.0,5145000000.0,10436000000.0,14193000000.0,13782000000.0,14348000000.0,10903000000.0,8096000000.0,14754000000.0,11296000000.0,10163000000.0,8911000000.0,5573000000.0,4281000000.0,3077000000.0,3638000000.0,3826000000.0,1843000000.0,1319000000.0,1710000000.0,2223000000.0,2174000000.0
,EBITDARatio,0.460255970185848,0.517841113105925,0.41541413495363,0.330822596630327,0.412259615384615,0.540389395194698,0.580372112042527,0.570163825914281,0.598981380980212,0.569139218040403,0.521280020603953,0.602696078431373,0.564433118472993,0.559636563876652,0.548065686696599,0.490235749472203,0.459039245121167,0.419324066503134,0.260135859849839,0.281862383969353,0.242181340341656,0.199969678593087,0.213323353293413,0.210571184995737,0.208577185071477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,2815000000.0,5117000000.0,1095000000.0,-1036000000.0,483000000.0,6045000000.0,8740000000.0,9190000000.0,10592000000.0,7750000000.0,4979000000.0,12044000000.0,8917000000.0,8121000000.0,7426000000.0,4270000000.0,3104000000.0,2065000000.0,2667000000.0,2925000000.0,1026000000.0,462000000.0,877000000.0,1295000000.0,1221000000.0
,operatingIncomeRatio,0.138037561908498,0.287084829443447,0.0875439718580109,-0.102675916749257,0.0387019230769231,0.313017812758906,0.357391126558986,0.380191957636935,0.442180846622693,0.40455186093856,0.320584637177258,0.491993464052288,0.445560385749263,0.447191629955947,0.456731656313426,0.375615763546798,0.332832940167274,0.281411828836195,0.19070432606364,0.215485486960365,0.134822601839685,0.0700424499696786,0.109406187624751,0.122667424457706,0.117144775976206
,totalOtherIncomeExpensesNet,-1780000000.0,413000000.0,122000000.0,-623000000.0,-10138000000.0,-4874000000.0,554000000.0,-1751000000.0,0.0,-275000000.0,-170000000.0,-647000000.0,956000000.0,300000000.0,1102000000.0,356000000.0,23000000.0,-251000000.0,-1130000000.0,346000000.0,-396000000.0,785000000.0,85000000.0,341000000.0,271000000.0
