Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,2131000.0,2000000.0,2147000.0,2000000.0,1853000.0,2000000.0,0000000.0,0000000.0
Stock-based compensation,3343000.0,3000000.0,2303000.0,2000000.0,1249000.0,1000000.0,1000000.0,0000000.0
Operating Cash Flow,-38885000.0,-39000000.0,-36624000.0,-37000000.0,-31165000.0,-31000000.0,-20000000.0,-14000000.0
Capital Expenditure,844000.0,-1000000.0,1037000.0,-1000000.0,3748000.0,-4000000.0,-7000000.0,-0000000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,,
Investment purchases and sales,20217000.0,7000000,0.0,-11000000,-1000.0,0,0,16000000
Investing Cash flow,6870000.0,7000000.0,-11783000.0,-12000000.0,-3713000.0,-4000000.0,-7000000.0,15000000.0
Issuance (repayment) of debt,-14765000.0,-15000000.0,-0.0,000000.0,-0.0,000000.0,-2000000.0,-3000000.0
Issuance (buybacks) of shares,-17759000.0,000000.0,1378000.0,000000.0,-1000.0,-0000000.0,000000.0,000000.0
Dividend payments,-0.0,,-0.0,,-0.0,,,
Financing Cash Flow,21495000.0,21000000.0,30411000.0,30000000.0,75126000.0,75000000.0,28000000.0,-0000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,,
Net cash flow / Change in cash,-10520000.0,-11000000.0,-17996000.0,-18000000.0,40248000.0,40000000.0,1000000.0,1000000.0
Free Cash Flow,-39729000.0,-40000000.0,-37661000.0,-38000000.0,-34913000.0,-35000000.0,-27000000.0,-14000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,,
