Date,2018-12-31,2017-12-31
Depreciation & Amortization,21875.0,6661.0
Stock-based compensation,512988.0,0.0
Operating Cash Flow,-2692136.0,-833709.0
Capital Expenditure,-14225.0,-35103.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-134295.0,-35103.0
Issuance (repayment) of debt,-39435.0,0.0
Issuance (buybacks) of shares,13683222.0,3767800.0
Dividend payments,0.0,0.0
Financing Cash Flow,12101351.0,3697716.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,9274920.0,2828904.0
Free Cash Flow,-2706361.0,-868812.0
Net Cash/Marketcap,0.1434,0.0221
