date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,30640000.0,36743000.0,-1152000.0,-15645000.0,-4329000.0,1788000.0,-5172000.0,-2971001.0,3920841.0,-4315331.0,-2306870.0,-400000.0
,depreciationAndAmortization,82993000.0,74055000.0,67004000.0,51146000.0,32435000.0,16747000.0,13231000.0,5812776.0,2836042.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,10051000.0,8975000.0,7407000.0,16044000.0,8801000.0,5864000.0,3129000.0,88750.0,81250.0,68125.0,56875.0,0.0
,changeInWorkingCapital,60613000.0,97124000.0,-3656000.0,-24388000.0,57453000.0,31877000.0,40229308.0,15293286.0,-9498885.0,-1441946.0,-921595.0,30000.0
,accountsReceivables,-15723000.0,-4484000.0,-2029000.0,294000.0,-1867000.0,-5647000.0,27000.0,-1006554.0,249357.0,-1758.0,-82679.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,6254000.0,0.0,7784000.0,16432000.0,7500000.0,3202000.0,1308000.0,2015017.0,887933.0,74068.0,465861.0,0.0
,otherWorkingCapital,263130000.0,202517000.0,105393000.0,109049000.0,133437000.0,75984000.0,44107000.0,3877692.0,-11415594.0,-1916709.0,-474763.0,446832.0
,otherNonCashItems,-420000.0,-335000.0,-434000.0,40433000.0,-4123000.0,-295000.0,-282000.0,-725031.0,-12415236.0,0.0,0.0,210000.0
,netCashProvidedByOperatingActivites,74475000.0,63331000.0,64455000.0,54247000.0,34444000.0,16708000.0,5145000.0,244264.0,-2048484.0,-1051693.0,-870105.0,-190000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,22274000.0,-47117000.0,-30066000.0,-11390000.0,-42445000.0,-61445000.0,-11454000.0,4439244.0,2951165.0,-63901.0,-5455647.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-49276000.0,-263444000.0,-376812000.0,-507260000.0,-470458000.0,-227265000.0,-77631000.0,-20983533.0,-13802890.0,0.0,0.0,-2560000.0
,netCashUsedForInvestingActivites,-27002000.0,-310561000.0,-406878000.0,-518650000.0,-512903000.0,-288710000.0,-89085000.0,-16544289.0,-10851725.0,-63901.0,-5455647.0,-2560000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-558971000.0,-472422000.0,-349950000.0,-42581000.0,-68746000.0,-12911000.0,-468000.0,0.0,-4074012.0,-1150000.0,-3006655.0,0.0
,commonStockIssued,1994000.0,5325000.0,25000.0,57376000.0,51000.0,131321000.0,76864000.0,1019230.0,8895956.0,2840424.0,4313442.0,0.0
,commonStockRepurchased,-130789000.0,-14366000.0,-9160000.0,-666000.0,-101000.0,0.0,0.0,-98425.0,-271772.0,-63334.0,0.0,0.0
,dividendsPaid,-74954000.0,-59925000.0,-48966000.0,-55625000.0,-34101000.0,-20127000.0,-5771000.0,-1152639.0,-695466.0,-366163.0,-129374.0,0.0
,otherFinancingActivites,783440000.0,787142000.0,738128000.0,458867000.0,594443000.0,219620000.0,33390000.0,16726481.0,11414096.0,150000.0,5086713.0,2740000.0
,netCashUsedProvidedByFinancingActivities,20720000.0,245754000.0,330077000.0,417371000.0,491546000.0,317903000.0,104015000.0,16494647.0,15268802.0,1410927.0,6264126.0,2740000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,68193000.0,-1476000.0,-12346000.0,-47032000.0,13087000.0,45901000.0,20075000.0,194622.0,2368593.0,295333.0,-61626.0,-10000.0
,cashAtEndOfPeriod,118961000.0,50768000.0,52244000.0,35015000.0,82047000.0,68960000.0,23059000.0,2983785.0,2789163.0,420570.0,125237.0,-10000.0
,cashAtBeginningOfPeriod,50768000.0,52244000.0,64590000.0,82047000.0,68960000.0,23059000.0,2984000.0,2789163.0,420570.0,125237.0,186863.0,0.0
,operatingCashFlow,74475000.0,63331000.0,64455000.0,54247000.0,34444000.0,16708000.0,5145000.0,244264.0,-2048484.0,-1051693.0,-870105.0,-190000.0
,capitalExpenditure,-17119000.0,-202432000.0,-333540000.0,-421366000.0,-436116000.0,-223553000.0,-59329000.0,-20773995.0,-13706227.0,0.0,0.0,0.0
,freeCashFlow,57356000.0,41885000.0,43215000.0,7276000.0,28031000.0,13038000.0,-2822000.0,244264.0,-2048484.0,-1051693.0,-870105.0,-190000.0
