date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-31_FY,2005-12-25_FY,2004-12-26_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,1999-12-26_FY,1998-12-27_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1994-12-25_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1987-03-31_FY,1986-03-31_FY
,revenue,9763000000.0,6731000000.0,6475000000.0,5253000000.0,4272000000.0,3991000000.0,5506000000.0,5299000000.0,5422000000.0,6568000000.0,6494000000.0,5403000000.0,5808000000.0,6013000000.0,5649000000.0,5847600000.0,5001400000.0,3519200000.0,2697000000.0,3891800000.0,4644187000.0,2857600000.0,2542100000.0,2356400000.0,1953000000.0,2429724000.0,2134700000.0,1648280000.0,1514500000.0,1226600000.0,1059200000.0,1104600000.0,1125900000.0,997100000.0,632000000.0,576100000.0
,costOfRevenue,5416000000.0,3863000000.0,4028000000.0,3466000000.0,3274000000.0,2911000000.0,3667000000.0,3321000000.0,4187000000.0,3628000000.0,3533000000.0,3131000000.0,3488000000.0,3751000000.0,2856000000.0,3455800000.0,3032600000.0,2327100000.0,2105700000.0,2589700000.0,2514637000.0,1964400000.0,1718700000.0,1578400000.0,1440800000.0,1298876000.0,982300000.0,789564000.0,594200000.0,502900000.0,550200000.0,507000000.0,508700000.0,409600000.0,254500000.0,235000000.0
,grossProfit,4347000000.0,2868000000.0,2447000000.0,1787000000.0,998000000.0,1080000000.0,1839000000.0,1978000000.0,1235000000.0,2940000000.0,2961000000.0,2272000000.0,2320000000.0,2262000000.0,2793000000.0,2391800000.0,1968900000.0,1192100000.0,591400000.0,1302000000.0,2129550000.0,893200000.0,823400000.0,777900000.0,512200000.0,1130848000.0,1152400000.0,858716000.0,920300000.0,723700000.0,509000000.0,597600000.0,617200000.0,587500000.0,377500000.0,341100000.0
,grossProfitRatio,0.445252483867664,0.426088248402912,0.377915057915058,0.340186560060918,0.233614232209738,0.270608869957404,0.333999273519797,0.373277976976788,0.227775728513464,0.44762484774665,0.455959347089621,0.420507125670924,0.399449035812672,0.376184932645934,0.494423791821561,0.4090225049593,0.39366977246371,0.338741759490793,0.219280682239525,0.334549565753636,0.458540967450277,0.312569988801792,0.323905432516423,0.330122220336106,0.26226318484383,0.465422410117363,0.539841663934042,0.520977018467736,0.607659293496203,0.590004891570194,0.480551359516616,0.541010320478001,0.548183675281997,0.589208705245211,0.597310126582278,0.592084707516056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1983000000.0,1547000000.0,1434000000.0,1196000000.0,1008000000.0,937000000.0,1075000000.0,1199000000.0,1354000000.0,1453000000.0,1405000000.0,1721000000.0,1848000000.0,1847000000.0,1205000000.0,1144000000.0,934600000.0,852100000.0,816100000.0,650900000.0,641799000.0,635800000.0,567400000.0,467900000.0,400700000.0,397555000.0,280000000.0,262802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,995000000.0,750000000.0,562000000.0,516000000.0,460000000.0,475000000.0,607000000.0,674000000.0,823000000.0,992000000.0,934000000.0,994000000.0,1304000000.0,1373000000.0,1140000000.0,1016100000.0,807000000.0,587300000.0,670100000.0,620000000.0,599015000.0,540100000.0,419700000.0,400700000.0,364800000.0,385016000.0,359200000.0,290861000.0,498100000.0,458700000.0,431900000.0,422700000.0,432500000.0,451000000.0,319300000.0,306100000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-47000000.0,-165000000.0,0.0,-9000000.0,80000000.0,-5000000.0,-69000000.0,-5000000.0,6000000.0,0.0,311000000.0,166000000.0,22000000.0,-7000000.0,0.0,13571000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
