date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY
,revenue,6151953000.0,7398068000.0,6716615000.0,5884506000.0,4854737000.0,3924116000.0,3241369000.0,2670600000.0,2220300000.0,1776200000.0,1454800000.0,1222800000.0,1084646000.0,912100000.0
,costOfRevenue,4202794000.0,4717004000.0,4307304000.0,3787697000.0,3107508000.0,2539783000.0,2104582000.0,1729300000.0,1436600000.0,1159300000.0,970800000.0,846200000.0,756712000.0,628500000.0
,grossProfit,1949159000.0,2681064000.0,2409311000.0,2096809000.0,1747229000.0,1384333000.0,1136787000.0,941200000.0,783700000.0,616800000.0,484100000.0,376600000.0,327934000.0,283600000.0
,grossProfitRatio,0.316835808075907,0.362400561876425,0.358709111658179,0.35632710715224,0.359901885519236,0.352775758922519,0.350711998541357,0.352430165505879,0.352970319326217,0.347258191645085,0.332760516909541,0.307981681386981,0.302341962262342,0.310930818989146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1583017000.0,1779970000.0,1555231000.0,1311518000.0,1092405000.0,878036000.0,712006000.0,613700000.0,503700000.0,420600000.0,365200000.0,308400000.0,281633000.0,236900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1583017000.0,1779970000.0,1555231000.0,1311518000.0,1092405000.0,878036000.0,726372000.0,613700000.0,503700000.0,420700000.0,365200000.0,308400000.0,281633000.0,236900000.0
,costAndExpenses,5785811000.0,6496974000.0,5862535000.0,5099215000.0,4199913000.0,3417819000.0,2830954000.0,2343000000.0,1940300000.0,1580000000.0,1336000000.0,1154600000.0,1038345000.0,865400000.0
,interestExpense,-5735000.0,5056000.0,5061000.0,1568000.0,890000.0,1143000.0,0.0,100000.0,185000.0,587000.0,-755000.0,-2202000.0,3943000.0,-4542000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,297772000.0,295599000.0,279472000.0,252713000.0,210295000.0,165049000.0,131764000.0,106300000.0,88200000.0,75900000.0,64900000.0,62200000.0,51445000.0,39500000.0
,EBITDA,534592000.0,1196693000.0,1133552000.0,1038004000.0,865119000.0,671346000.0,542179000.0,433900000.0,368200000.0,272100000.0,183800000.0,130400000.0,97746000.0,86200000.0
,EBITDARatio,0.0868979330628826,0.16175750209379,0.168768345364443,0.176396115493807,0.178201002443593,0.171082098490463,0.167268521417956,0.1624728525425,0.16583344593073,0.153192208084675,0.126340390431674,0.106640497219496,0.0901178817789399,0.0945071812301283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
