date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,2518384000.0,2222559000.0,1958557000.0,1717018000.0,1601596000.0,1550117000.0,1773981000.0,2310072000.0,2582295000.0,2869982000.0,2604038000.0,2020334000.0,1870879000.0,1448098000.0,1137178000.0,980290000.0,842422000.0,701601000.0,500219000.0,431436000.0,378827000.0,353924000.0
,costOfRevenue,2138791000.0,1893461000.0,1678100000.0,1463599000.0,1369775000.0,1320697000.0,1524208000.0,1995630000.0,2213894000.0,2453679000.0,2208631000.0,1668763000.0,1565198000.0,1214150000.0,944150000.0,805853000.0,713436000.0,569768000.0,407316000.0,353337000.0,315414000.0,296306000.0
,grossProfit,379593000.0,329098000.0,280457000.0,253419000.0,231821000.0,229420000.0,249773000.0,314442000.0,368401000.0,416303000.0,395407000.0,351571000.0,305681000.0,233948000.0,193028000.0,174437000.0,128986000.0,131833000.0,92903000.0,78099000.0,63413000.0,57618000.0
,grossProfitRatio,0.150728800691237,0.148071659739966,0.143195730325949,0.14759251213441,0.144743743116242,0.148001731482204,0.14079801305651,0.136117835288251,0.1426641805061,0.14505421985225,0.151843790297991,0.174016276516655,0.163388973845984,0.161555364346888,0.169742995379791,0.177944281794163,0.153113285265579,0.187903095919191,0.18572465260216,0.181021055266598,0.167393031647691,0.162797662775059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,221544000.0,190773000.0,167715000.0,155225000.0,140858000.0,144534000.0,154957000.0,173772000.0,197413000.0,188949000.0,180267000.0,172492000.0,152323000.0,120244000.0,102378000.0,82866000.0,82604000.0,66318000.0,51833000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,1000.0,-83000.0,80000.0,319000.0,83000.0,1501000.0,-233000.0,-32000.0,-74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
