date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,43076000000.0,0.0,0.0,0.0,0.0,0.0,0.0,184000000.0,0.0,0.0,0.0,0.0,0.0,56441000000.0,52901000000.0,37882000000.0,31187835688.96,29083000000.0,29187000000.0,31946017840.0,29749900340.0,23024329453.16,17458895628.0,14182894908.0,12283610054.0,11150295279.0,10732676790.0,9116908619.0,6512580900.0,5471674156.0,4629058750.0,3881468016.0,4008250880.0
,costOfRevenue,13014000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7553106257.68,0.0,0.0,7184032720.0,11966612860.0,4570364681.96,2935111518.0,3916541538.0,2789406799.0,1781236449.0,1681967796.0,2842977683.0,2242813650.0,2498007797.0,443023750.0,2637210816.0,0.0
,grossProfit,30062000000.0,0.0,0.0,0.0,0.0,0.0,0.0,184000000.0,0.0,0.0,0.0,0.0,0.0,56441000000.0,52901000000.0,37882000000.0,23634729431.28,29083000000.0,29187000000.0,24761985120.0,17783287480.0,18453964771.2,14523784110.0,10266353370.0,9494203255.0,9369058830.0,9050708994.0,6273930936.0,4269767250.0,2973666359.0,4186035000.0,1244257200.0,0.0
,grossProfitRatio,0.697882811774538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.757818838953494,1.0,1.0,0.77511961722488,0.597759564797251,0.801498467468605,0.831884468494515,0.72385457528908,0.772916366871182,0.840252082619309,0.84328533981689,0.688164288816593,0.655618304872036,0.543465541664101,0.904295068624912,0.320563558651259,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,5369000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4831598187.28,0.0,0.0,6415278280.0,5870976360.0,7960679266.96,5841573660.0,3426360210.0,3559131059.0,3482064177.0,3396146262.0,1469789503.0,936488175.0,231342262.0,1758052500.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,-365000000.0,-521000000.0,-200000000.0,1000000.0,0.0,0.0,-14814000000.0,0.0,0.0,-12081000000.0,-11095000000.0,-8302000000.0,0.0,-60000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,25331000000.0,31146000000.0,28035000000.0,30330000000.0,31397000000.0,31671000000.0,28542000000.0,30692000000.0,33702000000.0,35335000000.0,22799000000.0,20202000000.0,20493000000.0,22408000000.0,26850260530.0,10945634840.0,0.0,16450335581.72,17202140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,38345000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23957929907.36,-22755000000.0,0.0,26514160810.0,24181310140.0,19303649258.46,13579804224.0,11192534262.0,9785702171.0,8653179441.0,8053972236.0,6748644630.0,5220558525.0,4529202967.0,3809713125.0,3817642230.0,0.0
,interestExpense,2417000000.0,0.0,0.0,0.0,2225000000.0,3140000000.0,2556000000.0,0.0,0.0,0.0,0.0,0.0,3605000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,9359000000.0,-10582000000.0,0.0,16187000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6408002642.96,0.0,0.0,8222525560.0,6844148720.0,6321586637.31,4513982040.0,3616996383.0,3222236088.0,3212605272.0,2815864926.0,2273530441.0,1914426150.0,1692437983.0,1513678750.0,1180431414.0,0.0
,EBITDA,14090000000.0,-6045000000.0,6522000000.0,22978000000.0,0.0,0.0,0.0,0.0,0.0,0.0,16474000000.0,0.0,0.0,13388000000.0,9422000000.0,8558000000.0,13637908424.56,0.0,0.0,13654382590.0,12412738920.0,10042266832.01,8393073444.0,6607357029.0,5720143971.0,5709721110.0,5494569480.0,4641794430.0,3206448525.0,2634909172.0,2333024375.0,1244257200.0,4008250880.0
,EBITDARatio,0.327096294920605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237203451391719,0.178106273983479,0.225912042658783,0.437282938148466,0.0,0.0,0.427420489726991,0.41723631938728,0.436158927122707,0.480733353519765,0.465868010153065,0.465672871888123,0.512069049933902,0.511947726322987,0.509141269698187,0.492346824436377,0.48155447434871,0.503995412674337,0.320563558651259,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,4731000000.0,4537000000.0,6522000000.0,6791000000.0,0.0,0.0,0.0,0.0,0.0,0.0,16474000000.0,0.0,0.0,13388000000.0,9422000000.0,8558000000.0,7229905781.6,0.0,0.0,5431857030.0,5568590200.0,3720680194.7,3879091404.0,2990360646.0,2497907883.0,2497115838.0,2678704554.0,2368263989.0,1292022375.0,942471189.0,819345625.0,63825786.0,4008250880.0
