date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,2367929000.0,1838154000.0,1504400000.0,1257960000.0,838320000.0,630236000.0,383268000.0,162795702.0,76221041.0,50456159.0
,costOfRevenue,1764832000.0,1401675000.0,1124484000.0,937540000.0,616707000.0,463304000.0,280481000.0,121325536.0,54530971.0,36699505.0
,grossProfit,603097000.0,436479000.0,379916000.0,320420000.0,221613000.0,166932000.0,102787000.0,41470166.0,21690070.0,13756654.0
,grossProfitRatio,0.254693869621935,0.237455077213335,0.252536559425685,0.254713981366657,0.26435370741483,0.264872206601971,0.268185708172871,0.254737474580256,0.28456801055761,0.272645684345493
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,90021000.0,77380000.0,70345000.0,55662000.0,43158000.0,34260000.0,23744000.0,13604160.0,6096114.0,5125331.0
,SellingAndMarketingExpenses,148366000.0,131561000.0,109460000.0,94957000.0,66984000.0,52998000.0,36672000.0,15768575.0,7269331.0,4884310.0
,otherExpenses,3139000.0,4463000.0,2586000.0,1601000.0,2201000.0,606000.0,708000.0,24239.0,172785.0,203677.0
,operatingExpenses,238387000.0,208941000.0,179805000.0,150619000.0,110142000.0,87258000.0,60416000.0,29372735.0,0.0,0.0
,costAndExpenses,2003219000.0,1610616000.0,1304289000.0,1088159000.0,726849000.0,550562000.0,340897000.0,150698271.0,67896416.0,46709146.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50946.0,1234.0,28152.0
