date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-105000000.0,-175000000.0,-163000000.0,134000000.0
,depreciationAndAmortization,114000000.0,110000000.0,132000000.0,127000000.0
,deferredIncomeTax,2000000.0,143000000.0,-19000000.0,19000000.0
,stockBasedCompensation,0.0,0.0,6000000.0,3000000.0
,changeInWorkingCapital,173000000.0,-93000000.0,72000000.0,586000000.0
,accountsReceivables,14000000.0,22000000.0,25000000.0,-24000000.0
,inventory,102000000.0,21000000.0,-103000000.0,8000000.0
,accountsPayables,-77000000.0,-29000000.0,-27000000.0,51000000.0
,otherWorkingCapital,662000000.0,489000000.0,582000000.0,510000000.0
,otherNonCashItems,0.0,17000000.0,595000000.0,54000000.0
,netCashProvidedByOperatingActivites,34000000.0,33000000.0,282000000.0,338000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0
,acquisitionsNet,6000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,2000000.0,5000000.0,185000000.0
,netCashUsedForInvestingActivites,-64000000.0,-150000000.0,-321000000.0,-12000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,3000000.0,-6000000.0,-4000000.0,-12000000.0
,commonStockIssued,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0
,dividendsPaid,-8000000.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,74000000.0,159000000.0,139000000.0
,netCashUsedProvidedByFinancingActivities,192000000.0,7000000.0,-18000000.0,-123000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,3000000.0,0.0,-16000000.0,5000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,165000000.0,-110000000.0,-73000000.0,208000000.0
,cashAtEndOfPeriod,220000000.0,55000000.0,165000000.0,237000000.0
,cashAtBeginningOfPeriod,55000000.0,165000000.0,238000000.0,29000000.0
,operatingCashFlow,34000000.0,33000000.0,282000000.0,338000000.0
,capitalExpenditure,0.0,-152000000.0,-326000000.0,-197000000.0
,freeCashFlow,34000000.0,-119000000.0,-44000000.0,141000000.0
