date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,revenue,2200429000.0,1300029000.0,1207570000.0,1056231000.0,981120000.0,757044000.0,296955000.0,102995000.0,22978000.0,6939000.0,2376000.0,0.0,0.0
,costOfRevenue,532695000.0,362175000.0,391301000.0,493368000.0,392001000.0,219502000.0,78753000.0,14625000.0,12663000.0,7267000.0,4263000.0,0.0,0.0
,grossProfit,1667734000.0,937854000.0,816269000.0,562863000.0,589119000.0,537542000.0,218202000.0,88370000.0,10315000.0,-328000.0,-1887000.0,0.0,0.0
,grossProfitRatio,0.757913116033283,0.721410060852489,0.675959985756519,0.532897633188195,0.600455601761252,0.710053840992069,0.73479820174774,0.858002815670664,0.448907650796414,-0.0472690589422107,-0.794191919191919,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,209364000.0,103169000.0,82762000.0,224962000.0,60707000.0,41865000.0,17460000.0,10084000.0,16837000.0,15358000.0,17697000.0,10894000.0,22295000.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,287942000.0,219861000.0,88957000.0,23566000.0,19444000.0,15008000.0,18612000.0,5823000.0,3235000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,320366000.0,220444000.0,120276000.0,68595000.0,49561000.0,20314000.0,5558000.0,2072000.0,1337000.0
,otherExpenses,3388000.0,10932000.0,7614000.0,588000.0,66000000.0,-10291000.0,-261196000.0,0.0,-14092000.0,69621000.0,0.0,0.0,0.0
,operatingExpenses,1182591000.0,800280000.0,775247000.0,902325000.0,669015000.0,482170000.0,226693000.0,102245000.0,85842000.0,50680000.0,0.0,0.0,0.0
,costAndExpenses,1715286000.0,1232253000.0,1169659000.0,1396671000.0,1127016000.0,856896000.0,312665000.0,116870000.0,98505000.0,127568000.0,46130000.0,18789000.0,26867000.0
,interestExpense,59616000.0,-87056000.0,-121884000.0,-126783000.0,-87615000.0,-22569000.0,23826000.0,39178000.0,14525000.0,6284000.0,3052000.0,2214000.0,869000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,279451000.0,237157000.0,275729000.0,283244000.0,221665000.0,138343000.0,34009000.0,26555000.0,5538000.0,4438000.0,3799000.0,77000.0,35000.0
,EBITDA,764594000.0,304933000.0,313640000.0,-57196000.0,75769000.0,38491000.0,18299000.0,-16299000.0,-73335000.0,-116203000.0,-39955000.0,-19190000.0,-26329000.0
,EBITDARatio,0.347474969653645,0.234558613692464,0.259728214513444,-0.0541510332493555,0.077227046640574,0.050843808285912,0.0616221312993551,-0.158250400504879,-3.19153102968056,-16.7463611471394,-16.8160774410774,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,485143000.0,67776000.0,37911000.0,-340440000.0,-145896000.0,-99852000.0,-15710000.0,-42854000.0,-78873000.0,-120641000.0,-43754000.0,-18789000.0,-26867000.0
