date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,revenue,119704000000.0,176249000000.0,184106000000.0,149099000000.0,127925000000.0,143421000000.0,212018000000.0,237033610428.347,241091596794.244,215864169528.87,186828035643.038,160686858845.779,223196536459.058,199804000000.0,175123000000.0,169439000000.0,166209000000.0,131568000000.0,107698000000.0,93870000000.0,107890000000.0,42566000000.0,28507100000.0,31720100000.0,34061700000.0,27695500000.0,25612000000.0,23036700000.0,24731500000.0
,costOfRevenue,100093000000.0,131952000000.0,139808000000.0,115514000000.0,96900000000.0,114391000000.0,172631000000.0,179712226242.095,180288041897.003,147614542155.401,123914084319.723,101808126540.203,154556338224.239,129505000000.0,110821000000.0,110255000000.0,137006000000.0,109257000000.0,90979000000.0,78220000000.0,89928000000.0,37349000000.0,25257300000.0,28044100000.0,30769000000.0,24713700000.0,23170900000.0,20988400000.0,22501100000.0
,grossProfit,19611000000.0,44297000000.0,44298000000.0,33585000000.0,31025000000.0,29030000000.0,39387000000.0,57321384186.252,60803554897.2412,68249627373.469,62913951323.3143,58878732305.5762,68640198234.8192,70299000000.0,64302000000.0,59184000000.0,29203000000.0,22311000000.0,16719000000.0,15650000000.0,17962000000.0,5217000000.0,3249800000.0,3676000000.0,3292700000.0,2981800000.0,2441100000.0,2048300000.0,2230400000.0
,grossProfitRatio,0.163829111809129,0.251331922450624,0.240611386918406,0.225253019805633,0.242524916943522,0.202411083453609,0.185771962757879,0.241828085403862,0.252201054311872,0.316169318522966,0.33674791423446,0.366419088209856,0.307532542053627,0.351839803006947,0.367181923562296,0.349293846162926,0.175700473500232,0.169577708865378,0.155239651618414,0.166719931820603,0.166484382241172,0.122562608654795,0.113999670257585,0.115888663654907,0.096668692402317,0.107663699879042,0.0953107918163361,0.0889146448927147,0.0901845824151386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26590472478.2137,25430000000.0,25784000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-261000000.0,-152000000.0,52000000.0,-414000000.0,-195000000.0,-659000000.0,-318000000.0,-324504957.33105,-727378527.78586,-416045622.448318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
