date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-99254000.0,-122447000.0,-85288000.0,-60121000.0,-30290799.0,-20263000.0
,depreciationAndAmortization,582000.0,356000.0,175000.0,89000.0,67226.0,42000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,18770000.0,16449000.0,10225000.0,3394000.0,1390555.0,389000.0
,changeInWorkingCapital,-58285000.0,-106537000.0,264814000.0,50681264.0,20693369.0,946000.0
,accountsReceivables,-237000.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-244000.0,248000.0,-1002000.0,0.0,0.0,0.0
,otherWorkingCapital,192949000.0,251234000.0,357771000.0,92957000.0,42275736.0,21582367.0
,otherNonCashItems,-86000.0,0.0,0.0,0.0,1472786.0,181000.0
,netCashProvidedByOperatingActivites,-83742000.0,-99571000.0,-74307000.0,-50519000.0,-25140759.0,-13845000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,152000.0,-2716000.0,-709000.0,-294000.0,-249742.0,-87000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,152000.0,-2716000.0,-709000.0,-294000.0,-249742.0,-87000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-620000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,339589000.0,108503000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-620000.0,0.0,-892000.0,-1398000.0,-248916.0,-140000.0
,netCashUsedProvidedByFinancingActivities,21688000.0,2705000.0,340494000.0,107320000.0,49757601.0,33176000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-61902000.0,-99582000.0,265478000.0,56507000.0,24367100.0,19244000.0
,cashAtEndOfPeriod,207806000.0,269708000.0,369290000.0,103812000.0,47304820.0,22938000.0
,cashAtBeginningOfPeriod,269708000.0,369290000.0,103812000.0,47305000.0,22937720.0,3694000.0
,operatingCashFlow,-83742000.0,-99571000.0,-74307000.0,-50519000.0,-25140759.0,-13845000.0
,capitalExpenditure,152000.0,-2716000.0,-709000.0,-294000.0,-249742.0,-87000.0
,freeCashFlow,-83742000.0,-102287000.0,-75016000.0,-50813000.0,-25390501.0,-13932000.0
