date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,291670000.0,308749000.0,325839000.0,402361000.0,476750000.0,578831000.0,457314000.0,349047000.0,273692000.0,229084000.0,165969000.0,128805000.0,110982000.0,123538000.0,72406000.0,54218000.0,27191000.0,16550000.0,8185000.0,5621000.0
,costOfRevenue,121817000.0,150407000.0,158802000.0,181453000.0,194198000.0,239074000.0,184414000.0,146238000.0,115670000.0,106595000.0,83217000.0,64455000.0,53528000.0,55305000.0,35643000.0,30205000.0,17688000.0,0.0,3715000.0,4876000.0
,grossProfit,169853000.0,158342000.0,167037000.0,220908000.0,282552000.0,339757000.0,272900000.0,202809000.0,158022000.0,122489000.0,82752000.0,64350000.0,57454000.0,68233000.0,36763000.0,24013000.0,9503000.0,0.0,4470000.0,745000.0
,grossProfitRatio,0.582346487468715,0.512850244049373,0.51263660887739,0.549029354236618,0.592662821185107,0.586970981167215,0.596745343462041,0.581036364730251,0.577371644037823,0.534690331930646,0.498599135983226,0.499592407127052,0.517687552936512,0.552323981285111,0.507734165676878,0.442897192814195,0.349490640285389,0.0,0.546120952962737,0.13253869418253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,77043000.0,75568000.0,79172000.0,90850000.0,106681000.0,91430000.0,73620000.0,64845000.0,52307000.0,41541000.0,26008000.0,13153000.0,11049000.0,10629000.0,7726000.0,5689000.0,3324000.0,0.0,3029000.0,3923000.0
,GeneralAndAdministrativeExpenses,89292000.0,112771000.0,122112000.0,154037000.0,131106000.0,90735000.0,79227000.0,62096000.0,46680000.0,44886000.0,33743000.0,23650000.0,21718000.0,18531000.0,10474000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,227000.0,801000.0,1012000.0,-17678000.0,1863000.0,372000.0,441000.0,217000.0,889000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,208423000.0,264336000.0,318938000.0,339771000.0,337098000.0,254317000.0,208803000.0,168067000.0,122799000.0,104120000.0,73449000.0,45302000.0,39423000.0,34397000.0,21467000.0,15538000.0,9791000.0,0.0,10924000.0,3923000.0
,costAndExpenses,330240000.0,414743000.0,477740000.0,521224000.0,531296000.0,493391000.0,393217000.0,314305000.0,238469000.0,210715000.0,156666000.0,109757000.0,92951000.0,89702000.0,57110000.0,45743000.0,27479000.0,0.0,14639000.0,8799000.0
,interestExpense,420000.0,1057000.0,3617000.0,55771000.0,7013000.0,5711000.0,3003000.0,1089000.0,998000.0,1820000.0,1264000.0,741000.0,96000.0,66000.0,100000.0,133000.0,39000.0,0.0,184000.0,96000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,43685000.0,77036000.0,117654000.0,94884000.0,99311000.0,72152000.0,55956000.0,41126000.0,23812000.0,14739000.0,9403000.0,8499000.0,6656000.0,5237000.0,3267000.0,2305000.0,2127000.0,0.0,2726000.0,2138000.0
,EBITDA,5115000.0,-28958000.0,-34247000.0,-23979000.0,44765000.0,157592000.0,120053000.0,75868000.0,59035000.0,33108000.0,18706000.0,27547000.0,24687000.0,39073000.0,18563000.0,10780000.0,1839000.0,16550000.0,-3728000.0,-1040000.0
,EBITDARatio,0.0175369424349436,-0.0937913968952126,-0.105104054456342,-0.0595957361672727,0.0938961719979025,0.272259087712994,0.262517657451991,0.217357547837397,0.215698668576356,0.144523406261459,0.112707794829155,0.213865921353985,0.22244147699627,0.316283248878887,0.256373781178355,0.198826957836881,0.0676326725754845,1.0,-0.455467318265119,-0.185020458993062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-38570000.0,-105994000.0,-151901000.0,-118863000.0,-54546000.0,85440000.0,64097000.0,34742000.0,35223000.0,18369000.0,9303000.0,19048000.0,18031000.0,33836000.0,15296000.0,8475000.0,-288000.0,16550000.0,-6454000.0,-3178000.0
,operatingIncomeRatio,-0.132238488702986,-0.343301516766046,-0.46618421981408,-0.295413819927876,-0.114412165705296,0.147607850996232,0.14015971520662,0.0995338736617132,0.128695760197594,0.0801845611216846,0.0560526363357012,0.147882457979116,0.162467787569155,0.273891434214574,0.211253211059857,0.156313401453392,-0.0105917399139421,1.0,-0.788515577275504,-0.565379825653798
,totalOtherIncomeExpensesNet,-17000.0,4798000.0,-114132000.0,-66955000.0,-15400000.0,-5478000.0,-1358000.0,369000.0,7124000.0,-2954000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,832000.0
,incomeBeforeTax,-37466000.0,-101293000.0,-263174000.0,-229087000.0,-74531000.0,76298000.0,60574000.0,34579000.0,42664000.0,18359000.0,9097000.0,18833000.0,20304000.0,37744000.0,17452000.0,8600000.0,-7000.0,0.0,-6054000.0,-9792000.0
,incomeBeforeTaxRatio,-0.128453389104125,-0.328075556520021,-0.807681094037239,-0.569356871068518,-0.156331410592554,0.131813949149234,0.132456036771234,0.0990668878403195,0.155883255630417,0.0801409090115416,0.0548114406907314,0.146213268118474,0.182948586257231,0.305525425375188,0.241029748915836,0.15861890884946,-0.000257438122908315,0.0,-0.739645693341478,-1.74203878313467
,incomeTaxExpense,-27108000.0,2174000.0,-17894000.0,-34863000.0,-7990000.0,29616000.0,21679000.0,11228000.0,15581000.0,3233000.0,5223000.0,6536000.0,8424000.0,13988000.0,7310000.0,-3829000.0,0.0,0.0,0.0,0.0
,netIncome,-10702000.0,-104593000.0,-218155000.0,-109438000.0,19588000.0,40630000.0,38895000.0,23351000.0,27083000.0,15126000.0,3874000.0,12297000.0,11880000.0,23756000.0,10142000.0,12429000.0,-7000.0,-1044000.0,-6054000.0,-9792000.0
,netIncomeRatio,-0.0366921520896904,-0.338763850247288,-0.669517767977437,-0.271989581495224,0.0410865233350813,0.0701931997422391,0.0850509715425288,0.0668993000942567,0.0989542989930287,0.0660281818023083,0.0233417083913261,0.0954698963549552,0.107044385576039,0.19229710696304,0.140071264812308,0.229241211405806,-0.000257438122908315,-0.0630815709969789,-0.739645693341478,-1.74203878313467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.262987172556151,-3.36,-6.05,-2.45,0.45,0.96,0.96,0.6,0.71,0.44,0.12117231240812,0.4,0.38,0.74,0.37,0.57,-0.0041,-0.11,-0.68,-1.29
,EPSDiluted,-0.262987172556151,-3.36,-6.05,-2.45,0.45,0.89,0.92,0.58,0.69,0.43,0.117354821120233,0.39,0.37,0.71,0.35,0.5,-0.0041,-0.11,-0.68,-1.29
,weightedAverageShsOut,41950000.0,40694000.0,40277000.0,44669000.0,43571000.0,42284000.0,40418000.0,38891000.0,38195000.0,37372000.0,31971000.0,30813000.0,31619000.0,32215000.0,27248000.0,21916000.0,10244000.0,9838000.0,8932000.0,7594000.0
,weightedAverageShsOutDil,41950000.0,40694000.0,40277000.0,44669000.0,43571000.0,47653000.0,43297000.0,40009000.0,39126000.0,38619000.0,33011000.0,31145000.0,32187000.0,33375000.0,29196000.0,24921000.0,10244000.0,9838000.0,8932000.0,7594000.0
