Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,12600000.0,6600000.0,41800000.0,48600000.0,33300000.0,46300000.0,0.0,0.0
Short-term investments,3100000.0,5700000.0,0.0,1400000.0,3100000.0,6400000.0,0.0,0.0
Cash and short-term investments,12600000.0,6600000.0,41800000.0,48600000.0,33300000.0,46300000.0,0.0,0.0
Receivables,48800000.0,42200000.0,39700000.0,40000000.0,30800000.0,20200000.0,27400000.0,26700000.0
Inventories,79000000.0,79400000.0,66900000.0,77100000.0,66000000.0,59300000.0,63200000.0,67000000.0
Total current assets,144500000.0,135800000.0,150000000.0,169100000.0,134800000.0,133900000.0,794900000.0,835000000.0
Property Plant & Equipment Net,1245100000.0,1265600000.0,1294900000.0,1326500000.0,893300000.0,871100000.0,768700000.0,783800000.0
Goodwill and Intangible Assets,229300000.0,239700000.0,73500000.0,67700000.0,15100000.0,16000000.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,400000.0,0.0,2200000.0,0.0,21400000.0,45800000.0
Total non-current assets,1474600000.0,1505600000.0,1546000000.0,1599800000.0,923200000.0,893600000.0,225300000.0,225300000.0
Total assets,1619100000.0,1641400000.0,1696000000.0,1768900000.0,1058000000.0,1027500000.0,885500000.0,928700000.0
Payables,68800000.0,54900000.0,47000000.0,45300000.0,44600000.0,58700000.0,41500000.0,65600000.0
Short-term debt,2800000.0,2600000.0,4900000.0,1100000.0,0.0,40000000.0,0.0,0.0
Total current liabilities,91300000.0,77800000.0,85500000.0,76800000.0,64400000.0,109700000.0,58500000.0,80200000.0
Long-term debt,793300000.0,818400000.0,805700000.0,894500000.0,411500000.0,149700000.0,225000000.0,225000000.0
Total debt,796100000.0,821000000.0,810600000.0,895600000.0,411500000.0,189700000.0,225000000.0,225000000.0
Deferred revenue,3000000.0,1700000.0,2500000.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,921100000.0,947700000.0,856800000.0,941500000.0,416700000.0,153100000.0,225300000.0,225300000.0
Total liabilities,1024100000.0,1037800000.0,956700000.0,1039500000.0,492200000.0,447000000.0,283800000.0,305500000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),606700000.0,615900000.0,753700000.0,745000000.0,576900000.0,764700000.0,,
Total shareholders equity,595000000.0,603600000.0,739300000.0,729400000.0,565800000.0,580500000.0,601700000.0,623200000.0
Investments,3100000.0,5700000.0,0.0,1400000.0,3100000.0,6400000.0,0.0,0.0
Net Debt,783500000.0,814400000.0,768800000.0,847000000.0,378200000.0,143400000.0,225000000.0,225000000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,11700000.0,12300000.0,14400000.0,21200000.0,11100000.0,184200000.0,17000000.0,14600000.0
