date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,revenue,1888007000.0,1747213000.0,1555353000.0,1483939000.0,1359861000.0,1331210000.0,1247972000.0,1257861000.0,1326103000.0,1287265000.0,1257769000.0,1237767000.0,1083138000.0,943133000.0,858311000.0,796287000.0,732133000.0,693021000.0,692198000.0,590112000.0,467790000.0,424600000.0,355100000.0,285300000.0,232700000.0,206400000.0,193400000.0,170200000.0,138900000.0,69600000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,1269000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.672137338473851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,859022000.0,822971000.0,738414000.0,755720000.0,733033000.0,679743000.0,626076000.0,641307000.0,619521000.0,593788000.0,568340000.0,538113000.0,481928000.0,328705000.0,296260000.0,258971000.0,240661000.0,222922000.0,183314000.0,163835000.0,146215000.0,136000000.0,106000000.0,87700000.0,71900000.0,67300000.0,63100000.0,57400000.0,49200000.0,26100000.0
,SellingAndMarketingExpenses,14511000.0,35662000.0,30523000.0,28877000.0,26582000.0,27851000.0,26649000.0,22598000.0,23338000.0,20549000.0,17726000.0,19582000.0,23536000.0,21888000.0,19351000.0,17964000.0,15618000.0,17935000.0,11367000.0,10658000.0,8395000.0,9100000.0,8000000.0,8700000.0,6400000.0,6000000.0,6200000.0,5300000.0,3300000.0,2400000.0
,otherExpenses,7675000.0,9351000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23507000.0,27809000.0,34413000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1165937000.0,1595000000.0,1280000000.0,1150000000.0,1164000000.0,994000000.0,915000000.0,884000000.0,906000000.0,893000000.0,997000000.0,1097000000.0,1280000000.0,1226000000.0,1030000000.0,806000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,1165937000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,160556000.0,419079000.0,243559000.0,131050000.0,81889000.0,63474000.0,67045000.0,70894000.0,87322000.0,120101000.0,142030000.0,204205000.0,414783000.0,616252000.0,499741000.0,320593000.0,191041000.0,175144000.0,206712000.0,327859000.0,369843000.0,264200000.0,204300000.0,188900000.0,163100000.0,160200000.0,104100000.0,69500000.0,57400000.0,45800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,20443000.0,20618000.0,9620000.0,6779000.0,6862000.0,4359000.0,3965000.0,3428000.0,2927000.0,3583000.0,5336000.0,6970000.0,7661000.0,41120000.0,40629000.0,44860000.0,47298000.0,73390000.0,71608000.0,63550000.0,49469000.0,42500000.0,40000000.0,35300000.0,26600000.0,21500000.0,23800000.0,13300000.0,8800000.0,3500000.0
,EBITDA,123506000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0654160710209231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,103063000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0545882509969508,0.361071031408306,0.363573413880965,0.349258291614413,0.249038688513017,0.324248615920854,0.344824242851602,0.378602246194134,0.409367899778524,0.348284929676485,0.295484305941711,0.251033514385179,0.201397236547882,0.353529141701117,0.381682164157281,0.395259498145769,0.369427412778826,0.356805926515935,0.336364739568736,0.304481183233013,0.315891746296415,0.314884597268017,0.315122500704027,0.284262180161234,0.298238074774388,0.310077519379845,0.308686659772492,0.286721504112808,0.256299496040317,0.195402298850575
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,563864000.0,630868000.0,565485000.0,518278000.0,338658000.0,431643000.0,430331000.0,476229000.0,542864000.0,448335000.0,371651000.0,310721000.0,218141000.0,333425000.0,327602000.0,314740000.0,270470000.0,247274000.0,232831000.0,179678000.0,147771000.0,133700000.0,111900000.0,81100000.0,69400000.0,64000000.0,59700000.0,48800000.0,35600000.0,13600000.0
,incomeBeforeTaxRatio,0.298655672357147,0.361071031408306,0.363573413880965,0.349258291614413,0.249038688513017,0.324248615920854,0.344824242851602,0.378602246194134,0.409367899778524,0.348284929676485,0.295484305941711,0.251033514385179,0.201397236547882,0.353529141701117,0.381682164157281,0.395259498145769,0.369427412778826,0.356805926515935,0.336364739568736,0.304481183233013,0.315891746296415,0.314884597268017,0.315122500704027,0.284262180161234,0.298238074774388,0.310077519379845,0.308686659772492,0.286721504112808,0.256299496040317,0.195402298850575
,incomeTaxExpense,128793000.0,130183000.0,119061000.0,182593000.0,106377000.0,139384000.0,134852000.0,157298000.0,188740000.0,158511000.0,123357000.0,106705000.0,64909000.0,115761000.0,114625000.0,113235000.0,91447000.0,88914000.0,82422000.0,63612000.0,47631000.0,44500000.0,37200000.0,16500000.0,15300000.0,14800000.0,14600000.0,14600000.0,10000000.0,5100000.0
,netIncome,435030000.0,500758000.0,445646000.0,334644000.0,232668000.0,288565000.0,292435000.0,316609000.0,351191000.0,285875000.0,246754000.0,200578000.0,153232000.0,217664000.0,212977000.0,201505000.0,179023000.0,158360000.0,150409000.0,116302000.0,100140000.0,89200000.0,74700000.0,64600000.0,54100000.0,49200000.0,45100000.0,35800000.0,25600000.0,8500000.0
,netIncomeRatio,0.230417577900929,0.286603865699259,0.286524023806814,0.225510617350174,0.171096898874223,0.216768954560137,0.234328174029546,0.251704282110662,0.26482935337602,0.222079369826726,0.196183877961692,0.162048269181518,0.141470431283918,0.230788234533199,0.248135000017476,0.253055744976372,0.244522511620156,0.228506784065707,0.217291873134566,0.197084621224446,0.214070416212403,0.210080075365049,0.210363277949873,0.226428321065545,0.232488182208853,0.238372093023256,0.233195449844881,0.210340775558167,0.184305255579554,0.122126436781609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,6.14555918612979,7.07408207923128,6.68850512332234,5.168617169254,3.57479847278724,4.22,4.23,4.61,5.15,4.18,3.63,2.97702186111376,2.28,3.24,3.19,3.14,3.0,2.669903,2.708738,2.120841,1.785859,1.590392,1.397426,1.210165,1.008233,0.919662,0.837275,0.742326,0.630114,0.414322
,EPSDiluted,6.14555918612979,7.07259218063876,6.68513058353111,5.16375850218476,3.57160082744818,4.21,4.22,4.59,5.13,4.17,3.61,2.97205675727801,2.27,3.22,3.16,3.01,2.68,2.378641,2.407767,1.894618,1.599277,1.421579,1.242157,1.080355,0.910662,0.836774,0.759589,0.673273,0.543797,0.345267
,weightedAverageShsOut,69489597.0,70787700.0,66628640.0,64745364.0,65085627.0,67594689.0,68394194.0,67988897.0,67684043.0,67787676.0,67627735.0,67375387.0,67274457.0,67083200.0,66759384.0,64067873.0,59128395.0,58699951.0,54941532.0,54076875.0,55284992.0,55120668.0,52284858.0,52204587.0,52231176.0,51925539.0,53865218.0,48226790.0,40627569.0,20515445.0
,weightedAverageShsOutDil,69493050.0,70802612.0,66662273.0,64806284.0,65143898.0,67691658.0,68544770.0,68205519.0,67964940.0,68038763.0,67831734.0,67487944.0,67557220.0,67550538.0,67310005.0,67047064.0,66732496.0,66509120.0,62455968.0,61465929.0,62565909.0,62770751.0,60019152.0,59755196.0,59540055.0,58863172.0,59374214.0,53173081.0,47076391.0,24618628.0
