date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,486412000.0,545974000.0,575871000.0,588147000.0,538543000.0,499515000.0,447402000.0,356554000.0,296564000.0,259671000.0,198791000.0
,costOfRevenue,352470000.0,397335000.0,412457000.0,390924000.0,326057000.0,299290000.0,257751000.0,194436000.0,169169000.0,155377000.0,120503000.0
,grossProfit,133942000.0,148639000.0,163414000.0,197223000.0,212486000.0,200225000.0,189651000.0,162118000.0,127395000.0,104294000.0,78288000.0
,grossProfitRatio,0.275367384028355,0.272245564807115,0.283768413412032,0.335329432947885,0.39455716628013,0.40083881364924,0.423893947724865,0.45468007651015,0.429570008497323,0.40163899703856,0.393820645803884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,3974000.0,4146000.0,3635000.0,4164000.0,3290000.0,3052000.0,2628000.0,2002000.0,2100000.0,2487000.0,2273000.0
,GeneralAndAdministrativeExpenses,39081000.0,40681000.0,43323000.0,45930000.0,40181000.0,36612000.0,36111000.0,32904000.0,28423000.0,30018000.0,20896000.0
,SellingAndMarketingExpenses,62047000.0,66770000.0,74786000.0,81789000.0,70343000.0,59521000.0,55870000.0,51209000.0,46911000.0,34043000.0,16048000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,111597000.0,121744000.0,131883000.0,113814000.0,99185000.0,94609000.0,86115000.0,77434000.0,66548000.0,39217000.0
,costAndExpenses,457572000.0,508932000.0,534201000.0,522807000.0,439871000.0,398475000.0,352360000.0,280551000.0,246603000.0,221925000.0,159720000.0
,interestExpense,4307000.0,3910000.0,4176000.0,4126000.0,3895000.0,3432000.0,3770000.0,2347000.0,1947000.0,1775000.0,1566000.0
