date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,19347000000.0,16697000000.0,18765000000.0,19813000000.0,17744000000.0,14160000000.0,9658508000.0,6582044000.0,6023575000.0,4769940000.0,4085977000.0,3669356000.0,3112366000.0,2492454000.0,2004995000.0,1650058000.0,1175268000.0,793544000.0,644194000.0,503855000.0,329432000.0,185760000.0
,costOfRevenue,16746000000.0,14394000000.0,16266000000.0,18003000000.0,15944000000.0,12541000000.0,8616074000.0,5713635000.0,5396959000.0,4003981000.0,3449504000.0,3176236000.0,2621312000.0,2080083000.0,1678652000.0,1424872000.0,984686000.0,657921000.0,0.0,408410000.0,0.0,0.0
,grossProfit,2601000000.0,2303000000.0,2499000000.0,1810000000.0,1800000000.0,1619000000.0,1042434000.0,868409000.0,626616000.0,765959000.0,636473000.0,493120000.0,491054000.0,412371000.0,326343000.0,225186000.0,190582000.0,135623000.0,0.0,95445000.0,0.0,0.0
,grossProfitRatio,0.13443944797643,0.137928969275918,0.133173461231015,0.0913541614091758,0.101442741208296,0.11433615819209,0.107929092153778,0.131936067276366,0.104027259559315,0.160580426588175,0.155770088769467,0.134388704720937,0.157775145982188,0.165447787602098,0.16276499442642,0.136471566454028,0.162160460422644,0.170907977377436,0.0,0.189429498566056,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1480000000.0,1296000000.0,1333000000.0,1594000000.0,1393000000.0,1146000000.0,764693000.0,665996000.0,532627000.0,415932000.0,345993000.0,399149000.0,344761000.0,285295000.0,229057000.0,163342000.0,94150000.0,61543000.0,61227000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-15000000.0,15000000.0,-17000000.0,61000000.0,0.0,1000000.0,-802000.0,-3343000.0,361000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1599000000.0,1385000000.0,1432000000.0,1731000000.0,1532000000.0,1250000000.0,857610000.0,738739000.0,596331000.0,621211000.0,531472000.0,437259000.0,378449000.0,314044000.0,250532000.0,179406000.0,103019000.0,67876000.0,0.0,0.0,0.0,0.0
,costAndExpenses,18345000000.0,15779000000.0,17698000000.0,19734000000.0,17476000000.0,13791000000.0,9473684000.0,6452374000.0,5993290000.0,4625192000.0,3980976000.0,3613495000.0,2999761000.0,2394127000.0,1929184000.0,1604278000.0,1087705000.0,725797000.0,-534130000.0,453639000.0,305194000.0,168274000.0
,interestExpense,102000000.0,87000000.0,115000000.0,118000000.0,101000000.0,66000000.0,56811000.0,52071000.0,16769000.0,15519000.0,15509000.0,13777000.0,8714000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,88000000.0,89000000.0,99000000.0,137000000.0,139000000.0,104000000.0,92917000.0,72743000.0,63704000.0,50690000.0,45704000.0,38110000.0,33688000.0,27967000.0,21475000.0,15125000.0,8869000.0,6333000.0,4112000.0,2407000.0,2085000.0,1625000.0
,EBITDA,1090000000.0,1007000000.0,1166000000.0,216000000.0,407000000.0,473000000.0,277741000.0,202413000.0,93989000.0,195438000.0,150705000.0,93971000.0,146293000.0,126294000.0,97286000.0,60905000.0,96432000.0,74080000.0,1182436000.0,52623000.0,26323000.0,19111000.0
,EBITDARatio,0.0563394841577506,0.0603102353716236,0.0621369571009859,0.0109019330742442,0.0229373309287647,0.0334039548022599,0.0287560977326933,0.0307523012608241,0.0156035244850442,0.0409728424256909,0.0368834675280845,0.0256096710158404,0.0470037906852857,0.0506705439699188,0.0485218167626353,0.0369108237407412,0.0820510726064183,0.0933533616283407,1.8355278068408,0.104440761727084,0.0799041987420773,0.102880060292851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1002000000.0,918000000.0,1067000000.0,79000000.0,268000000.0,369000000.0,184824000.0,129670000.0,30285000.0,144748000.0,105001000.0,55861000.0,112605000.0,98327000.0,75811000.0,45780000.0,87563000.0,67747000.0,1178324000.0,50216000.0,24238000.0,17486000.0
,operatingIncomeRatio,0.0517909753450147,0.0549799365155417,0.0568611777244871,0.00398728107808005,0.0151036970243463,0.0260593220338983,0.019135874816276,0.0197005671794354,0.00502774515134285,0.0303458743715854,0.025697893062051,0.0152236523248221,0.0361798708763687,0.0394498755042219,0.0378110668605159,0.0277444792849706,0.0745047087132467,0.085372707751555,1.82914463655358,0.0996635936926298,0.0735751232424294,0.0941322136089578
,totalOtherIncomeExpensesNet,61000000.0,141000000.0,47000000.0,-573000000.0,38000000.0,19000000.0,7291000.0,3547000.0,5549000.0,-64575000.0,0.0,9149000.0,21126000.0,0.0,0.0,-400000.0,1171000.0,118000.0,0.0,0.0,0.0,-1190000.0
,incomeBeforeTax,961000000.0,972000000.0,999000000.0,-612000000.0,205000000.0,322000000.0,135304000.0,81146000.0,19065000.0,64654000.0,89492000.0,43616000.0,103891000.0,93696000.0,73458000.0,43851000.0,87685000.0,66413000.0,48399000.0,49655000.0,24041000.0,16296000.0
,incomeBeforeTaxRatio,0.049671783739081,0.0582140504282206,0.0532374100719424,-0.0308888103770252,0.0115532010820559,0.0227401129943503,0.0140087889351026,0.0123283891751559,0.00316506393628369,0.0135544681903756,0.0219022280350575,0.0118865544798597,0.0333800716239671,0.0375918672922349,0.0366374978491218,0.026575429469752,0.0746085148238529,0.0836916415472866,0.0751310940493081,0.0985501781266436,0.0729771242623667,0.0877260981912145
,incomeTaxExpense,288000000.0,235000000.0,292000000.0,-100000000.0,153000000.0,179000000.0,72726000.0,36316000.0,9275000.0,43836000.0,34522000.0,12748000.0,41493000.0,35366000.0,27731000.0,16255000.0,31912000.0,23896000.0,17891000.0,19453000.0,0.0,0.0
,netIncome,673000000.0,737000000.0,707000000.0,-512000000.0,52000000.0,143000000.0,62223000.0,52929000.0,9790000.0,20818000.0,54970000.0,30868000.0,62398000.0,58330000.0,45727000.0,27596000.0,55773000.0,42517000.0,30508000.0,30129000.0,14964000.0,9453000.0
,netIncomeRatio,0.0347857548974001,0.044139665808229,0.0376765254463096,-0.0258416191389492,0.00293056807935077,0.0100988700564972,0.00644229936963349,0.00804142299869159,0.00162528066804182,0.00436441548531009,0.0134533307456209,0.00841237535959989,0.0200484133292807,0.0234026385241212,0.0228065406646899,0.0167242606017485,0.0474555590724839,0.053578629540391,0.0473584044558006,0.0597969653967907,0.045423638262221,0.0508882428940568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,11.4,11.887097,11.403226,-8.533333,0.140351,2.553571,1.251292,1.16,0.211082363087538,0.454978582043885,1.333333,0.793333,1.5,1.373333,1.093333,0.666667,1.38,1.273333,1.02,1.006667,0.5,0.313333
,EPSDiluted,11.23,11.47,10.61,-9.07,0.14,2.553571,1.251292,1.13,0.208302304304347,0.448422186322025,1.32,0.793333,1.5,1.366667,1.08,0.653333,1.36,1.253333,0.986667,0.973333,0.486667,0.313333
,weightedAverageShsOut,59000000.0,62000000.0,62000000.0,60000000.0,57000000.0,56000000.0,49727000.0,45717000.0,46380000.0,45756000.0,41631000.0,38976000.0,41658000.0,42412500.0,41949000.0,41566500.0,40447500.0,33336000.0,30000000.0,30000000.0,30000000.0,30000000.0
