date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-18210000.0,-30770000.0,-82818000.0,-58975000.0,-25882000.0,-17639000.0,-10189000.0,-7254000.0
,depreciationAndAmortization,180000.0,211000.0,189000.0,182000.0,65000.0,60000.0,33000.0,15000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3600000.0,4612000.0,4785000.0,3364000.0,1314000.0,705000.0,427000.0,322000.0
,changeInWorkingCapital,1122000.0,-1299000.0,-874000.0,3954000.0,1290000.0,2741000.0,228000.0,72000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-140000.0,14316000.0,32468000.0,25682000.0,78909000.0,15286000.0,5899000.0,1334000.0
,otherNonCashItems,188000.0,230000.0,266000.0,211000.0,439000.0,156000.0,100000.0,6000.0
,netCashProvidedByOperatingActivites,-13120000.0,-27068000.0,-79200000.0,-51083000.0,-22709000.0,-13902000.0,-9124000.0,-6839000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-55000.0,-25000.0,-88000.0,-306000.0,-3000.0,-32000.0,-140000.0,-63000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-80142000.0,-48116000.0,-54485000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,32950000.0,76470000.0,68543000.0,5708000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-360000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-55000.0,32925000.0,-3760000.0,20121000.0,-49140000.0,-28000.0,-140000.0,-63000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5340000.0,-5000000.0,-8300000.0,0.0,-6330000.0,0.0,-125000.0,0.0
,commonStockIssued,11958000.0,13643000.0,79564000.0,5123000.0,84832000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,10319000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,7867000.0,8695000.0,81779000.0,5362000.0,86390000.0,25944000.0,15624000.0,7955000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-5308000.0,14552000.0,-1181000.0,-25600000.0,14541000.0,12014000.0,6360000.0,1053000.0
,cashAtEndOfPeriod,17647000.0,22955000.0,8403000.0,9224000.0,34824000.0,20283000.0,8269000.0,1909000.0
,cashAtBeginningOfPeriod,22955000.0,8403000.0,9584000.0,34824000.0,20283000.0,8269000.0,1909000.0,856000.0
,operatingCashFlow,-13120000.0,-27068000.0,-79200000.0,-51083000.0,-22709000.0,-13902000.0,-9124000.0,-6839000.0
,capitalExpenditure,-55000.0,-25000.0,-88000.0,-306000.0,-3000.0,-32000.0,-140000.0,-63000.0
,freeCashFlow,-13175000.0,-27093000.0,-79288000.0,-51389000.0,-22712000.0,-13934000.0,-9264000.0,-6902000.0
