Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31
Revenue,8493000000.0,7960000000.0,8550000000.0,7902000000.0,8910000000.0,6428000000.0,8964000000.0,6422000000.0,8838000000.0,6834000000.0,8753000000.0,8848000000.0,0.0
Revenue Growth,0.0669597989949749,-0.0690058479532164,0.082004555808656,-0.113131313131313,0.386123210952085,-0.282909415439536,0.395826845219558,-0.27336501470921,0.293239683933275,-0.21923911801668,-0.0107368896925859,0.0,0.0
Cost of Revenue,2767000000.0,7284000000.0,2881000000.0,7235000000.0,2934000000.0,5908000000.0,2872000000.0,6121000000.0,2879000000.0,6301000000.0,2790000000.0,2868000000.0,0.0
Gross Profit,5726000000.0,676000000.0,5669000000.0,668000000.0,5976000000.0,520000000.0,6092000000.0,301000000.0,5959000000.0,534000000.0,5963000000.0,5980000000.0,0.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,799000000.0,363000000.0,925000000.0,365000000.0,1022000000.0,350000000.0,1015000000.0,413000000.0,1086000000.0,403000000.0,1062000000.0,1166000000.0,0.0
Operating Expenses,5833000000.0,363000000.0,6237000000.0,355000000.0,6588000000.0,342000000.0,6704000000.0,406000000.0,6726000000.0,397000000.0,6675000000.0,6943000000.0,0.0
Operating Income,2660000000.0,314000000.0,2313000000.0,313000000.0,2322000000.0,178000000.0,2260000000.0,-105000000.0,2112000000.0,136000000.0,2078000000.0,1905000000.0,0.0
Interest Expense,448000000.0,38000000.0,465000000.0,33000000.0,478000000.0,24000000.0,473000000.0,000000.0,464000000.0,000000.0,450000000.0,443000000.0,0.0
Earnings before Tax,2159000000.0,333000000.0,1791000000.0,329000000.0,1763000000.0,357000000.0,1733000000.0,-121000000.0,1609000000.0,133000000.0,1566000000.0,1391000000.0,0.0
Income Tax Expense,494000000.0,70000000.0,134000000.0,75000000.0,678000000.0,97000000.0,659000000.0,-1000000.0,639000000.0,49000000.0,602000000.0,542000000.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,1665000000.0,287000000.0,1657000000.0,281000000.0,1085000000.0,282000000.0,1074000000.0,-98000000.0,970000000.0,113000000.0,964000000.0,849000000.0,0.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,1665000000.0,287000000.0,1657000000.0,281000000.0,1085000000.0,282000000.0,1074000000.0,-98000000.0,970000000.0,113000000.0,964000000.0,849000000.0,0.0
EPS,0.0,0.72,0.0,0.71,0.0,0.71,0.0,-0.25,0.0,0.28,0.0,0.0,0.0
EPS Diluted,0.0,0.72,0.0,0.71,0.0,0.71,0.0,-0.25,0.0,0.28,0.0,0.0,0.0
Weighted Average Shs Out,0.0,398000000.0,0.0,398000000.0,0.0,398000000.0,0.0,393000000.0,0.0,403000000.0,0.0,0.0,0.0
Weighted Average Shs Out (Dil),0.0,398000000.0,0.0,398000000.0,0.0,398000000.0,0.0,393000000.0,0.0,403000000.0,0.0,0.0,0.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Margin,0.674202284234,0.084924623115578,0.663040935673,0.084535560617565,0.670707070707,0.080896079651525,0.679607318162,0.046870133914668,0.674247567323,0.078138718173837,0.681252142123,0.675858951175,0.0
EBITDA Margin,0.482397268339,0.059170854271357,0.455438596491,0.05960516324981,0.449046015713,0.077317983820784,0.457273538599,-0.00062285892245406,0.461416610093,0.035996488147498,0.474580143951,0.466772151899,0.0
EBIT Margin,0.313199105145,0.049623115577889,0.270526315789,0.049228043533283,0.260606060606,0.062694461729932,0.252119589469,-0.015415758330738,0.238968092329,0.023705004389816,0.237404318519,0.215302893309,0.0
Profit Margin,0.196043800777,0.03605527638191,0.193801169591,0.035560617565173,0.12177328844,0.043870566272558,0.119812583668,-0.015260043600125,0.109753337859,0.016534972197834,0.110133668457,0.0959538878843,0.0
Free Cash Flow margin,0.323913811374,,0.129473684211,,0.156341189675,,0.149933065596,,0.185109753338,,0.165543242317,0.170433996383,0.0
EBITDA,4097000000.0,471000000.0,3894000000.0,471000000.0,4001000000.0,497000000.0,4099000000.0,-4000000.0,4078000000.0,246000000.0,4154000000.0,4130000000.0,0.0
EBIT,2660000000.0,395000000,2313000000.0,389000000,2322000000.0,403000000,2260000000.0,-99000000,2112000000.0,162000000,2078000000.0,1905000000.0,0.0
Consolidated Income,1665000000.0,287000000.0,1657000000.0,281000000.0,1085000000.0,282000000.0,1074000000.0,-98000000.0,970000000.0,113000000.0,964000000.0,849000000.0,0.0
Earnings Before Tax Margin,0.254209348876,0.041834170854271,0.209473684211,0.041635029106555,0.197867564534,0.055538270068451,0.19332887104,-0.018841482404235,0.182054763521,0.019461515949663,0.17891008797,0.157210669078,0.0
Net Profit Margin,0.196043800777,0.03605527638191,0.193801169591,0.035560617565173,0.12177328844,0.043870566272558,0.119812583668,-0.015260043600125,0.109753337859,0.016534972197834,0.110133668457,0.0959538878843,0.0
