date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,revenue,1855400000.0,1952400000.0,1965000000.0,1740700000.0,1537300000.0,1976400000.0,1627200000.0,1017019000.0,1125475000.0,1603307000.0,1735029000.0,1895198000.0,2208973000.0,2021594000.0,1997551000.0,1597032000.0,1250320000.0,1050330000.0,755239000.0,1002109000.0,566128000.0,491600000.0,547200000.0,602800000.0,544800000.0,431900000.0,523900000.0,503900000.0,418200000.0,438100000.0,470800000.0,492200000.0,483100000.0,446500000.0,549000000.0,617100000.0
,costOfRevenue,1154700000.0,1319000000.0,1365800000.0,1127700000.0,992900000.0,1431900000.0,1266400000.0,790338000.0,773498000.0,1202514000.0,1356592000.0,1487040000.0,1818259000.0,797924000.0,821721000.0,676931000.0,575691000.0,483742000.0,340045000.0,645761000.0,295263000.0,246400000.0,311800000.0,353800000.0,308400000.0,221400000.0,308500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,700700000.0,633400000.0,599200000.0,613000000.0,544400000.0,544500000.0,360800000.0,226681000.0,351977000.0,400793000.0,378437000.0,408158000.0,390714000.0,1223670000.0,1175830000.0,920101000.0,674629000.0,566588000.0,415194000.0,356348000.0,270865000.0,245200000.0,235400000.0,249000000.0,236400000.0,210500000.0,215400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.377654414142503,0.324421225158779,0.304936386768448,0.352157178146723,0.354127366161452,0.275500910746812,0.22173058013766,0.222887674664878,0.312736400186588,0.249978949758218,0.218115662620048,0.215364304943336,0.17687586041115,0.605299580430096,0.588635784518142,0.576131849580973,0.539565071341736,0.539438081364904,0.549751800423442,0.355598043725782,0.47845186954187,0.498779495524817,0.430190058479532,0.413072329130723,0.433920704845815,0.487381338272748,0.411147165489597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652567000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,100000.0,21200000.0,6400000.0,6600000.0,8600000.0,1200000.0,-3300000.0,-1501000.0,-1161000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
