Date,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2010-06-30,2009-06-30
Revenue,58927000.0,55927000.0,45535000.0,43740000.0,36056000.0,38131000.0,29427000.0,28030409.0,25458686.0
Revenue Growth,0.0536,0.2282,0.041,0.2131,-0.0544,0.2958,0.0498,0.101,0.0471
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,58927000.0,55927000.0,45535000.0,43740000.0,36056000.0,38131000.0,29427000.0,28030409.0,25458686.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,29069000.0,28844000.0,26547000.0,25355000.0,24754000.0,23669000.0,21239000.0,17258161.0,17163410.0
Operating Expenses,35730000.0,35789000.0,33812000.0,32604000.0,31777000.0,31955000.0,28230000.0,25416623.0,24461043.0
Operating Income,23197000.0,20138000.0,11723000.0,11136000.0,4279000.0,6176000.0,1197000.0,2613786.0,997643.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,23197000.0,20138000.0,11723000.0,11136000.0,4275000.0,6010000.0,2557000.0,2370805.0,863256.0
Income Tax Expense,7031000.0,7799000.0,4104000.0,3995000.0,1583000.0,1945000.0,786000.0,895114.0,38654.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,355000.0,392000.0,242981.0,134387.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,4000.0,-125000.0,-1147000.0,0.0,0.0
Net Income,16166000.0,12339000.0,7619000.0,7141000.0,2692000.0,4065000.0,1771000.0,1475691.0,824602.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,16166000.0,12339000.0,7619000.0,7141000.0,2692000.0,4065000.0,1771000.0,1475691.0,824602.0
EPS,1.81,1.39,0.8,0.72,0.26,0.39,0.41,0.64,0.36
EPS Diluted,1.77,1.38,0.8,0.72,0.26,0.39,0.41,0.63,0.36
Weighted Average Shs Out,8934335.0,8821654.0,9317473.0,9806209.0,10430994.0,10446643.0,3507524.0,2322332.0,2321332.0
Weighted Average Shs Out (Dil),8906710.0,8898448.0,9474999.0,9980733.0,10404784.0,10409588.0,4277777.0,2322332.0,
Dividend per Share,0.04,0.04,0.04,0.04,0.28,0.36,0.36,0.36,0.36
Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EBITDA Margin,0.423,0.394,0.304,0.306,0.195,0.228,0.174,0.149,0.109
EBIT Margin,0.3937,0.3601,0.2575,0.2546,0.1186,0.1576,0.0869,0.0846,0.0339
Profit Margin,0.274,0.221,0.167,0.163,0.075,0.107,0.06,0.053,0.032
Free Cash Flow margin,0.3135,0.5953,0.0857,0.472,-0.1834,-0.0413,-0.3186,-0.2955,0.0655
EBITDA,24930000.0,22019000.0,13831000.0,13391000.0,7020000.0,8698000.0,5122000.0,4169571.0,2762602.0
EBIT,23197000.0,20138000.0,11723000.0,11136000.0,4275000.0,6010000.0,2557000.0,2370805.0,863256.0
Consolidated Income,16166000.0,12339000.0,7619000.0,7141000.0,2692000.0,4420000.0,2163000.0,1718672.0,958989.0
Earnings Before Tax Margin,0.3937,0.3601,0.2575,0.2546,0.1186,0.1576,0.0869,0.0846,0.0339
Net Profit Margin,0.2743,0.2206,0.1673,0.1633,0.0747,0.1066,0.0602,0.0526,0.0324
