date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,14571000.0,32397000.0,77640000.0,251491000.0,166817000.0,125096000.0,43300000.0,13626000.0,-447000.0,-72609000.0,-95843000.0,-112335000.0,-683727000.0,41669000.0,31943000.0,45200000.0,11701000.0,-173279000.0
,depreciationAndAmortization,165974000.0,194573000.0,175977000.0,203866000.0,224430000.0,214706000.0,215966000.0,230681000.0,229805000.0,238020000.0,257881000.0,270238000.0,273641000.0,284543000.0,264696000.0,0.0,0.0,140497000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,8915000.0,7559000.0,6992000.0,6059000.0,7209000.0,10755000.0,0.0,0.0,0.0,0.0,48000.0,24000.0,8000.0,2000.0,2000.0,0.0,0.0,0.0
,changeInWorkingCapital,54689000.0,-5259000.0,-3063000.0,-31899000.0,-15378000.0,-72858000.0,52576000.0,-65904000.0,519461000.0,3149691000.0,290450000.0,399930000.0,-433701000.0,-268776000.0,23681000.0,-2045799000.0,-66546857000.0,0.0
,accountsReceivables,-6079000.0,4830000.0,-8395000.0,962000.0,-1918000.0,4420000.0,-5762000.0,-2574000.0,3378000.0,4915000.0,8336000.0,1467000.0,-5146000.0,0.0,0.0,-195232000.0,0.0,-1147551000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306996000.0
,otherWorkingCapital,24221000.0,-30468000.0,-25209000.0,-22146000.0,9753000.0,25131000.0,97989000.0,45413000.0,111317000.0,-408144000.0,-3557835000.0,-3848285000.0,-4248215000.0,-3814514000.0,-3545738000.0,-3569419000.0,-1523620000.0,65023237000.0
,otherNonCashItems,-2255000.0,-5651000.0,-5849000.0,57301000.0,-10037000.0,10656000.0,-8779000.0,-5288000.0,-35924000.0,-5106000.0,17129000.0,82436000.0,94663000.0,31431000.0,-16360000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,183170000.0,231491000.0,204163000.0,247516000.0,263748000.0,265813000.0,254014000.0,239632000.0,167085000.0,174607000.0,184072000.0,249837000.0,309351000.0,321802000.0,296165000.0,0.0,63520000.0,723501000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3288000.0,0.0,0.0,0.0,0.0,0.0,-3179000000.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50030000.0,-42006000.0,-59144000.0,-237230000.0,-629372000.0,-664917000.0,0.0,0.0,-122719914000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35133000.0,12922000.0,153304000.0,297095000.0,34789000.0,149092000.0,271662000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,1338000.0,21569000.0,-17052000.0,22360000.0,23937000.0,983000.0,43102000.0,-37387000.0,41473000.0,-44667000.0,-141529000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-186571000.0,-90302000.0,87275000.0,608302000.0,17537000.0,25288000.0,77900000.0,103212000.0,471829000.0,107471000.0,154400000.0,193706000.0,-178555000.0,-524912000.0,-523058000.0,-3944685000.0,-3243055000.0,-133424163000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1308452000.0,-628546000.0,-606788000.0,-1019722000.0,-902533000.0,-951490000.0,-732744000.0,-966870000.0,-1518483000.0,-866974000.0,-1093650000.0,-1392285000.0,-255428000.0,-266007000.0,-123999000.0,6805000.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84835000.0,272081000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-74952000.0,-362102000.0,-8841000.0,0.0,0.0,0.0,-1253000.0,0.0,0.0,0.0,-227156000.0,-140143000.0,-47188000.0,0.0,0.0,0.0
,dividendsPaid,-81553000.0,-141528000.0,-145333000.0,-163684000.0,-166693000.0,-166513000.0,-166143000.0,-164391000.0,-128391000.0,-71754000.0,-50685000.0,-47683000.0,-155623000.0,-135267000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-7162000.0,-9269000.0,-13099000.0,-449324000.0,-24023000.0,-93830000.0,-7966000.0,-7237000.0,-66246000.0,-3897000.0,-28175000.0,-33526000.0,-6302000.0,-63985000.0,-99081000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,34283000.0,-146343000.0,-358172000.0,-851832000.0,-279590000.0,-351969000.0,-277812000.0,-422723000.0,-636854000.0,-276282000.0,-321747000.0,-438806000.0,-126989000.0,92719000.0,155797000.0,3797993000.0,3356378000.0,197081796000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
