date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,revenue,3427100000.0,2496100000.0,2768800000.0,2229100000.0,656946000.0,634545000.0,617225000.0,572050000.0,512338000.0,508144000.0,437104000.0,426082000.0,416783000.0
,costOfRevenue,2397700000.0,1558200000.0,1780700000.0,1434900000.0,191105000.0,176499000.0,66110000.0,56576000.0,46135000.0,0.0,0.0,0.0,0.0
,grossProfit,1029400000.0,937900000.0,988100000.0,794200000.0,465841000.0,458046000.0,551115000.0,515474000.0,466203000.0,508144000.0,437104000.0,426082000.0,416783000.0
,grossProfitRatio,0.300370575705407,0.375746164015865,0.356869401906963,0.356287290834866,0.709100900226198,0.72184951421885,0.892891571145044,0.90109955423477,0.909952023859249,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,121700000.0,126400000.0,129200000.0,125300000.0,111979000.0,79704000.0,130780000.0,127889000.0,114202000.0,226970000.0,235006000.0,215351000.0,196959000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,900000.0,2293000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,35800000.0,100000.0,10000000.0,3800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,322000000.0,352200000.0,358700000.0,337900000.0,167641000.0,138118000.0,237314000.0,229660000.0,222106000.0,266512000.0,269763000.0,248497000.0,229473000.0
